Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
hr	1.1.1	Bosna i Hercegovina	�	26.0	Bosnia & Herzegovina	Bosnia and Herzegovina	//ldml/localeDisplayNames/territories/territory[@type="BA"]
hr	1.1.1	Sveti Kristofor i Nevis	�	26.0	St. Kitts & Nevis	Saint Kitts and Nevis	//ldml/localeDisplayNames/territories/territory[@type="KN"]
hr	1.1.1	Sveta Lucija	�	26.0	St. Lucia	Saint Lucia	//ldml/localeDisplayNames/territories/territory[@type="LC"]
hr	1.1.1	Sveta Helena	�	26.0	St. Helena	Saint Helena	//ldml/localeDisplayNames/territories/territory[@type="SH"]
hr	1.1.1	Svalbard i Jan Mayen	�	26.0	Svalbard & Jan Mayen	Svalbard and Jan Mayen	//ldml/localeDisplayNames/territories/territory[@type="SJ"]
hr	1.1.1	Svazi	�	trunk	Eswatini	Swaziland	//ldml/localeDisplayNames/territories/territory[@type="SZ"]
hr	1.1.1	Trinidad i Tobago	�	26.0	Trinidad & Tobago	Trinidad and Tobago	//ldml/localeDisplayNames/territories/territory[@type="TT"]
hr	1.1.1	Sveti Vincent i Grenadini	�	24.0	St. Vincent & Grenadines	Saint Vincent and the Grenadines	//ldml/localeDisplayNames/territories/territory[@type="VC"]
hr	1.1.1	Wallis i Futuna	�	26.0	Wallis & Futuna	Wallis and Futuna	//ldml/localeDisplayNames/territories/territory[@type="WF"]
hr	1.3	Kijev	�	trunk	Kiev	�	//ldml/dates/timeZoneNames/zone[@type="Europe/Kiev"]/exemplarCity
hr	1.3	Jugoistočna Azija	�	26.0	Southeast Asia	South-Eastern Asia	//ldml/localeDisplayNames/territories/territory[@type="035"]
hr	1.3	ne:n	Ne	1.5.1	no:n	�	//ldml/posix/messages/nostr
hr	1.3	da:d	Da	1.5.1	yes:y	�	//ldml/posix/messages/yesstr
hr	1.4.1	1kv	�	1.5.1	Q1	�	//ldml/dates/calendars/calendar[@type="gregorian"]/quarters/quarterContext[@type="format"]/quarterWidth[@type="abbreviated"]/quarter[@type="1"]
hr	1.4.1	2kv	�	1.5.1	Q2	�	//ldml/dates/calendars/calendar[@type="gregorian"]/quarters/quarterContext[@type="format"]/quarterWidth[@type="abbreviated"]/quarter[@type="2"]
hr	1.4.1	3kv	�	1.5.1	Q3	�	//ldml/dates/calendars/calendar[@type="gregorian"]/quarters/quarterContext[@type="format"]/quarterWidth[@type="abbreviated"]/quarter[@type="3"]
hr	1.4.1	4kv	�	1.5.1	Q4	�	//ldml/dates/calendars/calendar[@type="gregorian"]/quarters/quarterContext[@type="format"]/quarterWidth[@type="abbreviated"]/quarter[@type="4"]
hr	1.5.1	Makao	�	trunk	Macao	Macau	//ldml/localeDisplayNames/territories/territory[@type="MO"][@alt="short"]
hr	1.5.1	bosansko-hercegovački dinar	�	24.0	Bosnia-Herzegovina Dinar (1992–1994)	Bosnia-Herzegovina Dinar (1992-1994)	//ldml/numbers/currencies/currency[@type="BAD"]/displayName
hr	1.5.1	stari srpski dinar	�	24.0	Serbian Dinar (2002–2006)	Serbian Dinar (2002-2006)	//ldml/numbers/currencies/currency[@type="CSD"]/displayName
hr	1.6.1	orijski	orijskom	30.0	Odia	Oriya	//ldml/localeDisplayNames/languages/language[@type="or"]
hr	1.7.2	d. MMMM	�	28.0	MMMM d	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="MMMMd"]
hr	1.7.2	prije R.O.C.	�	23.1	Before R.O.C.	�	//ldml/dates/calendars/calendar[@type="roc"]/eras/eraAbbr/era[@type="0"]
hr	1.7.2	kalendar	Kalendar	1.9.1	Calendar	�	//ldml/localeDisplayNames/keys/key[@type="calendar"]
hr	1.7.2	basa	�	2.0.1	Basaa	Basa	//ldml/localeDisplayNames/languages/language[@type="bas"]
hr	1.7.2	lushai	�	22.1	Mizo	Lushai	//ldml/localeDisplayNames/languages/language[@type="lus"]
hr	1.7.2	micmac	�	30.0	Mi'kmaq	Micmac	//ldml/localeDisplayNames/languages/language[@type="mic"]
hr	1.7.2	više jezika	�	30.0	Multiple languages	Multiple Languages	//ldml/localeDisplayNames/languages/language[@type="mul"]
hr	1.7.2	jakutski	�	2.0.1	Sakha	Yakut	//ldml/localeDisplayNames/languages/language[@type="sah"]
hr	1.7.2	walamo	�	22.1	Wolaytta	Walamo	//ldml/localeDisplayNames/languages/language[@type="wal"]
hr	1.7.2	bengalsko pismo	�	30.0	Bangla	Bengali	//ldml/localeDisplayNames/scripts/script[@type="Beng"]
hr	1.7.2	islamski civilni kalendar	Islamski civilni kalendar	24.0	Islamic Calendar (tabular, civil epoch)	Islamic-Civil Calendar	//ldml/localeDisplayNames/types/type[@key="calendar"][@type="islamic-civil"]
hr	1.7.2	kalendar Republike Kine	�	1.9.1	Minguo Calendar	Republic of China Calendar	//ldml/localeDisplayNames/types/type[@key="calendar"][@type="roc"]
hr	1.7.2	bosansko-hercegovačkih dinara	�	24.0	Bosnia-Herzegovina dinars (1992–1994)	Bosnia-Herzegovina dinars (1992-1994)	//ldml/numbers/currencies/currency[@type="BAD"]/displayName[@count="other"]
hr	1.7.2	brazilski cruzado	�	24.0	Brazilian Cruzado (1986–1989)	Brazilian Cruzado (1986-1989)	//ldml/numbers/currencies/currency[@type="BRC"]/displayName
hr	1.7.2	brazilski cruzad	�	24.0	Brazilian cruzado (1986–1989)	Brazilian cruzado (1986-1989)	//ldml/numbers/currencies/currency[@type="BRC"]/displayName[@count="one"]
hr	1.7.2	brazilskih cruzada	�	24.0	Brazilian cruzados (1986–1989)	Brazilian cruzados (1986-1989)	//ldml/numbers/currencies/currency[@type="BRC"]/displayName[@count="other"]
hr	1.7.2	brazilski novi cruzado	�	24.0	Brazilian New Cruzado (1989–1990)	Brazilian New Cruzado (1989-1990)	//ldml/numbers/currencies/currency[@type="BRN"]/displayName
hr	1.7.2	brazilski novi cruzad	�	24.0	Brazilian new cruzado (1989–1990)	Brazilian new cruzado (1989-1990)	//ldml/numbers/currencies/currency[@type="BRN"]/displayName[@count="one"]
hr	1.7.2	brazilskih novih cruzada	�	24.0	Brazilian new cruzados (1989–1990)	Brazilian new cruzados (1989-1990)	//ldml/numbers/currencies/currency[@type="BRN"]/displayName[@count="other"]
hr	1.7.2	brazilski cruzeiro	�	24.0	Brazilian Cruzeiro (1993–1994)	Brazilian Cruzeiro (1993-1994)	//ldml/numbers/currencies/currency[@type="BRR"]/displayName
hr	1.7.2	brazilski cruzeiro	�	24.0	Brazilian cruzeiro (1993–1994)	Brazilian cruzeiro (1993-1994)	//ldml/numbers/currencies/currency[@type="BRR"]/displayName[@count="one"]
hr	1.7.2	brazilskih cruzeira	�	24.0	Brazilian cruzeiros (1993–1994)	Brazilian cruzeiros (1993-1994)	//ldml/numbers/currencies/currency[@type="BRR"]/displayName[@count="other"]
hr	1.7.2	čileanski unidades de fomentos	�	1.9.1	Chilean unit of account (UF)	Chilean unidades de fomento	//ldml/numbers/currencies/currency[@type="CLF"]/displayName[@count="one"]
hr	1.7.2	čileanskih unidades de fomentos	�	1.9.1	Chilean units of account (UF)	Chilean unidades de fomentos	//ldml/numbers/currencies/currency[@type="CLF"]/displayName[@count="other"]
hr	1.7.2	unidad de valor real	�	1.9.1	Colombian real value unit	unidad de valor real	//ldml/numbers/currencies/currency[@type="COU"]/displayName[@count="one"]
hr	1.7.2	unidad de valor reala	�	1.9.1	Colombian real value units	unidad de valor reals	//ldml/numbers/currencies/currency[@type="COU"]/displayName[@count="other"]
hr	1.7.2	starih srpskih dinara	�	24.0	Serbian dinars (2002–2006)	Serbian dinars (2002-2006)	//ldml/numbers/currencies/currency[@type="CSD"]/displayName[@count="other"]
hr	1.7.2	češka kruna	Češka kruna	31.0	Czech Koruna	Czech Republic Koruna	//ldml/numbers/currencies/currency[@type="CZK"]/displayName
hr	1.7.2	češka kruna	�	31.0	Czech koruna	Czech Republic koruna	//ldml/numbers/currencies/currency[@type="CZK"]/displayName[@count="one"]
hr	1.7.2	čeških kruna	�	31.0	Czech korunas	Czech Republic korunas	//ldml/numbers/currencies/currency[@type="CZK"]/displayName[@count="other"]
hr	1.7.2	ekvatorski unidad de valor constante (UVC)	�	1.9.1	Ecuadorian unit of constant value	Ecuadorian unidad de valor Constante (UVC)	//ldml/numbers/currencies/currency[@type="ECV"]/displayName[@count="one"]
hr	1.7.2	ekvatorskih unidad de valor constante (UVC)	�	1.9.1	Ecuadorian units of constant value	Ecuadorian unidads de valor Constante (UVC)	//ldml/numbers/currencies/currency[@type="ECV"]/displayName[@count="other"]
hr	1.7.2	britanska funta	Britanska funta	27.0	British Pound	British Pound Sterling	//ldml/numbers/currencies/currency[@type="GBP"]/displayName
hr	1.7.2	britanska funta	�	27.0	British pound	British pound sterling	//ldml/numbers/currencies/currency[@type="GBP"]/displayName[@count="one"]
hr	1.7.2	britanskih funti	�	27.0	British pounds	British pounds sterling	//ldml/numbers/currencies/currency[@type="GBP"]/displayName[@count="other"]
hr	1.7.2	stari izraelski šekel	�	30.0	Israeli Shekel (1980–1985)	Israeli Sheqel (1980–1985)	//ldml/numbers/currencies/currency[@type="ILR"]/displayName
hr	1.7.2	stari izraelski šekel	�	30.0	Israeli shekel (1980–1985)	Israeli sheqel (1980–1985)	//ldml/numbers/currencies/currency[@type="ILR"]/displayName[@count="one"]
