Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
ksh	1.8.1	d. MMMM	�	28.0	MMMM d	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="MMMMd"]
ksh	1.8.1	MMMM y	�	28.0	MMMM y	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yMMMM"]
ksh	1.8.1	M–M	�	24.0	M – M	M–M	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="M"]/greatestDifference[@id="M"]
ksh	1.8.1	LLL–LLL	�	24.0	MMM – MMM	MMM–MMM	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="MMM"]/greatestDifference[@id="M"]
ksh	1.8.1	d–d	�	24.0	d – d	d–d	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="d"]/greatestDifference[@id="d"]
ksh	1.8.1	y–y	�	24.0	y – y	y–y	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="y"]/greatestDifference[@id="y"]
ksh	1.8.1	MMMM–MMMM y	�	24.0	MMMM – MMMM y	MMMM–MMMM y	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="yMMMM"]/greatestDifference[@id="M"]
ksh	1.8.1	- weße mer nit -	�	2.0.1	Unknown City	Unknown	//ldml/dates/timeZoneNames/zone[@type="Etc/Unknown"]/exemplarCity
ksh	1.8.1	Uschjorod	�	26.0	Uzhhorod	�	//ldml/dates/timeZoneNames/zone[@type="Europe/Uzhgorod"]/exemplarCity
ksh	1.8.1	dä Kalländer	�	1.9.1	Calendar	�	//ldml/localeDisplayNames/keys/key[@type="calendar"]
ksh	1.8.1	de Reijefollsch zom Zotiere	�	2.0.1	Sort Order	Collation	//ldml/localeDisplayNames/keys/key[@type="collation"]
ksh	1.8.1	de Zoot Jeld	�	1.9.1	Currency	�	//ldml/localeDisplayNames/keys/key[@type="currency"]
ksh	1.8.1	Oriija	�	30.0	Odia	Oriya	//ldml/localeDisplayNames/languages/language[@type="or"]
ksh	1.8.1	bängjaalesche Schreff	�	30.0	Bangla	Bengali	//ldml/localeDisplayNames/scripts/script[@type="Beng"]
ksh	1.8.1	indesche Orija-Schreff	�	30.0	Odia	Oriya	//ldml/localeDisplayNames/scripts/script[@type="Orya"]
ksh	1.8.1	-onbikannte Schreff-	�	1.9.1	Unknown Script	Unknown or Invalid Script	//ldml/localeDisplayNames/scripts/script[@type="Zzzz"]
ksh	1.8.1	Antigwa un Barbuda	�	26.0	Antigua & Barbuda	Antigua and Barbuda	//ldml/localeDisplayNames/territories/territory[@type="AG"]
ksh	1.8.1	de Zint Battälmi-Enselle	�	26.0	St. Barthélemy	Saint Barthélemy	//ldml/localeDisplayNames/territories/territory[@type="BL"]
ksh	1.8.1	Söd-Jeorjie un de södlijje Botteramms-Enselle	�	24.0	South Georgia & South Sandwich Islands	South Georgia and the South Sandwich Islands	//ldml/localeDisplayNames/territories/territory[@type="GS"]
ksh	1.8.1	Birma	�	24.0	Myanmar (Burma)	Myanmar [Burma]	//ldml/localeDisplayNames/territories/territory[@type="MM"]
ksh	1.8.1	Makau	�	trunk	Macao SAR China	Macau SAR China	//ldml/localeDisplayNames/territories/territory[@type="MO"]
ksh	1.8.1	Zint Pjäär un Mikelong	�	26.0	St. Pierre & Miquelon	Saint Pierre and Miquelon	//ldml/localeDisplayNames/territories/territory[@type="PM"]
ksh	1.8.1	de Enselle Svalbard un Jan Mayen	�	26.0	Svalbard & Jan Mayen	Svalbard and Jan Mayen	//ldml/localeDisplayNames/territories/territory[@type="SJ"]
ksh	1.8.1	Zint Tommeh un Printschipe	�	26.0	São Tomé & Príncipe	São Tomé and Príncipe	//ldml/localeDisplayNames/territories/territory[@type="ST"]
ksh	1.8.1	Zint Vinzänz un de Jrenadines-Enselle	�	24.0	St. Vincent & Grenadines	Saint Vincent and the Grenadines	//ldml/localeDisplayNames/territories/territory[@type="VC"]
ksh	1.8.1	Wallis un Futuna	�	26.0	Wallis & Futuna	Wallis and Futuna	//ldml/localeDisplayNames/territories/territory[@type="WF"]
ksh	1.8.1	rotschineesesche Kaländer	�	1.9.1	Minguo Calendar	Republic of China Calendar	//ldml/localeDisplayNames/types/type[@key="calendar"][@type="roc"]
ksh	1.8.1	zoteert noh de Stresche vum tradizjonäll schineesesch	�	2.0.1	Stroke Sort Order	Traditional Chinese Stroke Sort Order	//ldml/localeDisplayNames/types/type[@key="collation"][@type="stroke"]
ksh	1.8.1	schineesesche Yuan Renminbi	�	1.9.1	Chinese Yuan	Chinese Yuan Renminbi	//ldml/numbers/currencies/currency[@type="CNY"]/displayName
ksh	1.8.1	tschäschesche Kruhne	�	31.0	Czech Koruna	Czech Republic Koruna	//ldml/numbers/currencies/currency[@type="CZK"]/displayName
ksh	1.8.1	brittesche £	�	27.0	British Pound	British Pound Sterling	//ldml/numbers/currencies/currency[@type="GBP"]/displayName
ksh	2.0.1	h:mm–h:mm a	�	24.0	h:mm – h:mm a	h:mm–h:mm a	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hm"]/greatestDifference[@id="h"]
ksh	2.0.1	h:mm–h:mm a	H:mm–H:mm	24.0	h:mm – h:mm a	h:mm–h:mm a	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hm"]/greatestDifference[@id="m"]
ksh	2.0.1	de Kokkos-Enselle	Kokkos-Enselle	24.0	Cocos (Keeling) Islands	Cocos [Keeling] Islands	//ldml/localeDisplayNames/territories/territory[@type="CC"]
ksh	2.0.1	de Demmokraatesche Republik Konggo	Demmokraatesche Republik Konggo	24.0	Congo (DRC)	Congo [DRC]	//ldml/localeDisplayNames/territories/territory[@type="CD"][@alt="variant"]
ksh	2.0.1	de Republik Konggo	Republik Konggo	24.0	Congo (Republic)	Congo [Republic]	//ldml/localeDisplayNames/territories/territory[@type="CG"][@alt="variant"]
ksh	2.0.1	de Tschäschei	Tschäschei	31.0	Czechia	Czech Republic	//ldml/localeDisplayNames/territories/territory[@type="CZ"]
