Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
se	1.4.1	’	�	1.6.1	‘	�	//ldml/delimiters/alternateQuotationStart
se	1.4.1	”	�	1.6.1	“	�	//ldml/delimiters/quotationStart
se	1.5.1	’	�	1.6.1	’	�	//ldml/delimiters/alternateQuotationEnd
se	1.5.1	”	�	1.6.1	”	�	//ldml/delimiters/quotationEnd
se	1.5.1	kaleandar	�	1.9.1	Calendar	�	//ldml/localeDisplayNames/keys/key[@type="calendar"]
se	1.5.1	valuhtta	�	1.9.1	Currency	�	//ldml/localeDisplayNames/keys/key[@type="currency"]
se	1.5.1	bengalgiella	�	30.0	Bangla	Bengali	//ldml/localeDisplayNames/languages/language[@type="bn"]
se	1.5.1	mátta-nuorta-Ásia	�	26.0	Southeast Asia	South-Eastern Asia	//ldml/localeDisplayNames/territories/territory[@type="035"]
se	1.5.1	Antigua ja Barbuda	�	26.0	Antigua & Barbuda	Antigua and Barbuda	//ldml/localeDisplayNames/territories/territory[@type="AG"]
se	1.5.1	Ålánda	�	1.7.2	Åland Islands	Aland Islands	//ldml/localeDisplayNames/territories/territory[@type="AX"]
se	1.5.1	Bosnia-Hercegovina	�	26.0	Bosnia & Herzegovina	Bosnia and Herzegovina	//ldml/localeDisplayNames/territories/territory[@type="BA"]
se	1.5.1	Lulli Georgia ja Lulli Sandwich-sullot	�	24.0	South Georgia & South Sandwich Islands	South Georgia and the South Sandwich Islands	//ldml/localeDisplayNames/territories/territory[@type="GS"]
se	1.5.1	Saint Kitts ja Nevis	�	26.0	St. Kitts & Nevis	Saint Kitts and Nevis	//ldml/localeDisplayNames/territories/territory[@type="KN"]
se	1.5.1	Saint Lucia	�	26.0	St. Lucia	Saint Lucia	//ldml/localeDisplayNames/territories/territory[@type="LC"]
se	1.5.1	Burma	�	24.0	Myanmar (Burma)	Myanmar [Burma]	//ldml/localeDisplayNames/territories/territory[@type="MM"]
se	1.5.1	Makáo	�	trunk	Macao SAR China	Macau SAR China	//ldml/localeDisplayNames/territories/territory[@type="MO"]
se	1.5.1	Makáo	�	trunk	Macao	Macau	//ldml/localeDisplayNames/territories/territory[@type="MO"][@alt="short"]
se	1.5.1	Saint Pierre ja Miquelon	�	26.0	St. Pierre & Miquelon	Saint Pierre and Miquelon	//ldml/localeDisplayNames/territories/territory[@type="PM"]
se	1.5.1	Pitcairn	�	1.7.2	Pitcairn Islands	Pitcairn	//ldml/localeDisplayNames/territories/territory[@type="PN"]
se	1.5.1	Palestina	�	1.7.2	Palestinian Territories	Palestinian Territory	//ldml/localeDisplayNames/territories/territory[@type="PS"]
se	1.5.1	Saint Helena	�	26.0	St. Helena	Saint Helena	//ldml/localeDisplayNames/territories/territory[@type="SH"]
se	1.5.1	São Tomé ja Príncipe	�	26.0	São Tomé & Príncipe	São Tomé and Príncipe	//ldml/localeDisplayNames/territories/territory[@type="ST"]
se	1.5.1	Svazieana	�	trunk	Eswatini	Swaziland	//ldml/localeDisplayNames/territories/territory[@type="SZ"]
se	1.5.1	Turks ja Caicos-sullot	�	26.0	Turks & Caicos Islands	Turks and Caicos Islands	//ldml/localeDisplayNames/territories/territory[@type="TC"]
se	1.5.1	Nuorta-Timor	�	1.7.2	Timor-Leste	East Timor	//ldml/localeDisplayNames/territories/territory[@type="TL"]
se	1.5.1	Trinidad ja Tobago	�	26.0	Trinidad & Tobago	Trinidad and Tobago	//ldml/localeDisplayNames/territories/territory[@type="TT"]
se	1.5.1	Vatikána	�	1.7.2	Vatican City	Vatican	//ldml/localeDisplayNames/territories/territory[@type="VA"]
se	1.5.1	Saint Vincent ja Grenadine	�	24.0	St. Vincent & Grenadines	Saint Vincent and the Grenadines	//ldml/localeDisplayNames/territories/territory[@type="VC"]
se	1.5.1	Wallis ja Futuna	�	26.0	Wallis & Futuna	Wallis and Futuna	//ldml/localeDisplayNames/territories/territory[@type="WF"]
se	1.6.1	Austrália ja Ođđa-Selánda	Austrália ja Aotearoa	22.1	Australasia	Australia and New Zealand	//ldml/localeDisplayNames/territories/territory[@type="053"]
se	1.6.1	Čeahkka	Čhekkia	31.0	Czechia	Czech Republic	//ldml/localeDisplayNames/territories/territory[@type="CZ"]
se	1.6.1	Svalbárda ja Jan Mayen	Svalbárdda ja Jan Mayen	26.0	Svalbard & Jan Mayen	Svalbard and Jan Mayen	//ldml/localeDisplayNames/territories/territory[@type="SJ"]
se	1.7.2	Saint Barthélemy	�	26.0	St. Barthélemy	Saint Barthélemy	//ldml/localeDisplayNames/territories/territory[@type="BL"]
se	1.7.2	Cocos-sullot	�	24.0	Cocos (Keeling) Islands	Cocos [Keeling] Islands	//ldml/localeDisplayNames/territories/territory[@type="CC"]
se	1.8.1	i.b.	�	28.0	AM	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="abbreviated"]/dayPeriod[@type="am"]
se	1.8.1	e.b.	�	28.0	PM	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="abbreviated"]/dayPeriod[@type="pm"]
se	1.8.1	iđitbeaivi	�	28.0	AM	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="am"]
se	1.8.1	eahketbeaivi	�	28.0	PM	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="pm"]
se	1.8.1	haitigiella	�	28.0	Haitian Creole	Haitian	//ldml/localeDisplayNames/languages/language[@type="ht"]
se	1.8.1	Ceuta ja Melilla	�	26.0	Ceuta & Melilla	Ceuta and Melilla	//ldml/localeDisplayNames/territories/territory[@type="EA"]
se	1.8.1	Heard- ja McDonald-sullot	�	24.0	Heard & McDonald Islands	Heard Island and McDonald Islands	//ldml/localeDisplayNames/territories/territory[@type="HM"]
se	21.0	#,##0.00 ¤	�	24.0	¤#,##0.00	¤#,##0.00;(¤#,##0.00)	//ldml/numbers/currencyFormats[@numberSystem="latn"]/currencyFormatLength/currencyFormat[@type="standard"]/pattern[@type="standard"]
se	22.1	Saint Barthélemy	�	26.0	St. Barthélemy	Saint Barthélemy	//ldml/dates/timeZoneNames/zone[@type="America/St_Barthelemy"]/exemplarCity
se	22.1	{0}, {1}	�	24.0	{0}, {1}	�	//ldml/listPatterns/listPattern/listPatternPart[@type="middle"]
se	22.1	{0}, {1}	�	24.0	{0}, {1}	�	//ldml/listPatterns/listPattern/listPatternPart[@type="start"]
se	22.1	dovdameahttun giella	�	30.0	Unknown language	Unknown Language	//ldml/localeDisplayNames/languages/language[@type="und"]
se	22.1	Frankriikka Saint Martin	Saint Martin	26.0	St. Martin	Saint Martin	//ldml/localeDisplayNames/territories/territory[@type="MF"]
se	22.1	viddis oarjelohkosátni	�	27.0	Full-Width Digits	Full Width Digits	//ldml/localeDisplayNames/types/type[@key="numbers"][@type="fullwide"]
