Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
sn	1.8.1	MMMM d	�	28.0	MMMM d	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="MMMMd"]
sn	1.8.1	chiBengali	�	30.0	Bangla	Bengali	//ldml/localeDisplayNames/languages/language[@type="bn"]
sn	1.8.1	Antigua ne Barbuda	�	26.0	Antigua & Barbuda	Antigua and Barbuda	//ldml/localeDisplayNames/territories/territory[@type="AG"]
sn	1.8.1	Boznia ne Herzegovina	�	26.0	Bosnia & Herzegovina	Bosnia and Herzegovina	//ldml/localeDisplayNames/territories/territory[@type="BA"]
sn	1.8.1	Czech Republic	�	31.0	Czechia	Czech Republic	//ldml/localeDisplayNames/territories/territory[@type="CZ"]
sn	1.8.1	Saint Kitts and Nevis	�	26.0	St. Kitts & Nevis	Saint Kitts and Nevis	//ldml/localeDisplayNames/territories/territory[@type="KN"]
sn	1.8.1	Saint Lucia	�	26.0	St. Lucia	Saint Lucia	//ldml/localeDisplayNames/territories/territory[@type="LC"]
sn	1.8.1	Myanmar	�	24.0	Myanmar (Burma)	Myanmar [Burma]	//ldml/localeDisplayNames/territories/territory[@type="MM"]
sn	1.8.1	Saint Pierre and Miquelon	�	26.0	St. Pierre & Miquelon	Saint Pierre and Miquelon	//ldml/localeDisplayNames/territories/territory[@type="PM"]
sn	1.8.1	Saint Helena	�	26.0	St. Helena	Saint Helena	//ldml/localeDisplayNames/territories/territory[@type="SH"]
sn	1.8.1	São Tomé and Príncipe	�	26.0	São Tomé & Príncipe	São Tomé and Príncipe	//ldml/localeDisplayNames/territories/territory[@type="ST"]
sn	1.8.1	Swaziland	�	trunk	Eswatini	Swaziland	//ldml/localeDisplayNames/territories/territory[@type="SZ"]
sn	1.8.1	Zvitsuwa zveTurk neCaico	�	26.0	Turks & Caicos Islands	Turks and Caicos Islands	//ldml/localeDisplayNames/territories/territory[@type="TC"]
sn	1.8.1	Trinidad and Tobago	�	26.0	Trinidad & Tobago	Trinidad and Tobago	//ldml/localeDisplayNames/territories/territory[@type="TT"]
sn	1.8.1	Saint Vincent and the Grenadines	�	24.0	St. Vincent & Grenadines	Saint Vincent and the Grenadines	//ldml/localeDisplayNames/territories/territory[@type="VC"]
sn	1.8.1	Wallis and Futuna	�	26.0	Wallis & Futuna	Wallis and Futuna	//ldml/localeDisplayNames/territories/territory[@type="WF"]
sn	1.8.1	Yuan Renminbi ye China	�	1.9.1	Chinese Yuan	Chinese Yuan Renminbi	//ldml/numbers/currencies/currency[@type="CNY"]/displayName
sn	1.8.1	Paundi ye Bhiriteni	�	27.0	British Pound	British Pound Sterling	//ldml/numbers/currencies/currency[@type="GBP"]/displayName
sn	1.8.1	Sedi ye Ghana	�	24.0	Ghanaian Cedi (1979–2007)	Ghanaian Cedi (1979-2007)	//ldml/numbers/currencies/currency[@type="GHC"]/displayName
sn	1.8.1	Metika ye Mozambiki	�	24.0	Mozambican Metical (1980–2006)	Mozambican Metical (1980-2006)	//ldml/numbers/currencies/currency[@type="MZM"]/displayName
sn	1.8.1	Paundi re Sudani	�	24.0	Sudanese Pound (1957–1998)	Sudanese Pound (1957-1998)	//ldml/numbers/currencies/currency[@type="SDP"]/displayName
sn	1.8.1	Paundi re Senti Helena	�	26.0	St. Helena Pound	Saint Helena Pound	//ldml/numbers/currencies/currency[@type="SHP"]/displayName
sn	1.8.1	Furenki CFA BEAC	�	27.0	Central African CFA Franc	CFA Franc BEAC	//ldml/numbers/currencies/currency[@type="XAF"]/displayName
sn	1.8.1	Furenki CFA BCEAO	�	27.0	West African CFA Franc	CFA Franc BCEAO	//ldml/numbers/currencies/currency[@type="XOF"]/displayName
sn	1.8.1	Dora re Zimbabwe	�	24.0	Zimbabwean Dollar (1980–2008)	Zimbabwean Dollar (1980-2008)	//ldml/numbers/currencies/currency[@type="ZWD"]/displayName
sn	23.1	MMMM d	�	28.0	MMMM d	�	//ldml/dates/calendars/calendar[@type="generic"]/dateTimeFormats/availableFormats/dateFormatItem[@id="MMMMd"]
sn	23.1	Zuva	�	28.0	day	Day	//ldml/dates/fields/field[@type="day"]/displayName
sn	23.1	Nezuro	�	24.0	yesterday	Yesterday	//ldml/dates/fields/field[@type="day"]/relative[@type="-1"]
sn	23.1	Nhasi	�	24.0	today	Today	//ldml/dates/fields/field[@type="day"]/relative[@type="0"]
sn	23.1	Mangwana	�	24.0	tomorrow	Tomorrow	//ldml/dates/fields/field[@type="day"]/relative[@type="1"]
sn	23.1	Mukore	�	28.0	era	Era	//ldml/dates/fields/field[@type="era"]/displayName
sn	23.1	Awa	�	28.0	hour	Hour	//ldml/dates/fields/field[@type="hour"]/displayName
sn	23.1	Mineti	�	28.0	minute	Minute	//ldml/dates/fields/field[@type="minute"]/displayName
sn	23.1	Mwedzi	�	28.0	month	Month	//ldml/dates/fields/field[@type="month"]/displayName
sn	23.1	Sekondi	�	28.0	second	Second	//ldml/dates/fields/field[@type="second"]/displayName
sn	23.1	Vhiki	�	28.0	week	Week	//ldml/dates/fields/field[@type="week"]/displayName
sn	23.1	Zuva revhiki	�	28.0	day of the week	Day of the Week	//ldml/dates/fields/field[@type="weekday"]/displayName
sn	23.1	Gore	�	28.0	year	Year	//ldml/dates/fields/field[@type="year"]/displayName
sn	23.1	Nguva	�	28.0	time zone	Time Zone	//ldml/dates/fields/field[@type="zone"]/displayName
