Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
sk	1.1.1	Bosna a Hercegovina	�	26.0	Bosnia & Herzegovina	Bosnia and Herzegovina	//ldml/localeDisplayNames/territories/territory[@type="BA"]
sk	1.1.1	Pobrežie Slonoviny	�	1.7.2	Côte d’Ivoire	Ivory Coast	//ldml/localeDisplayNames/territories/territory[@type="CI"]
sk	1.1.1	Južná Georgia a Južné Sandwichove ostrovy	�	24.0	South Georgia & South Sandwich Islands	South Georgia and the South Sandwich Islands	//ldml/localeDisplayNames/territories/territory[@type="GS"]
sk	1.1.1	Svätá Lucia	�	26.0	St. Lucia	Saint Lucia	//ldml/localeDisplayNames/territories/territory[@type="LC"]
sk	1.1.1	Mjanmarsko	�	24.0	Myanmar (Burma)	Myanmar [Burma]	//ldml/localeDisplayNames/territories/territory[@type="MM"]
sk	1.1.1	Saint Pierre a Miquelon	�	26.0	St. Pierre & Miquelon	Saint Pierre and Miquelon	//ldml/localeDisplayNames/territories/territory[@type="PM"]
sk	1.1.1	Pitcairnove ostrovy	�	1.7.2	Pitcairn Islands	Pitcairn	//ldml/localeDisplayNames/territories/territory[@type="PN"]
sk	1.1.1	Svätá Helena	�	26.0	St. Helena	Saint Helena	//ldml/localeDisplayNames/territories/territory[@type="SH"]
sk	1.1.1	Turks a Caicos	�	26.0	Turks & Caicos Islands	Turks and Caicos Islands	//ldml/localeDisplayNames/territories/territory[@type="TC"]
sk	1.1.1	Východný Timor	�	1.7.2	Timor-Leste	East Timor	//ldml/localeDisplayNames/territories/territory[@type="TL"]
sk	1.1.1	Trinidad a Tobago	�	26.0	Trinidad & Tobago	Trinidad and Tobago	//ldml/localeDisplayNames/territories/territory[@type="TT"]
sk	1.1.1	Menšie odľahlé ostrovy USA	�	22.1	U.S. Outlying Islands	U.S. Minor Outlying Islands	//ldml/localeDisplayNames/territories/territory[@type="UM"]
sk	1.1.1	Svätý Vincent a Grenadíny	�	24.0	St. Vincent & Grenadines	Saint Vincent and the Grenadines	//ldml/localeDisplayNames/territories/territory[@type="VC"]
sk	1.1.1	Wallis a Futuna	�	26.0	Wallis & Futuna	Wallis and Futuna	//ldml/localeDisplayNames/territories/territory[@type="WF"]
sk	1.2	Islamský občiansky kalendár	�	24.0	Islamic Calendar (tabular, civil epoch)	Islamic-Civil Calendar	//ldml/localeDisplayNames/types/type[@key="calendar"][@type="islamic-civil"]
sk	1.2	Lexikografické triedenie	�	1.5.1	Phonebook Sort Order	Phonebook Order	//ldml/localeDisplayNames/types/type[@key="collation"][@type="phonebook"]
sk	1.2	Triedenie pinyin	�	2.0.1	Pinyin Sort Order	Simplified Chinese Pinyin Sort Order	//ldml/localeDisplayNames/types/type[@key="collation"][@type="pinyin"]
sk	1.2	Tiedenie podľa ťahov	�	2.0.1	Stroke Sort Order	Traditional Chinese Stroke Sort Order	//ldml/localeDisplayNames/types/type[@key="collation"][@type="stroke"]
sk	1.2	Tradičné	�	1.5.1	Traditional Sort Order	Traditional	//ldml/localeDisplayNames/types/type[@key="collation"][@type="traditional"]
sk	1.2	Brazílske cruzeiro	�	24.0	Brazilian Cruzeiro (1993–1994)	Brazilian Cruzeiro (1993-1994)	//ldml/numbers/currencies/currency[@type="BRR"]/displayName
sk	1.3	Kyjev	�	35.0	Kiev	�	//ldml/dates/timeZoneNames/zone[@type="Europe/Kiev"]/exemplarCity
sk	1.3	Užhorod	�	26.0	Uzhhorod	�	//ldml/dates/timeZoneNames/zone[@type="Europe/Uzhgorod"]/exemplarCity
sk	1.3	nie:n	Nie	1.5.1	no:n	�	//ldml/posix/messages/nostr
sk	1.4.1	d. MMMM	�	28.0	MMMM d	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="MMMMd"]
sk	1.4.1	Juhoslávsky dinár [YUD]	Juhoslávsky dinár	24.0	Yugoslavian Hard Dinar (1966–1990)	Yugoslavian Hard Dinar (1966-1990)	//ldml/numbers/currencies/currency[@type="YUD"]/displayName
sk	1.6.1	Svätý Bartolomej	�	26.0	St. Barthélemy	Saint Barthélemy	//ldml/localeDisplayNames/territories/territory[@type="BL"]
sk	1.6.1	Macao	�	35.0	Macao	Macau	//ldml/localeDisplayNames/territories/territory[@type="MO"][@alt="short"]
sk	1.7.2	basa	�	2.0.1	Basaa	Basa	//ldml/localeDisplayNames/languages/language[@type="bas"]
sk	1.7.2	bengálčina	bengálsky	30.0	Bangla	Bengali	//ldml/localeDisplayNames/languages/language[@type="bn"]
sk	1.7.2	kirgizština	kyrgyzský	24.0	Kyrgyz	Kirghiz	//ldml/localeDisplayNames/languages/language[@type="ky"]
sk	1.7.2	uríjčina	urijský	30.0	Odia	Oriya	//ldml/localeDisplayNames/languages/language[@type="or"]
sk	1.7.2	rétorománčina	rétorománsky	1.8.1	Romansh	Rhaeto-Romance	//ldml/localeDisplayNames/languages/language[@type="rm"]
sk	1.7.2	ujgurčina	uighursky	23.1	Uyghur	Uighur	//ldml/localeDisplayNames/languages/language[@type="ug"]
sk	1.7.2	Kokosové ostrovy	Kokosové (Keelingove) ostrovy	24.0	Cocos (Keeling) Islands	Cocos [Keeling] Islands	//ldml/localeDisplayNames/territories/territory[@type="CC"]
sk	1.8.1	H	�	23.1	HH	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="H"]
sk	1.8.1	LLLL y	MMMM y	28.0	MMMM y	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yMMMM"]
sk	1.8.1	Ceuta a Melilla	�	26.0	Ceuta & Melilla	Ceuta and Melilla	//ldml/localeDisplayNames/territories/territory[@type="EA"]
sk	2.0.1	HH – HH	�	24.0	HH – HH	HH–HH	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="H"]/greatestDifference[@id="H"]
sk	2.0.1	HH – HH v	�	24.0	HH – HH v	HH–HH v	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hv"]/greatestDifference[@id="H"]
sk	2.0.1	M. – M.	M.-M.	24.0	M – M	M–M	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="M"]/greatestDifference[@id="M"]
sk	2.0.1	d. – d.	d. - d.	24.0	d – d	d–d	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="d"]/greatestDifference[@id="d"]
sk	2.0.1	h – h a	h-h a	24.0	h – h a	h–h a	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="h"]/greatestDifference[@id="h"]
sk	2.0.1	h – h a v	h-h a v	24.0	h – h a v	h–h a v	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hv"]/greatestDifference[@id="h"]
sk	2.0.1	Anadyrský čas	�	21.0	Anadyr Time	�	//ldml/dates/timeZoneNames/metazone[@type="Anadyr"]/long/generic
sk	2.0.1	Samarský čas	�	21.0	Samara Time	�	//ldml/dates/timeZoneNames/metazone[@type="Samara"]/long/generic
sk	2.0.1	česká koruna	�	31.0	Czech koruna	Czech Republic koruna	//ldml/numbers/currencies/currency[@type="CZK"]/displayName[@count="one"]
sk	2.0.1	britská libra	�	27.0	British pound	British pound sterling	//ldml/numbers/currencies/currency[@type="GBP"]/displayName[@count="one"]
sk	21.0	LLL – LLL	LLL. – LLL.	24.0	MMM – MMM	MMM–MMM	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="MMM"]/greatestDifference[@id="M"]
sk	21.0	#,##0.00 ¤	�	24.0	¤#,##0.00	¤#,##0.00;(¤#,##0.00)	//ldml/numbers/currencyFormats[@numberSystem="latn"]/currencyFormatLength/currencyFormat[@type="standard"]/pattern[@type="standard"]
sk	22.1	h a	�	23.1	h a	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="h"]
sk	22.1	H:mm – H:mm	H:mm - H:mm	24.0	HH:mm – HH:mm	HH:mm–HH:mm	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hm"]/greatestDifference[@id="H"]
sk	22.1	H:mm – H:mm	H:mm - H:mm	24.0	HH:mm – HH:mm	HH:mm–HH:mm	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hm"]/greatestDifference[@id="m"]
sk	22.1	H:mm – H:mm v	H:mm - H:mm v	24.0	HH:mm – HH:mm v	HH:mm–HH:mm v	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hmv"]/greatestDifference[@id="H"]
sk	22.1	H:mm – H:mm v	H:mm - H:mm v	24.0	HH:mm – HH:mm v	HH:mm–HH:mm v	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hmv"]/greatestDifference[@id="m"]
sk	22.1	Svätý Bartolomej	�	26.0	St. Barthélemy	Saint Barthélemy	//ldml/dates/timeZoneNames/zone[@type="America/St_Barthelemy"]/exemplarCity
sk	22.1	{0}, {1}	�	24.0	{0}, {1}	�	//ldml/listPatterns/listPattern/listPatternPart[@type="middle"]
sk	22.1	{0}, {1}	�	24.0	{0}, {1}	�	//ldml/listPatterns/listPattern/listPatternPart[@type="start"]
