Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
da	36.0	hånd | krop | løftet hånd	�	38.0	hand | high 5 | high five | raised hand	hand | raised hand	//ldml/annotations/annotation[@cp="✋"]
da	36.0	pletskud	�	38.0	bullseye	direct hit	//ldml/annotations/annotation[@cp="🎯"][@type="tts"]
da	36.0	jura | lov | mand | mandlig dommer | retfærdighed	�	38.0	judge | justice | man | scales	justice | man | man judge | scales	//ldml/annotations/annotation[@cp="👨‍⚖"]
da	36.0	mand med blindestok	�	36.1	accessibility | blind | man | man with white cane	accessibility | blind | man | man with probing cane	//ldml/annotations/annotation[@cp="👨‍🦯"]
da	36.0	mand med blindestok	�	36.1	man with white cane	man with probing cane	//ldml/annotations/annotation[@cp="👨‍🦯"][@type="tts"]
da	36.0	jura | kvinde | kvindelig dommer | lov | retfærdighed	�	38.0	judge | justice | scales | woman	judge | scales | woman	//ldml/annotations/annotation[@cp="👩‍⚖"]
da	36.0	kvinde med blindestok	�	36.1	accessibility | blind | woman | woman with white cane	accessibility | blind | woman | woman with probing cane	//ldml/annotations/annotation[@cp="👩‍🦯"]
da	36.0	kvinde med blindestok	�	36.1	woman with white cane	woman with probing cane	//ldml/annotations/annotation[@cp="👩‍🦯"][@type="tts"]
da	36.0	mand med kinesisk hat | menneske	�	36.1	cap | gua pi mao | hat | person | person with skullcap | skullcap	cap | gua pi mao | hat | man | man with skullcap | skullcap	//ldml/annotations/annotation[@cp="👲"]
da	36.0	mand med kinesisk hat	�	36.1	person with skullcap	man with skullcap	//ldml/annotations/annotation[@cp="👲"][@type="tts"]
da	36.0	dans | danser	�	38.0	dance | dancing | woman	dancing | woman	//ldml/annotations/annotation[@cp="💃"]
da	36.0	forretning | forretningsmand | jakkesæt | mand | svævende forretningsmand	�	36.1	business | person | person in suit levitating | suit	business | man | man in suit levitating | suit	//ldml/annotations/annotation[@cp="🕴"]
da	36.0	svævende forretningsmand	�	36.1	person in suit levitating	man in suit levitating	//ldml/annotations/annotation[@cp="🕴"][@type="tts"]
da	36.0	dans | dansende mand | danser | mand	�	38.0	dance | dancing | man	dance | man | man dancing	//ldml/annotations/annotation[@cp="🕺"]
da	36.0	ansigt | vred | vredt ansigt	�	38.0	anger | angry | face | mad	angry | face | mad	//ldml/annotations/annotation[@cp="😠"]
da	36.0	ansigt | ør | svimmel | svimmelt ansigt	�	38.0	dead | face | knocked out | knocked-out face	dizzy | face	//ldml/annotations/annotation[@cp="😵"]
da	36.0	svimmelt ansigt	�	38.0	knocked-out face	dizzy face	//ldml/annotations/annotation[@cp="😵"][@type="tts"]
da	36.0	bøn | foldede hænder | namaste | namasté	�	38.0	ask | folded hands | hand | high 5 | high five | please | pray | thanks	ask | folded hands | hand | please | pray | thanks	//ldml/annotations/annotation[@cp="🙏"]
da	36.0	ansigt | griner | gulv | ler | ruller | ruller rundt på gulvet af grin	�	38.0	face | floor | laugh | rofl | rolling | rolling on the floor laughing | rotfl	face | floor | laugh | rolling | rolling on the floor laughing	//ldml/annotations/annotation[@cp="🤣"]
da	36.0	ansigt, der kaster op | opkast | syg	�	38.0	face vomiting | puke | sick | vomit	face vomiting | sick | vomit	//ldml/annotations/annotation[@cp="🤮"]
da	36.0	sæl | søløve	�	39.0	sea lion | seal	sea Lion | seal	//ldml/annotations/annotation[@cp="🦭"]
da	36.0	blind | blindestok | handicap	�	36.1	accessibility | blind | white cane	accessibility | blind | probing cane	//ldml/annotations/annotation[@cp="🦯"]
da	36.0	blindestok	�	36.1	white cane	probing cane	//ldml/annotations/annotation[@cp="🦯"][@type="tts"]
da	36.0	dommer | domstol | retfærdighed	�	38.0	judge | justice | scales	judge | scales	//ldml/annotations/annotation[@cp="🧑‍⚖"]
da	36.0	adgangsforhold | blind | handicap | person med blindestok | synshandicap	�	36.1	accessibility | blind | person with white cane	accessibility | blind | person with probing cane	//ldml/annotations/annotation[@cp="🧑‍🦯"]
da	36.0	person med blindestok	�	36.1	person with white cane	person with probing cane	//ldml/annotations/annotation[@cp="🧑‍🦯"][@type="tts"]
da	36.0	akkordeon | bandoneon | harmonika | koncertina | musette	�	39.0	accordion | concertina | squeeze box	accordian | accordion | concertina | squeeze box	//ldml/annotations/annotation[@cp="🪗"]
da	36.0	før R.O.C.	�	baseline	B.R.O.C.	Before R.O.C.	//ldml/dates/calendars/calendar[@type="roc"]/eras/eraAbbr/era[@type="0"]
da	36.0	maori	�	baseline	Māori	Maori	//ldml/localeDisplayNames/languages/language[@type="mi"]
da	36.0	Verden	�	39.0	world	World	//ldml/localeDisplayNames/territories/territory[@type="001"]
da	36.0	{0} gange {1}	�	38.0	{0}-{1}	�	//ldml/units/unitLength[@type="long"]/compoundUnit[@type="times"]/compoundUnitPattern
da	36.0	{0}°	�	38.0	{0} degree	�	//ldml/units/unitLength[@type="long"]/unit[@type="temperature-generic"]/unitPattern[@count="one"]
da	36.0	{0}°	�	38.0	{0} degrees	�	//ldml/units/unitLength[@type="long"]/unit[@type="temperature-generic"]/unitPattern[@count="other"]
da	36.0	{0}km²	�	37.0	{0}km²	�	//ldml/units/unitLength[@type="narrow"]/unit[@type="area-square-kilometer"]/unitPattern[@count="one"]
da	36.0	{0}km²	�	37.0	{0}km²	�	//ldml/units/unitLength[@type="narrow"]/unit[@type="area-square-kilometer"]/unitPattern[@count="other"]
da	36.0	{0}m²	�	37.0	{0}m²	�	//ldml/units/unitLength[@type="narrow"]/unit[@type="area-square-meter"]/unitPattern[@count="one"]
da	36.0	{0}m²	�	37.0	{0}m²	�	//ldml/units/unitLength[@type="narrow"]/unit[@type="area-square-meter"]/unitPattern[@count="other"]
da	36.0	årh.	�	37.0	c	�	//ldml/units/unitLength[@type="narrow"]/unit[@type="duration-century"]/displayName
da	36.0	{0} årh.	�	37.0	{0}c	�	//ldml/units/unitLength[@type="narrow"]/unit[@type="duration-century"]/unitPattern[@count="one"]
da	36.0	{0} årh.	�	37.0	{0}c	�	//ldml/units/unitLength[@type="narrow"]/unit[@type="duration-century"]/unitPattern[@count="other"]
da	37.0	pounds pr. kvadrattomme	�	38.0	pounds-force per square inch	pounds per square inch	//ldml/units/unitLength[@type="long"]/unit[@type="pressure-pound-force-per-square-inch"]/displayName
da	37.0	{0} pound pr. kvadrattomme	�	38.0	{0} pound-force per square inch	{0} pound per square inch	//ldml/units/unitLength[@type="long"]/unit[@type="pressure-pound-force-per-square-inch"]/unitPattern[@count="one"]
da	38.0	venstrepil med streg over højrepil med streg	�	baseline	arrow | bar | leftwards | rightwards	leftwards arrow bar over rightwards arrow bar	//ldml/annotations/annotation[@cp="↹"]
da	38.0	venstrepil med streg over højrepil med streg	�	baseline	leftwards over rightwards arrow bars	leftwards arrow bar over rightwards arrow bar	//ldml/annotations/annotation[@cp="↹"][@type="tts"]
da	38.0	er lig med | lig med | mindre end | mindre end eller lig med | ulighed	�	39.0	equal | equals | inequality | less-than | less-than or equal	equal | equals | inequality | less-than or equal | less-then	//ldml/annotations/annotation[@cp="≤"]
