Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
dz	1.2	གནས་སདུད་རིམ་ སགྲིག	�	2.0.1	Sort Order	Collation	//ldml/localeDisplayNames/keys/key[@type="collation"]
dz	1.2	ཨི་ཇིཔ་ཤཱན (སྔ་དུས་ཀྱི)	�	1.5.1	Ancient Egyptian	Egyptian (Ancient)	//ldml/localeDisplayNames/languages/language[@type="egy"]
dz	1.2	གིརིཀ, སྔ་དུས་ཀྱི (༡༤༥༣)	�	1.3	Ancient Greek	Greek, Ancient (to 1453)	//ldml/localeDisplayNames/languages/language[@type="grc"]
dz	1.2	ལུགས་སྲོལ	�	1.5.1	Traditional Sort Order	Traditional	//ldml/localeDisplayNames/types/type[@key="collation"][@type="traditional"]
dz	1.4.1	བཞི་དཔྱ་༡	�	1.5.1	Q1	�	//ldml/dates/calendars/calendar[@type="gregorian"]/quarters/quarterContext[@type="format"]/quarterWidth[@type="abbreviated"]/quarter[@type="1"]
dz	1.4.1	བཞི་དཔྱ་༢	�	1.5.1	Q2	�	//ldml/dates/calendars/calendar[@type="gregorian"]/quarters/quarterContext[@type="format"]/quarterWidth[@type="abbreviated"]/quarter[@type="2"]
dz	1.4.1	བཞི་དཔྱ་༣	�	1.5.1	Q3	�	//ldml/dates/calendars/calendar[@type="gregorian"]/quarters/quarterContext[@type="format"]/quarterWidth[@type="abbreviated"]/quarter[@type="3"]
dz	1.4.1	བཞི་དཔྱ་༤	�	1.5.1	Q4	�	//ldml/dates/calendars/calendar[@type="gregorian"]/quarters/quarterContext[@type="format"]/quarterWidth[@type="abbreviated"]/quarter[@type="4"]
dz	21.0	¤#,##,##0.00	�	24.0	¤#,##0.00	¤#,##0.00;(¤#,##0.00)	//ldml/numbers/currencyFormats[@numberSystem="latn"]/currencyFormatLength/currencyFormat[@type="standard"]/pattern[@type="standard"]
dz	22.1	ཆུ་ཚོད་HH	�	23.1	HH	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="H"]
dz	22.1	ཆུ་ཚོད་h a	�	23.1	h a	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="h"]
dz	22.1	HH–HH	�	24.0	HH – HH	HH–HH	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="H"]/greatestDifference[@id="H"]
dz	22.1	HH:mm–HH:mm	�	24.0	HH:mm – HH:mm	HH:mm–HH:mm	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hm"]/greatestDifference[@id="H"]
dz	22.1	HH:mm–HH:mm	�	24.0	HH:mm – HH:mm	HH:mm–HH:mm	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hm"]/greatestDifference[@id="m"]
dz	22.1	HH:mm–HH:mm v	�	24.0	HH:mm – HH:mm v	HH:mm–HH:mm v	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hmv"]/greatestDifference[@id="H"]
dz	22.1	HH:mm–HH:mm v	�	24.0	HH:mm – HH:mm v	HH:mm–HH:mm v	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hmv"]/greatestDifference[@id="m"]
dz	22.1	HH–HH v	�	24.0	HH – HH v	HH–HH v	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hv"]/greatestDifference[@id="H"]
dz	22.1	སྤྱི་ཟླ་M–M	�	24.0	M – M	M–M	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="M"]/greatestDifference[@id="M"]
dz	22.1	སྤྱི་LLL–LLL	�	24.0	MMM – MMM	MMM–MMM	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="MMM"]/greatestDifference[@id="M"]
