Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
eo	1.1.1	bengala	�	30.0	Bangla	Bengali	//ldml/localeDisplayNames/languages/language[@type="bn"]
eo	1.1.1	frisa	�	1.4.1	Western Frisian	Frisian	//ldml/localeDisplayNames/languages/language[@type="fy"]
eo	1.1.1	galega	�	1.4.1	Galician	Gallegan	//ldml/localeDisplayNames/languages/language[@type="gl"]
eo	1.1.1	kirgiza	�	24.0	Kyrgyz	Kirghiz	//ldml/localeDisplayNames/languages/language[@type="ky"]
eo	1.1.1	maoria	�	trunk	Māori	Maori	//ldml/localeDisplayNames/languages/language[@type="mi"]
eo	1.1.1	okcitana	�	1.5.1	Occitan	Occitan (post 1500); Provençal	//ldml/localeDisplayNames/languages/language[@type="oc"]
eo	1.1.1	orijo	�	30.0	Odia	Oriya	//ldml/localeDisplayNames/languages/language[@type="or"]
eo	1.1.1	romanĉa	�	1.8.1	Romansh	Rhaeto-Romance	//ldml/localeDisplayNames/languages/language[@type="rm"]
eo	1.1.1	sinhala	�	1.6.1	Sinhala	Sinhalese	//ldml/localeDisplayNames/languages/language[@type="si"]
eo	1.1.1	sota	�	1.3	Southern Sotho	Sotho, Southern	//ldml/localeDisplayNames/languages/language[@type="st"]
eo	1.1.1	tongaa	�	2.0.1	Tongan	Tonga	//ldml/localeDisplayNames/languages/language[@type="to"]
eo	1.1.1	ujgura	�	23.1	Uyghur	Uighur	//ldml/localeDisplayNames/languages/language[@type="ug"]
eo	1.1.1	Antigvo-Barbudo	�	26.0	Antigua & Barbuda	Antigua and Barbuda	//ldml/localeDisplayNames/territories/territory[@type="AG"]
eo	1.1.1	Bosnio-Hercegovino	�	26.0	Bosnia & Herzegovina	Bosnia and Herzegovina	//ldml/localeDisplayNames/territories/territory[@type="BA"]
eo	1.1.1	Kongolo	�	1.5.1	Congo - Brazzaville	Congo (Brazzaville)	//ldml/localeDisplayNames/territories/territory[@type="CG"]
eo	1.1.1	Ebur-Bordo	�	1.7.2	Côte d’Ivoire	Ivory Coast	//ldml/localeDisplayNames/territories/territory[@type="CI"]
eo	1.1.1	Ĉeĥujo	�	31.0	Czechia	Czech Republic	//ldml/localeDisplayNames/territories/territory[@type="CZ"]
