Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
ia	34.0	arco del celo | bandiera iride | bandiera iris | iride | iris	�	36.0	pride | rainbow | rainbow flag	rainbow | rainbow flag	//ldml/annotations/annotation[@cp="🏳‍🌈"]
ia	34.0	facie | ridente | riso | rolante se per terra de rider | rolar | visage	�	38.0	face | floor | laugh | rofl | rolling | rolling on the floor laughing | rotfl	face | floor | laugh | rolling | rolling on the floor laughing	//ldml/annotations/annotation[@cp="🤣"]
ia	34.0	Kiev	�	35.0	Kiev	�	//ldml/dates/timeZoneNames/zone[@type="Europe/Kiev"]/exemplarCity
ia	34.0	{0} e {1}	�	35.0	{0} & {1}	�	//ldml/listPatterns/listPattern[@type="standard-short"]/listPatternPart[@type="2"]
ia	34.0	{0} e {1}	�	35.0	{0}, & {1}	�	//ldml/listPatterns/listPattern[@type="standard-short"]/listPatternPart[@type="end"]
ia	34.0	{0}, {1}	�	35.0	{0}, {1}	�	//ldml/listPatterns/listPattern[@type="standard-short"]/listPatternPart[@type="middle"]
ia	34.0	{0}, {1}	�	35.0	{0}, {1}	�	//ldml/listPatterns/listPattern[@type="standard-short"]/listPatternPart[@type="start"]
ia	34.0	maori	�	trunk	Māori	Maori	//ldml/localeDisplayNames/languages/language[@type="mi"]
ia	34.0	creek	�	36.0	Muscogee	Creek	//ldml/localeDisplayNames/languages/language[@type="mus"]
ia	34.0	Mundo	�	39.0	world	World	//ldml/localeDisplayNames/territories/territory[@type="001"]
ia	34.0	Macedonia	�	35.0	North Macedonia	Macedonia	//ldml/localeDisplayNames/territories/territory[@type="MK"]
ia	34.0	Swazilandia	�	35.0	Eswatini	Swaziland	//ldml/localeDisplayNames/territories/territory[@type="SZ"]
ia	34.0	{0} grados	�	38.0	{0} degrees	�	//ldml/units/unitLength[@type="long"]/unit[@type="temperature-generic"]/unitPattern[@count="other"]
ia	34.0	μs	�	39.0	μsecs	µsecs	//ldml/units/unitLength[@type="short"]/unit[@type="duration-microsecond"]/displayName
ia	34.0	{0}μs	�	39.0	{0} μs	{0} µs	//ldml/units/unitLength[@type="short"]/unit[@type="duration-microsecond"]/unitPattern[@count="one"]
ia	34.0	{0}μs	�	39.0	{0} μs	{0} µs	//ldml/units/unitLength[@type="short"]/unit[@type="duration-microsecond"]/unitPattern[@count="other"]
ia	35.0	{0}°	{0} grados	38.0	{0} degree	�	//ldml/units/unitLength[@type="long"]/unit[@type="temperature-generic"]/unitPattern[@count="one"]
ia	37.0	libras per pollice quadrate	�	38.0	pounds-force per square inch	pounds per square inch	//ldml/units/unitLength[@type="long"]/unit[@type="pressure-pound-force-per-square-inch"]/displayName
ia	37.0	{0} lb/in²	�	38.0	{0} pound-force per square inch	{0} pound per square inch	//ldml/units/unitLength[@type="long"]/unit[@type="pressure-pound-force-per-square-inch"]/unitPattern[@count="one"]
ia	37.0	{0} libras per pollice quadrate	�	38.0	{0} pounds-force per square inch	{0} pounds per square inch	//ldml/units/unitLength[@type="long"]/unit[@type="pressure-pound-force-per-square-inch"]/unitPattern[@count="other"]
