Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
nn	1.2	Pitcairn	�	1.7.2	Pitcairn Islands	Pitcairn	//ldml/localeDisplayNames/territories/territory[@type="PN"]
nn	1.2	Saint Helena	�	26.0	St. Helena	Saint Helena	//ldml/localeDisplayNames/territories/territory[@type="SH"]
nn	1.3	Søraust-Asia	�	26.0	Southeast Asia	South-Eastern Asia	//ldml/localeDisplayNames/territories/territory[@type="035"]
nn	1.4.1	[á ǎ č ç đ è ê ń ñ ŋ š ŧ ü ž ä ö]	�	1.8.1	[á à ă â å ä ã ā æ ç é è ĕ ê ë ē í ì ĭ î ï ī ñ ó ò ŏ ô ö ø ō œ ú ù ŭ û ü ū ÿ]	[á à ă â å ä ã ā æ ç é è ĕ ê ë ē í ì ĭ î ï ī ñ ó ò ŏ ô ö ø ō œ ß ú ù ŭ û ü ū ÿ]	//ldml/characters/exemplarCharacters[@type="auxiliary"]
nn	1.4.1	basa	�	2.0.1	Basaa	Basa	//ldml/localeDisplayNames/languages/language[@type="bas"]
nn	1.4.1	lushai	�	22.1	Mizo	Lushai	//ldml/localeDisplayNames/languages/language[@type="lus"]
nn	1.4.1	fleire språk	�	30.0	Multiple languages	Multiple Languages	//ldml/localeDisplayNames/languages/language[@type="mul"]
nn	1.4.1	gammalnorsk	�	1.5.1	Old Norse	Norse, Old	//ldml/localeDisplayNames/languages/language[@type="non"]
nn	1.4.1	tonga (Nyasa)	�	1.5.1	Nyasa Tonga	Tonga (Nyasa)	//ldml/localeDisplayNames/languages/language[@type="tog"]
nn	1.4.1	felles kanadiske urspråksstavingar	�	1.5.1	Unified Canadian Aboriginal Syllabics	Unified Canadian Aboriginal Symbols	//ldml/localeDisplayNames/scripts/script[@type="Cans"]
nn	1.4.1	kyrillisk (kyrkjeslavisk variant)	�	1.5.1	Old Church Slavonic Cyrillic	Cyrillic (Old Church Slavonic variant)	//ldml/localeDisplayNames/scripts/script[@type="Cyrs"]
