Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
pl	36.0	dłoń | stop | uwaga | wzniesiona dłoń	�	38.0	hand | high 5 | high five | raised hand	hand | raised hand	//ldml/annotations/annotation[@cp="✋"]
pl	36.0	znak mnożenia	�	36.1	multiply	multiplication sign	//ldml/annotations/annotation[@cp="✖"][@type="tts"]
pl	36.0	znak plus	�	36.1	plus	plus sign	//ldml/annotations/annotation[@cp="➕"][@type="tts"]
pl	36.0	znak minus	�	36.1	minus	minus sign	//ldml/annotations/annotation[@cp="➖"][@type="tts"]
pl	36.0	÷ | dzielenie | matematyka | znak | znak dzielenia	�	36.1	÷ | divide | division | math | sign	÷ | division | math | sign	//ldml/annotations/annotation[@cp="➗"]
pl	36.0	znak dzielenia	�	36.1	divide	division sign	//ldml/annotations/annotation[@cp="➗"][@type="tts"]
pl	36.0	strzał w 10	�	38.0	bullseye	direct hit	//ldml/annotations/annotation[@cp="🎯"][@type="tts"]
pl	36.0	mężczyzna | sędzia	�	38.0	judge | justice | man | scales	justice | man | man judge | scales	//ldml/annotations/annotation[@cp="👨‍⚖"]
pl	36.0	dostępność | mężczyzna | mężczyzna z białą laską | niewidomy	�	36.1	accessibility | blind | man | man with white cane	accessibility | blind | man | man with probing cane	//ldml/annotations/annotation[@cp="👨‍🦯"]
pl	36.0	mężczyzna z białą laską	�	36.1	man with white cane	man with probing cane	//ldml/annotations/annotation[@cp="👨‍🦯"][@type="tts"]
pl	36.0	kobieta | kobieta sędzia | sędzina	�	38.0	judge | justice | scales | woman	judge | scales | woman	//ldml/annotations/annotation[@cp="👩‍⚖"]
pl	36.0	dostępność | kobieta | kobieta z białą laską | niewidoma	�	36.1	accessibility | blind | woman | woman with white cane	accessibility | blind | woman | woman with probing cane	//ldml/annotations/annotation[@cp="👩‍🦯"]
pl	36.0	kobieta z białą laską	�	36.1	woman with white cane	woman with probing cane	//ldml/annotations/annotation[@cp="👩‍🦯"][@type="tts"]
pl	36.0	chińska czapka | czapka | gua pi mao | mężczyzna w chińskiej czapce	�	36.1	cap | gua pi mao | hat | person | person with skullcap | skullcap	cap | gua pi mao | hat | man | man with skullcap | skullcap	//ldml/annotations/annotation[@cp="👲"]
pl	36.0	mężczyzna w chińskiej czapce	�	36.1	person with skullcap	man with skullcap	//ldml/annotations/annotation[@cp="👲"][@type="tts"]
pl	36.0	tańcząca kobieta | tańczyć | taniec	�	38.0	dance | dancing | woman	dancing | woman	//ldml/annotations/annotation[@cp="💃"]
pl	36.0	biznesmen | garnitur | lewitacja | lewitować | lewitujący mężczyzna w garniturze | mężczyzna	�	36.1	business | person | person in suit levitating | suit	business | man | man in suit levitating | suit	//ldml/annotations/annotation[@cp="🕴"]
pl	36.0	lewitujący mężczyzna w garniturze	�	36.1	person in suit levitating	man in suit levitating	//ldml/annotations/annotation[@cp="🕴"][@type="tts"]
pl	36.0	tańczący mężczyzna | tańczyć | taniec	�	38.0	dance | dancing | man	dance | man | man dancing	//ldml/annotations/annotation[@cp="🕺"]
pl	36.0	rozgniewana buźka | zagniewana twarz	�	38.0	anger | angry | face | mad	angry | face | mad	//ldml/annotations/annotation[@cp="😠"]
pl	36.0	oszołomiona twarz | oszołomiony	�	38.0	dead | face | knocked out | knocked-out face	dizzy | face	//ldml/annotations/annotation[@cp="😵"]
pl	36.0	oszołomiona twarz	�	38.0	knocked-out face	dizzy face	//ldml/annotations/annotation[@cp="😵"][@type="tts"]
pl	36.0	modlitwa | prosić | złożone ręce	�	38.0	ask | folded hands | hand | high 5 | high five | please | pray | thanks	ask | folded hands | hand | please | pray | thanks	//ldml/annotations/annotation[@cp="🙏"]
pl	36.0	kulać się | śmiech | tarza się ze śmiechu	�	38.0	face | floor | laugh | rofl | rolling | rolling on the floor laughing | rotfl	face | floor | laugh | rolling | rolling on the floor laughing	//ldml/annotations/annotation[@cp="🤣"]
pl	36.0	chory | wymiotująca twarz | wymioty	�	38.0	face vomiting | puke | sick | vomit	face vomiting | sick | vomit	//ldml/annotations/annotation[@cp="🤮"]
pl	36.0	foka | lew morski	�	39.0	sea lion | seal	sea Lion | seal	//ldml/annotations/annotation[@cp="🦭"]
