Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
be	37.0	аўтарскае права | значок аўтарскага права	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
be	37.0	зарэгістраваны | зарэгістраваны таварны знак	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
be	37.0	знак | таварны | ТМ	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
be	37.0	M | кола | круг | літара | літара «M» у коле	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
be	37.0	паднятая рука | рука | стоп | цела	�	38.0	hand | high 5 | high five | raised hand	hand | raised hand	//ldml/annotations/annotation[@cp="✋"]
be	37.0	? | знак | пунктуацыя | пытальнік | пытанне	�	38.0	? | mark | punctuation | question | red question mark	? | mark | punctuation | question	//ldml/annotations/annotation[@cp="❓"]
be	37.0	пытальнік	�	38.0	red question mark	question mark	//ldml/annotations/annotation[@cp="❓"][@type="tts"]
be	37.0	A | група | другая | значок «група крыві A» | кроў	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
be	37.0	B | група | значок «група крыві B» | кроў | трэцяя	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
be	37.0	0 | група | значок «група крыві 0» | кроў | першая	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
be	37.0	знак | знак «паркоўка» | паркінг | паркоўка | стаянка	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
be	37.0	AB | AB (група крыві) | група | кроў | чацвёртая	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
be	37.0	ачыстка | кнопка | кнопка «ачысціць»	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
be	37.0	слова «файна» ў квадраце | файна	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
be	37.0	бясплатна | слова «бясплатна» ў квадраце	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
be	37.0	асоба | ідэнтыфікацыя | ідэнтычнасць | пасведчанне | слова «пасведчанне» ў квадраце	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
be	37.0	новы | слова «новы» ў квадраце	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
be	37.0	блага | дрэнна | нічога добрага | скарачэнне «нічога добрага» ў квадраце	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
be	37.0	SOS | дапамажыце | знак «SOS» | СОС	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
be	37.0	гульня | знак | знак «новы ўзровень!» | новы | слова «новы ўзровень!» | уверх | узровень	�	40.0	mark | UP | UP! | UP! button	mark | up | UP! button	//ldml/annotations/annotation[@cp="🆙"]
be	37.0	гульня | знак «супраць» | супраць	�	40.0	versus | VS | VS button	versus | vs | VS button	//ldml/annotations/annotation[@cp="🆚"]
be	37.0	прамое пападанне	�	38.0	bullseye	direct hit	//ldml/annotations/annotation[@cp="🎯"][@type="tts"]
be	37.0	банкамат | гатоўка | знак | знак банкамата | наяўныя | тэрмінал	�	40.0	ATM | ATM sign | automated | bank | teller	atm | ATM sign | automated | bank | teller	//ldml/annotations/annotation[@cp="🏧"]
be	37.0	каала | мядзведзь	�	40.0	face | koala | marsupial	bear | koala	//ldml/annotations/annotation[@cp="🐨"]
be	37.0	бурбалка з тэкстам | вока | вока ў бурбалцы | сведка	�	40.0	balloon | bubble | eye | eye in speech bubble | speech | witness	eye | eye in speech bubble | speech bubble | witness	//ldml/annotations/annotation[@cp="👁‍🗨"]
be	37.0	мужчына | правасуддзе | суддзя-мужчына | шалі	�	38.0	judge | justice | man | scales	justice | man | man judge | scales	//ldml/annotations/annotation[@cp="👨‍⚖"]
be	37.0	жанчына | суддзя | суддзя-жанчына | шалі	�	38.0	judge | justice | scales | woman	judge | scales | woman	//ldml/annotations/annotation[@cp="👩‍⚖"]
be	37.0	жанчына | танцорка | танцы	�	38.0	dance | dancing | woman	dancing | woman	//ldml/annotations/annotation[@cp="💃"]
be	37.0	камічны | сон | храп	�	40.0	comic | good night | sleep | ZZZ	comic | sleep | zzz	//ldml/annotations/annotation[@cp="💤"]
be	37.0	сон	�	40.0	ZZZ	zzz	//ldml/annotations/annotation[@cp="💤"][@type="tts"]
be	37.0	CD | аптычны | аптычны дыск | камп’ютар | кампакт-дыск | носьбіт	�	40.0	CD | computer | disk | optical	cd | computer | disk | optical	//ldml/annotations/annotation[@cp="💿"]
be	37.0	blu-ray | DVD | аптычны | блюрэй | камп’ютар | кампакт-дыск | носьбіт	�	40.0	Blu-ray | computer | disk | dvd | DVD | optical	blu-ray | computer | disk | dvd | optical	//ldml/annotations/annotation[@cp="📀"]
be	37.0	назад | стрэлка | стрэлка «назад»	�	40.0	arrow | BACK	arrow | back | BACK arrow	//ldml/annotations/annotation[@cp="🔙"]
be	37.0	канец | стрэлка | стрэлка «канец»	�	40.0	arrow | END	arrow | end | END arrow	//ldml/annotations/annotation[@cp="🔚"]
be	37.0	актыўна | стрэлка | стрэлка «уключана!» | уключана	�	40.0	arrow | mark | ON | ON!	arrow | mark | on | ON! arrow	//ldml/annotations/annotation[@cp="🔛"]
be	37.0	неўзабаве | стрэлка | стрэлка «неўзабаве»	�	40.0	arrow | SOON	arrow | soon | SOON arrow	//ldml/annotations/annotation[@cp="🔜"]
be	37.0	дагары | стрэлка | стрэлка «верх» | уверх | угару	�	40.0	arrow | TOP | up	arrow | top | TOP arrow | up	//ldml/annotations/annotation[@cp="🔝"]
be	37.0	танцор	�	38.0	dance | dancing | man	dance | man | man dancing	//ldml/annotations/annotation[@cp="🕺"]
be	37.0	бурбалка з тэкстам злева | дыялог | маўленне	�	40.0	balloon | bubble | dialog | left speech bubble | speech	dialog | left speech bubble | speech	//ldml/annotations/annotation[@cp="🗨"]
be	37.0	злуецца | злы | люты | шалёны	�	38.0	anger | angry | face | mad	angry | face | mad	//ldml/annotations/annotation[@cp="😠"]
be	37.0	злы | лютасць | надзьмуты | надзьмуты твар | чырвоны	�	40.0	angry | enraged | face | mad | pouting | rage | red	angry | face | mad | pouting | rage | red	//ldml/annotations/annotation[@cp="😡"]
be	37.0	надзьмуты твар	�	40.0	enraged face	pouting face	//ldml/annotations/annotation[@cp="😡"][@type="tts"]
be	37.0	санлівасць | сон | сонны твар	�	40.0	face | good night | sleep | sleepy face	face | sleep | sleepy face	//ldml/annotations/annotation[@cp="😪"]
be	37.0	сон | спіць | хррр	�	40.0	face | good night | sleep | sleeping face | ZZZ	face | sleep | sleeping face | zzz	//ldml/annotations/annotation[@cp="😴"]
be	37.0	галава круціцца | галавакружэнне | заблытаны	�	40.0	crossed-out eyes | dead | face | face with crossed-out eyes | knocked out	dead | face | knocked out | knocked-out face	//ldml/annotations/annotation[@cp="😵"]
be	37.0	галава круціцца	�	40.0	face with crossed-out eyes	knocked-out face	//ldml/annotations/annotation[@cp="😵"][@type="tts"]
be	37.0	жэст | калі ласка | малітва | просьба | рукі | складзеныя рукі	�	38.0	ask | folded hands | hand | high 5 | high five | please | pray | thanks	ask | folded hands | hand | please | pray | thanks	//ldml/annotations/annotation[@cp="🙏"]
be	37.0	аўтобус | аўтобусны прыпынак | знак | прыпынак	�	40.0	bus | stop	bus | busstop | stop	//ldml/annotations/annotation[@cp="🚏"]
be	37.0	мужчына | мужчынскі туалет | прыбіральня | туалет	�	40.0	bathroom | lavatory | man | men’s room | restroom | toilet | WC	lavatory | man | men’s room | restroom | wc	//ldml/annotations/annotation[@cp="🚹"]
be	37.0	жаночы туалет | жанчына | прыбіральня | туалет	�	40.0	bathroom | lavatory | restroom | toilet | WC | woman | women’s room	lavatory | restroom | wc | woman | women’s room	//ldml/annotations/annotation[@cp="🚺"]
be	37.0	прыбіральня | туалет	�	40.0	bathroom | lavatory | restroom | toilet | WC	lavatory | restroom | WC	//ldml/annotations/annotation[@cp="🚻"]
be	37.0	грамадская | прыбіральня | туалет	�	40.0	bathroom | closet | lavatory | restroom | toilet | water | WC	closet | lavatory | restroom | water | wc	//ldml/annotations/annotation[@cp="🚾"]
be	37.0	гатэль | сон | чалавек у ложку	�	40.0	good night | hotel | person in bed | sleep	hotel | person in bed | sleep	//ldml/annotations/annotation[@cp="🛌"]
be	37.0	абдымае | абдымкі | твар	�	40.0	face | hug | hugging | open hands | smiling face | smiling face with open hands	face | hug | hugging	//ldml/annotations/annotation[@cp="🤗"]
be	37.0	абдымкі	�	40.0	smiling face with open hands	hugging face	//ldml/annotations/annotation[@cp="🤗"][@type="tts"]
be	37.0	жэст | пазвані | пазвані мне | рука	�	40.0	call | call me hand | hand | hang loose | Shaka	call | call me hand | hand	//ldml/annotations/annotation[@cp="🤙"]
be	37.0	качацца | качаюся са смеху | смех	�	38.0	face | floor | laugh | rofl | rolling | rolling on the floor laughing | rotfl	face | floor | laugh | rolling | rolling on the floor laughing	//ldml/annotations/annotation[@cp="🤣"]
be	37.0	ванітуе | ваніты | твар	�	38.0	face vomiting | puke | sick | vomit	face vomiting | sick | vomit	//ldml/annotations/annotation[@cp="🤮"]
be	37.0	марскі леў | цюлень	�	39.0	sea lion | seal	sea Lion | seal	//ldml/annotations/annotation[@cp="🦭"]
be	37.0	напышлівы | твар з маноклем	�	40.0	face | face with monocle | monocle | stuffy	face with monocle | stuffy	//ldml/annotations/annotation[@cp="🧐"]
be	37.0	суддзя | шалі	�	38.0	judge | justice | scales	judge | scales	//ldml/annotations/annotation[@cp="🧑‍⚖"]
be	37.0	барада | чалавек з барадой	�	38.0	beard | person | person: beard	beard | man | man: beard | person	//ldml/annotations/annotation[@cp="🧔"]
be	37.0	чалавек з барадой	�	38.0	person: beard	man: beard	//ldml/annotations/annotation[@cp="🧔"][@type="tts"]
be	37.0	акардэон | гармонік | канцэрціна	�	39.0	accordion | concertina | squeeze box	accordian | accordion | concertina | squeeze box	//ldml/annotations/annotation[@cp="🪗"]
be	37.0	маары	�	40.0	Māori	Maori	//ldml/localeDisplayNames/languages/language[@type="mi"]
be	37.0	Свет	�	39.0	world	World	//ldml/localeDisplayNames/territories/territory[@type="001"]
be	37.0	↑↑↑	�	38.0	{0}-{1}	�	//ldml/units/unitLength[@type="long"]/compoundUnit[@type="times"]/compoundUnitPattern
be	37.0	абарот	�	40.0	revolutions	revolution	//ldml/units/unitLength[@type="long"]/unit[@type="angle-revolution"]/displayName
be	37.0	эм	�	40.0	typographic ems	typographic em	//ldml/units/unitLength[@type="long"]/unit[@type="graphics-em"]/displayName
be	37.0	скандынаўскія мілі	�	40.0	miles-scandinavian	mile-scandinavian	//ldml/units/unitLength[@type="long"]/unit[@type="length-mile-scandinavian"]/displayName
be	37.0	фунты на квадратную цалю	�	38.0	pounds-force per square inch	pounds per square inch	//ldml/units/unitLength[@type="long"]/unit[@type="pressure-pound-force-per-square-inch"]/displayName
be	37.0	{0} фунт на квадратную цалю	�	38.0	{0} pound-force per square inch	{0} pound per square inch	//ldml/units/unitLength[@type="long"]/unit[@type="pressure-pound-force-per-square-inch"]/unitPattern[@count="one"]
be	37.0	{0} фунта на квадратную цалю	�	38.0	{0} pounds-force per square inch	{0} pounds per square inch	//ldml/units/unitLength[@type="long"]/unit[@type="pressure-pound-force-per-square-inch"]/unitPattern[@count="other"]
be	37.0	{0} °	�	38.0	{0} degree	�	//ldml/units/unitLength[@type="long"]/unit[@type="temperature-generic"]/unitPattern[@count="one"]
be	37.0	{0} °	�	38.0	{0} degrees	�	//ldml/units/unitLength[@type="long"]/unit[@type="temperature-generic"]/unitPattern[@count="other"]
be	37.0	фунт-футы	�	40.0	pound-force-feet	pound-feet	//ldml/units/unitLength[@type="long"]/unit[@type="torque-pound-force-foot"]/displayName
