Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
fil	37.0	karapatan | karapatang magpalathala | magpalathala | pag-aari	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
fil	37.0	legal | rehistrado	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
fil	37.0	mark | marka | tm | trade | trademark	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
fil	37.0	bilog | binilugan | binilugang M | M	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
fil	37.0	kamay | nakataas na kamay | palad	�	38.0	hand | high 5 | high five | raised hand	hand | raised hand	//ldml/annotations/annotation[@cp="✋"]
fil	37.0	bantas | padamdam | pananda | tanda | tandang padamdam	�	38.0	! | exclamation | mark | punctuation | red exclamation mark	! | exclamation | mark | punctuation	//ldml/annotations/annotation[@cp="❗"]
fil	37.0	tandang padamdam	�	38.0	red exclamation mark	exclamation mark	//ldml/annotations/annotation[@cp="❗"][@type="tts"]
fil	37.0	a | button na A | dugo | pindutan | uri	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
fil	37.0	b | B | button na B | dugo | pindutan | uri	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
fil	37.0	button na O | dugo | O | pindutan | uri	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
fil	37.0	button na P | P | paradahan | parking | pindutan	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
fil	37.0	AB | button na AB | dugo | pindutan | uri	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
fil	37.0	button na CL | CL | pindutan	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
fil	37.0	button na COOL | COOL | pindutan	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
fil	37.0	button na FREE | LIBRE | pindutan	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
fil	37.0	button na ID | ID | pagkakakilanlan | pindutan	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
fil	37.0	BAGO | button na NEW | pindutan	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
fil	37.0	button na NG | NG | pindutan	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
fil	37.0	button na SOS | pindutan | SOS | tulong	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
fil	37.0	button na UP! | marka | pindutan | UP!	�	40.0	mark | UP | UP! | UP! button	mark | up | UP! button	//ldml/annotations/annotation[@cp="🆙"]
fil	37.0	button na VS | pindutan | versus | VS	�	40.0	versus | VS | VS button	versus | vs | VS button	//ldml/annotations/annotation[@cp="🆚"]
fil	37.0	bullseye	�	38.0	bullseye	direct hit	//ldml/annotations/annotation[@cp="🎯"][@type="tts"]
fil	37.0	ATM | automated | bangko | karatula | tanda ng ATM | teller	�	40.0	ATM | ATM sign | automated | bank | teller	atm | ATM sign | automated | bank | teller	//ldml/annotations/annotation[@cp="🏧"]
fil	37.0	australia | hayop | koala | mukha	�	40.0	face | koala | marsupial	bear | koala	//ldml/annotations/annotation[@cp="🐨"]
fil	37.0	mata | mata sa speech bubble | saksi | speech bubble	�	40.0	balloon | bubble | eye | eye in speech bubble | speech | witness	eye | eye in speech bubble | speech bubble | witness	//ldml/annotations/annotation[@cp="👁‍🗨"]
fil	37.0	hukom | hustisya | huwes | lalaki | lalaking hukom	�	38.0	judge | justice | man | scales	justice | man | man judge | scales	//ldml/annotations/annotation[@cp="👨‍⚖"]
fil	37.0	babae | babaeng hukom | hukom | hustisya | huwes	�	38.0	judge | justice | scales | woman	judge | scales | woman	//ldml/annotations/annotation[@cp="👩‍⚖"]
fil	37.0	babae | dancer | mananayaw | salsa | sayaw | sumasayaw	�	38.0	dance | dancing | woman	dancing | woman	//ldml/annotations/annotation[@cp="💃"]
fil	37.0	inaantok | komiks | natutulog | tulog | zzz	�	40.0	comic | good night | sleep | ZZZ	comic | sleep | zzz	//ldml/annotations/annotation[@cp="💤"]
fil	37.0	zzz	�	40.0	ZZZ	zzz	//ldml/annotations/annotation[@cp="💤"][@type="tts"]
fil	37.0	cd | computer | disk | optical disc | optikal	�	40.0	CD | computer | disk | optical	cd | computer | disk | optical	//ldml/annotations/annotation[@cp="💿"]
fil	37.0	blu-ray | computer | disk | dvd | optikal	�	40.0	Blu-ray | computer | disk | dvd | DVD | optical	blu-ray | computer | disk | dvd | optical	//ldml/annotations/annotation[@cp="📀"]
fil	37.0	arrow | back arrow | PABALIK	�	40.0	arrow | BACK	arrow | back | BACK arrow	//ldml/annotations/annotation[@cp="🔙"]
fil	37.0	arrow | DULO | end arrow | katapusan	�	40.0	arrow | END	arrow | end | END arrow	//ldml/annotations/annotation[@cp="🔚"]
fil	37.0	arrow | naka-on | ON! | on! arrow	�	40.0	arrow | mark | ON | ON!	arrow | mark | on | ON! arrow	//ldml/annotations/annotation[@cp="🔛"]
fil	37.0	arrow | malapit na | SOON | soon arrow	�	40.0	arrow | SOON	arrow | soon | SOON arrow	//ldml/annotations/annotation[@cp="🔜"]
fil	37.0	arrow | IBABAW | itaas | top arrow | tuktok	�	40.0	arrow | TOP | up	arrow | top | TOP arrow | up	//ldml/annotations/annotation[@cp="🔝"]
fil	37.0	lalaki | lalaking sumasayaw | sayaw	�	38.0	dance | dancing | man	dance | man | man dancing	//ldml/annotations/annotation[@cp="🕺"]
fil	37.0	balloon | dialog | kaliwang speech bubble | komiks | usapan	�	40.0	balloon | bubble | dialog | left speech bubble | speech	dialog | left speech bubble | speech	//ldml/annotations/annotation[@cp="🗨"]
fil	37.0	galit | mukha | nakasimangot | simangot	�	38.0	anger | angry | face | mad	angry | face | mad	//ldml/annotations/annotation[@cp="😠"]
fil	37.0	galit | mukha | nagngingitngit | nakasimangot | nakasimangot at nakakunot ang noo | namumula | poot	�	40.0	angry | enraged | face | mad | pouting | rage | red	angry | face | mad | pouting | rage | red	//ldml/annotations/annotation[@cp="😡"]
fil	37.0	nakasimangot at nakakunot ang noo	�	40.0	enraged face	pouting face	//ldml/annotations/annotation[@cp="😡"][@type="tts"]
fil	37.0	humihilik | inaantok na mukha | mukha | natutulog | tulog	�	40.0	face | good night | sleep | sleepy face	face | sleep | sleepy face	//ldml/annotations/annotation[@cp="😪"]
fil	37.0	humihilik | inaantok | mukha | natutulog | tulog	�	40.0	face | good night | sleep | sleeping face | ZZZ	face | sleep | sleeping face | zzz	//ldml/annotations/annotation[@cp="😴"]
fil	37.0	hikab | inaantok | mukha | mukhang nahihilo | naghihikab	�	40.0	crossed-out eyes | dead | face | face with crossed-out eyes | knocked out	dead | face | knocked out | knocked-out face	//ldml/annotations/annotation[@cp="😵"]
fil	37.0	mukhang nahihilo	�	40.0	face with crossed-out eyes	knocked-out face	//ldml/annotations/annotation[@cp="😵"][@type="tts"]
fil	37.0	humihiling | kamay | magkalapat na mga palad | nagdarasal | nagpapasalamat | nakikisuyo | yuko	�	38.0	ask | folded hands | hand | high 5 | high five | please | pray | thanks	ask | folded hands | hand | please | pray | thanks	//ldml/annotations/annotation[@cp="🙏"]
fil	37.0	babaan | bus stop | sakayan	�	40.0	bus | stop	bus | busstop | stop	//ldml/annotations/annotation[@cp="🚏"]
