Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
ga	37.0	c | cóipcheart	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
ga	37.0	cláraithe | r	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
ga	37.0	comhartha | comhartha trádmhairc | trádmharc	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
ga	37.0	ciorcal | litir m le ciorcal thart timpeall | litir M le ciorcal timpeall air | m	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
ga	37.0	lámh ardaithe | páipéar	�	38.0	hand | high 5 | high five | raised hand	hand | raised hand	//ldml/annotations/annotation[@cp="✋"]
ga	37.0	A | fuil | fuilghrúpa | grúpa A	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
ga	37.0	B | fuil | fuilghrúpa | grúpa B	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
ga	37.0	fuil | fuilghrúpa | grúpa O | O	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
ga	37.0	carrchlós | cnaipe P | páirceáil	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
ga	37.0	AB | fuil | fuilghrúpa | grúpa AB	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
ga	37.0	CL | comhartha glanta | glan	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
ga	37.0	cnaipe SAOR IN AISCE | comhartha | saor | saor in aisce	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
ga	37.0	aitheantas | cnaipe aitheantais | comhartha | comhartha aitheantais | ID	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
ga	37.0	cnaipe NUA | comhartha | nua	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
ga	37.0	comhartha | NG	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
ga	37.0	cabhair | comhartha cabhrach | comhartha SOS | SOS	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
ga	37.0	cnaipe THUAS! | comhartha | comhartha suas | Suas! | UP!	�	40.0	mark | UP | UP! | UP! button	mark | up | UP! button	//ldml/annotations/annotation[@cp="🆙"]
ga	37.0	cnaipe VS | comhartha | v | versus | vs	�	40.0	versus | VS | VS button	versus | vs | VS button	//ldml/annotations/annotation[@cp="🆚"]
ga	37.0	ATM | comhartha ATM | meaisín bainc | poll an bhainc | UMB	�	40.0	ATM | ATM sign | automated | bank | teller	atm | ATM sign | automated | bank | teller	//ldml/annotations/annotation[@cp="🏧"]
ga	37.0	béar | cóála	�	40.0	face | koala | marsupial	bear | koala	//ldml/annotations/annotation[@cp="🐨"]
ga	37.0	bolgán cainte | finné | súil | súil i mbolgán cainte	�	40.0	balloon | bubble | eye | eye in speech bubble | speech | witness	eye | eye in speech bubble | speech bubble | witness	//ldml/annotations/annotation[@cp="👁‍🗨"]
ga	37.0	breitheamh fireann | ceartas | fear | meá	�	38.0	judge | justice | man | scales	justice | man | man judge | scales	//ldml/annotations/annotation[@cp="👨‍⚖"]
ga	37.0	bean | breitheamh | breitheamh baineann | meá	�	38.0	judge | justice | scales | woman	judge | scales | woman	//ldml/annotations/annotation[@cp="👩‍⚖"]
ga	37.0	bean ag damhsa | damhsa | damhsóir	�	38.0	dance | dancing | woman	dancing | woman	//ldml/annotations/annotation[@cp="💃"]
ga	37.0	codladh | srannadh | tuirseach	�	40.0	comic | good night | sleep | ZZZ	comic | sleep | zzz	//ldml/annotations/annotation[@cp="💤"]
ga	37.0	codladh	�	40.0	ZZZ	zzz	//ldml/annotations/annotation[@cp="💤"][@type="tts"]
ga	37.0	blu-ray | diosca | diosca optúil | DVD	�	40.0	CD | computer | disk | optical	cd | computer | disk | optical	//ldml/annotations/annotation[@cp="💿"]
ga	37.0	diosca | DVD	�	40.0	Blu-ray | computer | disk | dvd | DVD | optical	blu-ray | computer | disk | dvd | optical	//ldml/annotations/annotation[@cp="📀"]
ga	37.0	saighead SIAR | siar agus saighead ar chlé	�	40.0	arrow | BACK	arrow | back | BACK arrow	//ldml/annotations/annotation[@cp="🔙"]
ga	37.0	deireadh agus saighead ar chlé | saighead DEIRIDH	�	40.0	arrow | END	arrow | end | END arrow	//ldml/annotations/annotation[@cp="🔚"]
ga	37.0	go luath agus saighead ar dheis | saighead GO LUATH	�	40.0	arrow | SOON	arrow | soon | SOON arrow	//ldml/annotations/annotation[@cp="🔜"]
ga	37.0	barr agus saighead thuas | saighead BHAIRR	�	40.0	arrow | TOP | up	arrow | top | TOP arrow | up	//ldml/annotations/annotation[@cp="🔝"]
ga	37.0	piostal	�	38.0	water pistol	pistol	//ldml/annotations/annotation[@cp="🔫"][@type="tts"]
ga	37.0	damhsa | fear ag damhsa | rince	�	38.0	dance | dancing | man	dance | man | man dancing	//ldml/annotations/annotation[@cp="🕺"]
ga	37.0	bolgán cainte ar chlé | bolgán cainte chlé | caint | comhrá	�	40.0	balloon | bubble | dialog | left speech bubble | speech	dialog | left speech bubble | speech	//ldml/annotations/annotation[@cp="🗨"]
ga	37.0	fearg | straoiseog fheargach	�	38.0	anger | angry | face | mad	angry | face | mad	//ldml/annotations/annotation[@cp="😠"]
ga	37.0	pus | smut | straoiseog le puisín uirthi | straoiseog pus	�	40.0	angry | enraged | face | mad | pouting | rage | red	angry | face | mad | pouting | rage | red	//ldml/annotations/annotation[@cp="😡"]
ga	37.0	straoiseog le puisín uirthi	�	40.0	enraged face	pouting face	//ldml/annotations/annotation[@cp="😡"][@type="tts"]
ga	37.0	aghaidh | codladh | straoiseog chodlatach	�	40.0	face | good night | sleep | sleepy face	face | sleep | sleepy face	//ldml/annotations/annotation[@cp="😪"]
ga	37.0	codladh | ina chodladh | straoiseog ina codladh	�	40.0	face | good night | sleep | sleeping face | ZZZ	face | sleep | sleeping face | zzz	//ldml/annotations/annotation[@cp="😴"]
ga	37.0	aghaidh | meadhránach | straoiseog mheadhránach	�	40.0	crossed-out eyes | dead | face | face with crossed-out eyes | knocked out	dead | face | knocked out | knocked-out face	//ldml/annotations/annotation[@cp="😵"]
ga	37.0	straoiseog mheadhránach	�	40.0	face with crossed-out eyes	knocked-out face	//ldml/annotations/annotation[@cp="😵"][@type="tts"]
ga	37.0	ag guí | guí | lámh | lámha le chéile | paidir	�	38.0	ask | folded hands | hand | high 5 | high five | please | pray | thanks	ask | folded hands | hand | please | pray | thanks	//ldml/annotations/annotation[@cp="🙏"]
ga	37.0	bus | stad	�	40.0	bus | stop	bus | busstop | stop	//ldml/annotations/annotation[@cp="🚏"]
ga	37.0	comhartha | Comhartha Fear | Fir | Seomra na bhFear	�	40.0	bathroom | lavatory | man | men’s room | restroom | toilet | WC	lavatory | man | men’s room | restroom | wc	//ldml/annotations/annotation[@cp="🚹"]
ga	37.0	comhartha | Comhartha na mBan | Mná | Seomra na mBan	�	40.0	bathroom | lavatory | restroom | toilet | WC | woman | women’s room	lavatory | restroom | wc | woman | women’s room	//ldml/annotations/annotation[@cp="🚺"]
ga	37.0	comhartha na leithreas | leithreas	�	40.0	bathroom | lavatory | restroom | toilet | WC	lavatory | restroom | WC	//ldml/annotations/annotation[@cp="🚻"]
ga	37.0	leithreas | na leithris	�	40.0	bathroom | closet | lavatory | restroom | toilet | water | WC	closet | lavatory | restroom | water | wc	//ldml/annotations/annotation[@cp="🚾"]
ga	37.0	codladh | duine sa leaba | óstán	�	40.0	good night | hotel | person in bed | sleep	hotel | person in bed | sleep	//ldml/annotations/annotation[@cp="🛌"]
ga	37.0	ag beir barróg | aghaidh | barróg | straoiseog ag tabhairt barróige	�	40.0	face | hug | hugging | open hands | smiling face | smiling face with open hands	face | hug | hugging	//ldml/annotations/annotation[@cp="🤗"]
ga	37.0	straoiseog ag tabhairt barróige	�	40.0	smiling face with open hands	hugging face	//ldml/annotations/annotation[@cp="🤗"][@type="tts"]
ga	37.0	an lámh cur glao orm | glaoch | glaoigh orm | guthán | lámh	�	40.0	call | call me hand | hand | hang loose | Shaka	call | call me hand | hand	//ldml/annotations/annotation[@cp="🤙"]
ga	37.0	aghaidh | gáire | sna tríthí | sna trithí gáire | urlár	�	38.0	face | floor | laugh | rofl | rolling | rolling on the floor laughing | rotfl	face | floor | laugh | rolling | rolling on the floor laughing	//ldml/annotations/annotation[@cp="🤣"]
ga	37.0	aghaidh ag cur amach | straoiseog ag cur amach | tinn | urlacan	�	38.0	face vomiting | puke | sick | vomit	face vomiting | sick | vomit	//ldml/annotations/annotation[@cp="🤮"]
ga	37.0	rón	�	39.0	sea lion | seal	sea Lion | seal	//ldml/annotations/annotation[@cp="🦭"]
