Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
it	37.0	copyright	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
it	37.0	marchio registrato | marchio registrato cerchiato	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
it	37.0	marchio | marchio commerciale | marchio di fabbrica | marchio registrato | TM | trademark	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
it	37.0	M azzurra | metro | pulsante M cerchiata | simbolo M	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
it	37.0	alzata | carta | mano	�	38.0	hand | high 5 | high five | raised hand	hand | raised hand	//ldml/annotations/annotation[@cp="✋"]
it	37.0	domanda | punto di domanda pieno | punto interrogativo rosso	�	38.0	? | mark | punctuation | question | red question mark	? | mark | punctuation | question	//ldml/annotations/annotation[@cp="❓"]
it	37.0	punto interrogativo rosso	�	38.0	red question mark	question mark	//ldml/annotations/annotation[@cp="❓"][@type="tts"]
it	37.0	esclamazione | punteggiatura | punto esclamativo | punto esclamativo pieno | punto esclamativo rosso	�	38.0	! | exclamation | mark | punctuation | red exclamation mark	! | exclamation | mark | punctuation	//ldml/annotations/annotation[@cp="❗"]
it	37.0	punto esclamativo rosso	�	38.0	red exclamation mark	exclamation mark	//ldml/annotations/annotation[@cp="❗"][@type="tts"]
it	37.0	gruppo A | gruppo sanguigno A	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
it	37.0	gruppo B | gruppo sanguigno B	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
it	37.0	gruppo 0 | gruppo sanguigno 0	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
it	37.0	area di parcheggio | pulsante P	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
it	37.0	gruppo AB | gruppo sanguigno AB	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
it	37.0	pulsante CL | simbolo CL	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
it	37.0	pulsante COOL | simbolo Cool	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
it	37.0	gratis | pulsante FREE | simbolo Free | simbolo gratis	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
it	37.0	identità | pulsante ID | simbolo ID	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
it	37.0	pulsante NEW | simbolo New	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
