Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
ml	37.0	C | പകർപ്പവകാശം | പകർപ്പവകാശ ചിഹ്നം	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
ml	37.0	ചിഹ്നം | രജിസ്ട്രേഡ് | രജിസ്ട്രേഷൻ ചിഹ്നം | രജിസ്‌റ്റർചെയ്‌തത്	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
ml	37.0	ട്രേഡ്‌മാർക്ക് | വ്യാപാരമുദ്ര | സൈൻ	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
ml	37.0	m | വൃത്തം | വൃത്തത്തിലുള്ള M ചിഹ്നം	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
ml	37.0	A രക്തഗ്രൂപ്പ് ചിഹ്നം | ഗ്രൂപ്പ് എ | ചിഹ്നം | ബ്ലഡ് ഗ്രൂപ്പ് എ | രക്ത ഗ്രൂപ്പ് | രക്ത ഗ്രൂപ്പ് A | സിംബൽ	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
ml	37.0	B രക്തഗ്രൂപ്പ് ചിഹ്നം | ഗ്രൂപ്പ് എ | ചിഹ്നം | ബ്ലഡ് ഗ്രൂപ്പ് ബി | രക്ത ഗ്രൂപ്പ് | രക്ത ഗ്രൂപ്പ് B | സിംബൽ	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
ml	37.0	O രക്തഗ്രൂപ്പ് ചിഹ്നം | ഗ്രൂപ്പ് എ | ചിഹ്നം | ബ്ലഡ് ഗ്രൂപ്പ് ഒ | രക്ത ഗ്രൂപ്പ് | രക്ത ഗ്രൂപ്പ് O | സിംബൽ	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
ml	37.0	ചിഹ്നം | പാർക്കിംഗ് | പാർക്കിംഗ് ലോട്ട് | പാർക്കിംഗ് സ്ഥലം | പാർക്ക് ചെയ്യാനുള്ള സ്ഥലം | സിംബൽ	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
ml	37.0	AB രക്തഗ്രൂപ്പ് ചിഹ്നം | ഗ്രൂപ്പ് എ | ചിഹ്നം | ബ്ലഡ് ഗ്രൂപ്പ് എബി | രക്ത ഗ്രൂപ്പ് | രക്ത ഗ്രൂപ്പ് AB | സിംബൽ	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
ml	37.0	CL | ചിഹ്നം | മായ്ക്കൽ | മായ്ക്കുക | മായ്ച്ച് കളയുക | സിംബൽ	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
ml	37.0	കൂൾ | കൂൾ ബട്ടൺ | ചിഹ്നം | സിംബൽ	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
ml	37.0	ചിഹ്നം | ഫ്രീ | സിംബൽ | സൗജന്യം | സൗജന്യ നിരക്ക് | സൗജന്യനിരക്ക്	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
ml	37.0	ID | ഐഡന്റിറ്റി | ഐഡി | ചിഹ്നം | തിരിച്ചറിയൽ ചിഹ്നം | സിംബൽ	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
ml	37.0	ചിഹ്നം | പുതിയ ചിഹ്നം | പുതിയത് | പുതിയത് എന്ന് കാണിക്കുന്ന ചതുരം | പുത്തൻ | സിംബൽ	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
ml	37.0	എൻജി | ചിഹ്നം | നല്ലതല്ല | നല്ലതല്ല എന്ന് കാണിക്കുന്ന ചതുര NG | മോശം | സിംബൽ	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
ml	37.0	SOS | SOS മുദ്ര | എസ്ഒഎസ് | ചിഹ്നം | സഹായം | സഹായ ചിഹ്നം | സിംബൽ	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
ml	37.0	അപ്പ് ചിഹ്നം | അപ്പ്! ചിഹ്നം | മുകൾഭാഗത്തേക്ക് /അപ്പ് മുദ്ര | സിംബൽ	�	40.0	mark | UP | UP! | UP! button	mark | up | UP! button	//ldml/annotations/annotation[@cp="🆙"]
ml	37.0	ചിഹ്നം | മുഖാമുഖം | വെഴ്സസ് കാണിക്കുന്ന മുദ്ര | വേഴ്സസ് ചിഹ്നം | സിംബൽ	�	40.0	versus | VS | VS button	versus | vs | VS button	//ldml/annotations/annotation[@cp="🆚"]
ml	37.0	ഡയറക്റ്റ് ഹിറ്റ്	�	38.0	bullseye	direct hit	//ldml/annotations/annotation[@cp="🎯"][@type="tts"]
ml	37.0	ATM ചിഹ്നം | ടെല്ലർ മെഷീൻ	�	40.0	ATM | ATM sign | automated | bank | teller	atm | ATM sign | automated | bank | teller	//ldml/annotations/annotation[@cp="🏧"]
