Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
si	37.0	කතුහිමිකම	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
si	37.0	ලියාපදිංචි	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
si	37.0	ලකුණ | වෙළඳ ලකුණ | වෙළඳ සලකුණ	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
si	37.0	m | රවුම | රවුම් M	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
si	37.0	අත | එසවූූ අත | ශරීරය	�	38.0	hand | high 5 | high five | raised hand	hand | raised hand	//ldml/annotations/annotation[@cp="✋"]
si	37.0	ප්‍රශ්නය | ප්‍රශ්නයාර්ථ ලකුණ | ලකුණ | විරාම ලකුණ	�	38.0	? | mark | punctuation | question | red question mark	? | mark | punctuation | question	//ldml/annotations/annotation[@cp="❓"]
si	37.0	ප්‍රශ්නයාර්ථ ලකුණ	�	38.0	red question mark	question mark	//ldml/annotations/annotation[@cp="❓"][@type="tts"]
si	37.0	ලකුණ | විරාම ලකුණ | විස්මයාර්ථ ලකුණ | විස්මයාර්ථය	�	38.0	! | exclamation | mark | punctuation | red exclamation mark	! | exclamation | mark | punctuation	//ldml/annotations/annotation[@cp="❗"]
si	37.0	විස්මයාර්ථ ලකුණ	�	38.0	red exclamation mark	exclamation mark	//ldml/annotations/annotation[@cp="❗"][@type="tts"]
si	37.0	a | a බොත්තම | රුධිරය	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
si	37.0	b | b බොත්තම | රුධිරය	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
si	37.0	o | o බොත්තම | රුධිරය	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
si	37.0	p බොත්තම | නැවැත්වීම	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
si	37.0	ab | ab බොත්තම | රුධිරය	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
si	37.0	cl | CL බොත්තම	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
si	37.0	cool | COOL බොත්තම	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
si	37.0	free | FREE බොත්තම	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
si	37.0	id | ID බොත්තම | අනන්‍යතාව	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
si	37.0	new | රවුම් new	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
si	37.0	ng | හතරැස් ng	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
si	37.0	sos | උදවු | හතරැස් sos	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
si	37.0	up | up! බොත්තම | ලකුණ	�	40.0	mark | UP | UP! | UP! button	mark | up | UP! button	//ldml/annotations/annotation[@cp="🆙"]
si	37.0	vs | එදිරිව | හතරැස් vs	�	40.0	versus | VS | VS button	versus | vs | VS button	//ldml/annotations/annotation[@cp="🆚"]
si	37.0	සෘජු පහර	�	38.0	bullseye	direct hit	//ldml/annotations/annotation[@cp="🎯"][@type="tts"]
si	37.0	atm | ATM ලකුණ | ටෙලර් | ස්වයංක්‍රිය	�	40.0	ATM | ATM sign | automated | bank | teller	atm | ATM sign | automated | bank | teller	//ldml/annotations/annotation[@cp="🏧"]
si	37.0	කෝලා | වළසා	�	40.0	face | koala | marsupial	bear | koala	//ldml/annotations/annotation[@cp="🐨"]
si	37.0	ඇස | කථන බුබුළ | කථන බුබුළක තිබෙන ඇස | සාක්ෂිකරු	�	40.0	balloon | bubble | eye | eye in speech bubble | speech | witness	eye | eye in speech bubble | speech bubble | witness	//ldml/annotations/annotation[@cp="👁‍🗨"]
si	37.0	තුලා | පිරිමියා | මිනිහා | විනිසුරුතුමා	�	38.0	judge | justice | man | scales	justice | man | man judge | scales	//ldml/annotations/annotation[@cp="👨‍⚖"]
si	37.0	කාන්තාව | තුලා | විනිසුරුවරිය | ස්ත්‍රිය	�	38.0	judge | justice | scales | woman	judge | scales | woman	//ldml/annotations/annotation[@cp="👩‍⚖"]
si	37.0	කාන්තාව | නැටුම් | නැට්ටුක්කාරි	�	38.0	dance | dancing | woman	dancing | woman	//ldml/annotations/annotation[@cp="💃"]
si	37.0	නිදා ගැනීම | ස්ස්ස් | හාස්‍යජනක	�	40.0	comic | good night | sleep | ZZZ	comic | sleep | zzz	//ldml/annotations/annotation[@cp="💤"]
si	37.0	ස්ස්ස්	�	40.0	ZZZ	zzz	//ldml/annotations/annotation[@cp="💤"][@type="tts"]
si	37.0	ඩීවීඩී | තැටිය | පරිගණකය | ප්‍රකාශ තැටිය | බ්ලූ රේ | සීඩී	�	40.0	CD | computer | disk | optical	cd | computer | disk | optical	//ldml/annotations/annotation[@cp="💿"]
si	37.0	ඩීවීඩී | තැටිය | පරිගණකය | බ්ලූ රේ | සීඩී	�	40.0	Blu-ray | computer | disk | dvd | DVD | optical	blu-ray | computer | disk | dvd | optical	//ldml/annotations/annotation[@cp="📀"]
si	37.0	ඊතලය | පසු ඊතලය | පසුපසට	�	40.0	arrow | BACK	arrow | back | BACK arrow	//ldml/annotations/annotation[@cp="🔙"]
si	37.0	අවසානයට | ඊතලය	�	40.0	arrow | END	arrow | end | END arrow	//ldml/annotations/annotation[@cp="🔚"]
si	37.0	ඊතලය | ක්‍රියාත්මක | ක්‍රියාත්මකයි! ඊතලය | ලකුණ	�	40.0	arrow | mark | ON | ON!	arrow | mark | on | ON! arrow	//ldml/annotations/annotation[@cp="🔛"]
si	37.0	ඉක්මනින් | ඉක්මන් ඊතලය | ඊතලය	�	40.0	arrow | SOON	arrow | soon | SOON arrow	//ldml/annotations/annotation[@cp="🔜"]
si	37.0	ඉහළ | ඊතලය | මුදුන	�	40.0	arrow | TOP | up	arrow | top | TOP arrow | up	//ldml/annotations/annotation[@cp="🔝"]
si	37.0	ආයුධය | පිස්තෝලය | මෙවලම | රිවෝල්වරය	�	38.0	gun | handgun | pistol | revolver | tool | water | weapon	gun | handgun | pistol | revolver | tool | weapon	//ldml/annotations/annotation[@cp="🔫"]
si	37.0	පිස්තෝලය	�	38.0	water pistol	pistol	//ldml/annotations/annotation[@cp="🔫"][@type="tts"]
si	37.0	නටන | පිරිමියා	�	38.0	dance | dancing | man	dance | man | man dancing	//ldml/annotations/annotation[@cp="🕺"]
si	37.0	කථාව | දෙබස | වම් කථන බුබුළ	�	40.0	balloon | bubble | dialog | left speech bubble | speech	dialog | left speech bubble | speech	//ldml/annotations/annotation[@cp="🗨"]
si	37.0	කේන්තියෙන් යුතු මුහුණ | තරහව | මුහුණ | මෝඩ	�	38.0	anger | angry | face | mad	angry | face | mad	//ldml/annotations/annotation[@cp="😠"]
si	37.0	අමනාපය | අමනාපයෙන් යුතු මුහුණ | තරහව | පළිගැනීම | මුහුණ | රතු	�	40.0	angry | enraged | face | mad | pouting | rage | red	angry | face | mad | pouting | rage | red	//ldml/annotations/annotation[@cp="😡"]
si	37.0	අමනාපයෙන් යුතු මුහුණ	�	40.0	enraged face	pouting face	//ldml/annotations/annotation[@cp="😡"][@type="tts"]
si	37.0	නිදිබර මුහුණ | නින්ද | මුහුණ	�	40.0	face | good night | sleep | sleepy face	face | sleep | sleepy face	//ldml/annotations/annotation[@cp="😪"]
si	37.0	නිදින මුහුණ | නින්ද | මුහුණ | ස්ස්ස්	�	40.0	face | good night | sleep | sleeping face | ZZZ	face | sleep | sleeping face | zzz	//ldml/annotations/annotation[@cp="😴"]
si	37.0	නිදිමත ගතියක් ඇති | නිදිමත ගතියක් ඇති මුහුණ | මුහුණ	�	40.0	crossed-out eyes | dead | face | face with crossed-out eyes | knocked out	dead | face | knocked out | knocked-out face	//ldml/annotations/annotation[@cp="😵"]
si	37.0	නිදිමත ගතියක් ඇති මුහුණ	�	40.0	face with crossed-out eyes	knocked-out face	//ldml/annotations/annotation[@cp="😵"][@type="tts"]
si	37.0	අත | ආචාර කිරීම | එක් කළ දෙඅත් | කරුණාකර | යාච්ඥා කිරීම | ස්තූතිය පළ කිරීම	�	38.0	ask | folded hands | hand | high 5 | high five | please | pray | thanks	ask | folded hands | hand | please | pray | thanks	//ldml/annotations/annotation[@cp="🙏"]
si	37.0	නැවතුම | බසය | බස් නැවතුම	�	40.0	bus | stop	bus | busstop | stop	//ldml/annotations/annotation[@cp="🚏"]
si	37.0	wc | පිරිමි | පිරිමියාගේ කාමරය | වැසිකිළිය | විවේක කාමරය	�	40.0	bathroom | lavatory | man | men’s room | restroom | toilet | WC	lavatory | man | men’s room | restroom | wc	//ldml/annotations/annotation[@cp="🚹"]
si	37.0	wc | කාන්තා | කාන්තාවගේ කාමරය | වැසිකිළිය | විවේක කාමරය	�	40.0	bathroom | lavatory | restroom | toilet | WC | woman | women’s room	lavatory | restroom | wc | woman | women’s room	//ldml/annotations/annotation[@cp="🚺"]
si	37.0	wc | වැසිකිළිය | විවේක කාමරය	�	40.0	bathroom | lavatory | restroom | toilet | WC	lavatory | restroom | WC	//ldml/annotations/annotation[@cp="🚻"]
si	37.0	wc | ජල මුද්‍රිත | ජල මුද්‍රිත වැසිකිළි කට්ටලය | ජලය | වැසිකිළිය | විවේක කාමරය	�	40.0	bathroom | closet | lavatory | restroom | toilet | water | WC	closet | lavatory | restroom | water | wc	//ldml/annotations/annotation[@cp="🚾"]
si	37.0	ඇ‍ඳෙහි සිටින පුද්ගලයා | නින්ද | හෝටලය	�	40.0	good night | hotel | person in bed | sleep	hotel | person in bed | sleep	//ldml/annotations/annotation[@cp="🛌"]
