Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
tg	37.0	маорӣ	�	40.0	Māori	Maori	//ldml/localeDisplayNames/languages/language[@type="mi"]
tg	38.0	ҳуқуқи муааллиф	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
tg	38.0	ба қайд гирифташуда	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
tg	38.0	аломат | тамғаи савдо	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
tg	38.0	m | давра | М бо давра қайд шуд	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
tg	38.0	а | гуруҳи хун | тугмаи "А" (гуруҳи хун)	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
tg	38.0	b | гуруҳи хун | тугмаи "В" (гуруҳи хун)	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
tg	38.0	гуруҳи хун | о | тугмаи "О" (гуруҳи хун)	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
tg	38.0	таваққуф кардан | тугмаи "P"	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
tg	38.0	аb | гуруҳи хун | тугмаи "АВ" (гуруҳи хун)	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
tg	38.0	cl | тугмаи "CL"	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
tg	38.0	салқин | тугмаи "ЗӮР"	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
tg	38.0	озод | тугмаи "ОЗОД"	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
tg	38.0	id | тугмаи "ID" | шахсият	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
tg	38.0	нав | тугмаи "НАВ"	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
tg	38.0	ng | тугмаи "NG"	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
