Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
th	37.0	เครื่องหมายการค้า | ป้ายเครื่องหมายการค้า	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
th	37.0	ตัวเอ็ม | ตัวเอ็มในวงกลม | วงกลม	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
th	37.0	ตั้งฝ่ามือ | มือ | อวัยวะ	�	38.0	hand | high 5 | high five | raised hand	hand | raised hand	//ldml/annotations/annotation[@cp="✋"]
th	37.0	? | คำถาม | เครื่องหมาย | เครื่องหมายคำถาม | เครื่องหมายวรรคตอน	�	38.0	? | mark | punctuation | question | red question mark	? | mark | punctuation | question	//ldml/annotations/annotation[@cp="❓"]
th	37.0	เครื่องหมายคำถาม	�	38.0	red question mark	question mark	//ldml/annotations/annotation[@cp="❓"][@type="tts"]
th	37.0	กรุ๊ปเลือด | กรุ๊ปเอ | เลือดกรุ๊ปเอ	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
th	37.0	กรุ๊ปบี | กรุ๊ปเลือด | เลือดกรุ๊ปบี	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
th	37.0	กรุ๊ปเลือด | กรุ๊ปโอ | เลือดกรุ๊ปโอ	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
th	37.0	จอดรถ | ที่จอดรถ	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
th	37.0	กรุ๊ปเลือด | กรุ๊ปเลือดเอบี | กรุ๊ปเอบี | เลือดกรุ๊ปเอบี	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
th	37.0	ลบข้อมูล | สัญลักษณ์ลบ	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
th	37.0	เย็น | สัญลักษณ์ความเย็น	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
th	37.0	ฟรี | ไม่มีค่าใช้จ่าย | สัญลักษณ์ฟรี	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
th	37.0	รหัสประจำตัว | สัญลักษณ์หมายเลขประจำตัว | หมายเลขประจำตัว	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
th	37.0	สัญลักษณ์ใหม่ | ใหม่	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
th	37.0	ปุ่มเอ็นจี | เอ็นจี	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
th	37.0	ขอความช่วยเหลือ | ช่วยด้วย | สัญลักษณ์ขอความช่วยเหลือ	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
th	37.0	ขึ้น | สัญลักษณ์ขึ้น	�	40.0	mark | UP | UP! | UP! button	mark | up | UP! button	//ldml/annotations/annotation[@cp="🆙"]
th	37.0	ต่อสู้กับ | สัญลักษณ์ต่อสู้กับ	�	40.0	versus | VS | VS button	versus | vs | VS button	//ldml/annotations/annotation[@cp="🆚"]
th	37.0	กลางเป้า	�	38.0	bullseye	direct hit	//ldml/annotations/annotation[@cp="🎯"][@type="tts"]
th	37.0	เครื่องกดเงิน | เงิน | ธนาคาร | ฝาก-ถอน | อัตโนมัติ | เอทีเอ็ม	�	40.0	ATM | ATM sign | automated | bank | teller	atm | ATM sign | automated | bank | teller	//ldml/annotations/annotation[@cp="🏧"]
th	37.0	โคอาล่า | สัตว์	�	40.0	face | koala | marsupial	bear | koala	//ldml/annotations/annotation[@cp="🐨"]
th	37.0	ตา | ตาในลูกโป่งคำพูด | พยาน | ลูกโป่งคำพูด	�	40.0	balloon | bubble | eye | eye in speech bubble | speech | witness	eye | eye in speech bubble | speech bubble | witness	//ldml/annotations/annotation[@cp="👁‍🗨"]
th	37.0	ความยุติธรรม | ตราชั่ง | ผู้ชาย | ผู้พิพากษาชาย	�	38.0	judge | justice | man | scales	justice | man | man judge | scales	//ldml/annotations/annotation[@cp="👨‍⚖"]
th	37.0	การตัดสิน | ตราชั่ง | ผู้พิพากษาหญิง | ผู้หญิง	�	38.0	judge | justice | scales | woman	judge | scales | woman	//ldml/annotations/annotation[@cp="👩‍⚖"]
th	37.0	เต้น | นักเต้น	�	38.0	dance | dancing | woman	dancing | woman	//ldml/annotations/annotation[@cp="💃"]
th	37.0	กรน | ง่วง | หลับปุ๋ย	�	40.0	comic | good night | sleep | ZZZ	comic | sleep | zzz	//ldml/annotations/annotation[@cp="💤"]
th	37.0	หลับปุ๋ย	�	40.0	ZZZ	zzz	//ldml/annotations/annotation[@cp="💤"][@type="tts"]
