Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
lv	38.0	(C) | autortiesības | c	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
lv	38.0	(R) | preču zīme | r | reģistrēta preču zīme | reģistrēts	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
lv	38.0	preču zīme | TM	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
lv	38.0	kreisā bultiņa ar svītru virs labās bultiņas ar svītru	�	40.0	arrow | bar | leftwards | leftwards over rightwards arrow bars | rightwards	leftwards arrow bar over rightwards arrow bar	//ldml/annotations/annotation[@cp="↹"]
lv	38.0	kreisā bultiņa ar svītru virs labās bultiņas ar svītru	�	40.0	leftwards over rightwards arrow bars	leftwards arrow bar over rightwards arrow bar	//ldml/annotations/annotation[@cp="↹"][@type="tts"]
lv	38.0	mazāks nekā | mazāks nekā vai vienāds ar | nevienādība | vienāds | vienāds ar	�	39.0	equal | equals | inequality | less-than | less-than or equal	equal | equals | inequality | less-than or equal | less-then	//ldml/annotations/annotation[@cp="≤"]
lv	38.0	aplis | burts M apļveida ietvarā | M	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
lv	38.0	A | A poga (asinsgrupa) | asinsgrupa | poga A	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
lv	38.0	asinsgrupa | B | B poga (asinsgrupa) | poga B	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
lv	38.0	asinsgrupa | O | O poga (asinsgrupa) | poga O	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
lv	38.0	P | poga P | stāvvieta	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
lv	38.0	AB | AB poga (asinsgrupa) | asinsgrupa | poga AB	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
lv	38.0	CL | notīrīt | poga CL	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
lv	38.0	cool | uzraksts Cool kvadrātveida ietvarā	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
lv	38.0	bezmaksas | free | uzraksts Free kvadrātveida ietvarā	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
lv	38.0	ID | identitāte | uzraksts ID kvadrātveida ietvarā	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
lv	38.0	jauns | new | uzraksts New kvadrātveida ietvarā	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
lv	38.0	NG | uzraksts NG kvadrātveida ietvarā	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
lv	38.0	palīdzība | SOS | uzraksts SOS kvadrātveida ietvarā	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
lv	38.0	poga | poga Up! | up	�	40.0	mark | UP | UP! | UP! button	mark | up | UP! button	//ldml/annotations/annotation[@cp="🆙"]
lv	38.0	poga | uzraksts VS kvadrātveida ietvarā | vs	�	40.0	versus | VS | VS button	versus | vs | VS button	//ldml/annotations/annotation[@cp="🆚"]
lv	38.0	ATM | bankomāta zīme | bankomāts | nauda	�	40.0	ATM | ATM sign | automated | bank | teller	atm | ATM sign | automated | bank | teller	//ldml/annotations/annotation[@cp="🏧"]
lv	38.0	koala | lācis	�	40.0	face | koala | marsupial	bear | koala	//ldml/annotations/annotation[@cp="🐨"]
