Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
my	38.0	မူပိုင်ခွင့်	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
my	38.0	မှတ်ပုံတင်ထားသော	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
my	38.0	ကုန် အမှတ်တံဆိပ် | ကုန်အမှတ်တံဆိပ် | ကုန်အမှတ်တံဆိပ် သင်္ကေတ | အမှတ်တံဆိပ်	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
my	38.0	ညီမျှခြင်း | ညီမျှသော | ပိုငယ်သော | ပိုငယ်သော (သို့) ညီမျှသော | မမျှတခြင်း	�	39.0	equal | equals | inequality | less-than | less-than or equal	equal | equals | inequality | less-than or equal | less-then	//ldml/annotations/annotation[@cp="≤"]
my	38.0	စက်ဝိုင်း သင်္ကေတ | မြေအောက်ရထား သင်္ကေတ	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
my	38.0	ဘီ | ဘီ သင်္ကေတ (သွေးအမျိုးအစား) | သွေးအမျိုးအစား | အေ သင်္ကေတ (သွေးအမျိုးအစား)	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
my	38.0	ဘီ | ဘီ သင်္ကေတ (သွေးအမျိုးအစား) | သွေးအမျိုးအစား	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
my	38.0	သွေးအမျိုးအစား | အို | အို သင်္ကေတ (သွေးအမျိုးအစား)	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
my	38.0	ယာဉ်ရပ်နားရန် သင်္ကေတ | ယာဥ်ရပ်နားရန် သင်္ကေတ | အင်္ဂလိပ် အက္ခရာ ပီ သင်္ကေတပြ ခလုတ်	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
my	38.0	သွေးအမျိုးအစား | အေဘီ (သွေးအမျိုးအစား) | အေဘီ သင်္ကေတ | အေဘီ သင်္ကေတ (သွေးအမျိုးအစား)	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
my	38.0	စီအယ်လ် | စီအယ်လ် ခလုတ် | ရှင်းသွားပြီ ခလုတ်	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
my	38.0	အေးဆေးပဲ | အေးဆေးပဲ ခလုတ်	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
my	38.0	အခမဲ့ ခလုတ် | အခမဲ့ သင်္ကေတ | အခမဲ့ သင်္ကေတ ခလုတ်	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
my	38.0	အထောက်အထား | အိုင်ဒီ ခလုတ် | အိုင်ဒီ သင်္ကေတ	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
my	38.0	အသစ် | အသစ် ခလုတ်	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
my	38.0	မကောင်းပါ ခလုတ် | အင်္ဂလိပ် အက္ခရာ အန်ဂျီ ပါ ခလုတ် | အမှားပြ သင်္ကေတ	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
my	38.0	ကူညီပါ | အက်စ်အိုအက်စ် | အက်စ်အိုအက်စ် သင်္ကေတပြ ခလုတ် | အရေးပေါ် ခလုတ်	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
my	38.0	အပေါ်သို့ | အပေါ်သို့ ခလုတ် | အပေါ်သို့ပြ သင်္ကေတ ခလုတ် | အမှတ်	�	40.0	mark | UP | UP! | UP! button	mark | up | UP! button	//ldml/annotations/annotation[@cp="🆙"]
my	38.0	ဆန့်ကျင်ဘက်ပြ သင်္ကေတ | ဗွီအက်စ် | ဗွီအက်စ် ဆန့်ကျင်ဘက်ပြ သင်္ကေတ ခလုတ်	�	40.0	versus | VS | VS button	versus | vs | VS button	//ldml/annotations/annotation[@cp="🆚"]
my	38.0	ဘဏ်ငွေထုတ်စက် | အလိုအလျောက် | အေတီအမ် | အေတီအမ် ငွေထုတ်စက် သင်္ကေတ	�	40.0	ATM | ATM sign | automated | bank | teller	atm | ATM sign | automated | bank | teller	//ldml/annotations/annotation[@cp="🏧"]
my	38.0	ကိုအာလာ | ဝက်ဝံ	�	40.0	face | koala | marsupial	bear | koala	//ldml/annotations/annotation[@cp="🐨"]
my	38.0	စကားပြောအကွက် | မျက်နှာလုံးပုံစံ စကားပြောအကွက် | မျက်လုံး | သက်သေ	�	40.0	balloon | bubble | eye | eye in speech bubble | speech | witness	eye | eye in speech bubble | speech bubble | witness	//ldml/annotations/annotation[@cp="👁‍🗨"]
my	38.0	ခေါ ခေါ ခေါ | ဟာသ | အိပ်	�	40.0	comic | good night | sleep | ZZZ	comic | sleep | zzz	//ldml/annotations/annotation[@cp="💤"]
my	38.0	ခေါ ခေါ ခေါ	�	40.0	ZZZ	zzz	//ldml/annotations/annotation[@cp="💤"][@type="tts"]
my	38.0	ကွန်ပျူတာ | စီဒီ | ဒစ်ခ် | အလင်းသုံးဒစ် | အော့ပ်တစ်ကယ်	�	40.0	CD | computer | disk | optical	cd | computer | disk | optical	//ldml/annotations/annotation[@cp="💿"]
my	38.0	ကွန်ပျူတာ | ဒစ်ခ် | ဒီဗီဒီ | ဘလူးရေး | အော့ပ်တစ်ကယ်	�	40.0	Blu-ray | computer | disk | dvd | DVD | optical	blu-ray | computer | disk | dvd | optical	//ldml/annotations/annotation[@cp="📀"]
my	38.0	နောက်သို့ | နောက်သို့ပြ မြား သင်္ကေတ | မြား	�	40.0	arrow | BACK	arrow | back | BACK arrow	//ldml/annotations/annotation[@cp="🔙"]
my	38.0	မြား | အဆုံး | အဆုံးသတ်ပြ မြား	�	40.0	arrow | END	arrow | end | END arrow	//ldml/annotations/annotation[@cp="🔚"]
my	38.0	ဖွင့်ထားခြင်းပြ မြား သင်္ကေတ | ဖွင့်ထားပြီး ပြ သင်္ကေတ | ဖွင့်ထားပြီးပြ မြား သင်္ကေတ | မြား | အမှတ်အသား	�	40.0	arrow | mark | ON | ON!	arrow | mark | on | ON! arrow	//ldml/annotations/annotation[@cp="🔛"]
my	38.0	မကြာမီ ပြ သင်္ကေတ | မကြာမီ မြား | မကြာမီပြ မြား သင်္ကေတ | မြား	�	40.0	arrow | SOON	arrow | soon | SOON arrow	//ldml/annotations/annotation[@cp="🔜"]
my	38.0	ထိပ်သို့ မြား | မြား | အထက်သို့ | အပေါ်သို့ | အပေါ်သို့ပြ မြား သင်္ကေတ	�	40.0	arrow | TOP | up	arrow | top | TOP arrow | up	//ldml/annotations/annotation[@cp="🔝"]
my	38.0	စကား | စကားပြော | ဘယ်ဘက် စကားပြော အကွက်	�	40.0	balloon | bubble | dialog | left speech bubble | speech	dialog | left speech bubble | speech	//ldml/annotations/annotation[@cp="🗨"]
my	38.0	စိတ်ဆိုးခြင်း | စိတ်ဆိုးမာန်ဆိုး | စူတူတူ မျက်နှာ | နီမြန်း | ပေါက်ကွဲ | မျက်နှာ	�	40.0	angry | enraged | face | mad | pouting | rage | red	angry | face | mad | pouting | rage | red	//ldml/annotations/annotation[@cp="😡"]
my	38.0	စူတူတူ မျက်နှာ	�	40.0	enraged face	pouting face	//ldml/annotations/annotation[@cp="😡"][@type="tts"]
my	38.0	မျက်နှာ | အိပ်ငိုက် | အိပ်ငိုက်သည့်မျက်နှာ	�	40.0	face | good night | sleep | sleepy face	face | sleep | sleepy face	//ldml/annotations/annotation[@cp="😪"]
my	38.0	မျက်နှာ | ဟောက်သံ | အိပ် | အိပ်နေသည့်မျက်နှာ	�	40.0	face | good night | sleep | sleeping face | ZZZ	face | sleep | sleeping face | zzz	//ldml/annotations/annotation[@cp="😴"]
my	38.0	မျက်နှာ | မူးဝေနေသော မျက်နှာ | သတိလစ် မျက်နှာ | သေဆုံးခြင်း	�	40.0	crossed-out eyes | dead | face | face with crossed-out eyes | knocked out	dead | face | knocked out | knocked-out face	//ldml/annotations/annotation[@cp="😵"]
my	38.0	မူးဝေနေသော မျက်နှာ	�	40.0	face with crossed-out eyes	knocked-out face	//ldml/annotations/annotation[@cp="😵"][@type="tts"]
my	38.0	ဘတ်စ်ကား | ဘတ်စ်ကားမှတ်တိုင် | မှတ်တိုင်	�	40.0	bus | stop	bus | busstop | stop	//ldml/annotations/annotation[@cp="🚏"]
my	38.0	ရေအိမ် | အမျိုးသား သန့်စင်ခန်း | အမျိုးသား အိမ်သာ	�	40.0	bathroom | lavatory | man | men’s room | restroom | toilet | WC	lavatory | man | men’s room | restroom | wc	//ldml/annotations/annotation[@cp="🚹"]
my	38.0	ရေအိမ် | အမျိုးသမီး သန့်စင်ခန်း | အိမ်သာ	�	40.0	bathroom | lavatory | restroom | toilet | WC | woman | women’s room	lavatory | restroom | wc | woman | women’s room	//ldml/annotations/annotation[@cp="🚺"]
