Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
es	38.0	c | copyright | símbolo	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
es	38.0	marca registrada | r | símbolo de marca registrada	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
es	38.0	marca comercial | símbolo de marca comercial	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
es	38.0	igual | igual a | inecualidad | menor que | menor que o igual	�	39.0	equal | equals | inequality | less-than | less-than or equal	equal | equals | inequality | less-than or equal | less-then	//ldml/annotations/annotation[@cp="≤"]
es	38.0	círculo | m | m en círculo	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
es	38.0	A | grupo | sanguíneo | tipo A	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
es	38.0	B | grupo | sanguíneo | tipo B	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
es	38.0	grupo sanguíneo | grupo sanguíneo tipo O | o	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
es	38.0	aparcamiento | p | parking	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
es	38.0	AB | grupo | sanguíneo | tipo AB	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
es	38.0	borrar | símbolo	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
es	38.0	botón | botón COOL | cool | mola	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
es	38.0	botón FREE | gratis | símbolo gratis	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
es	38.0	ID | identidad | símbolo de identificación | símbolo identidad	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
es	38.0	botón | NEW | nuevo	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
es	38.0	botón | botón NG | ng | nuevo	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
es	38.0	ayuda | símbolo | símbolo de socorro | socorro | sos	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
es	38.0	arriba | botón UP! | información | novedad | símbolo | up	�	40.0	mark | UP | UP! | UP! button	mark | up | UP! button	//ldml/annotations/annotation[@cp="🆙"]
es	38.0	botón VS | contra | frente a | símbolo | versus | vs	�	40.0	versus | VS | VS button	versus | vs | VS button	//ldml/annotations/annotation[@cp="🆚"]
