Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
ko	38.0	동그라미 C | 씨 | 저작권	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
ko	38.0	동그라미 R | 등록상표 | 알	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
ko	38.0	상표 | 상표 표시 | 트레이드 마크 표시	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
ko	38.0	세로 막대가 있는 오른쪽 화살표 위에 세로 막대가 있는 왼쪽 화살표	�	40.0	arrow | bar | leftwards | leftwards over rightwards arrow bars | rightwards	leftwards arrow bar over rightwards arrow bar	//ldml/annotations/annotation[@cp="↹"]
ko	38.0	세로 막대가 있는 오른쪽 화살표 위에 세로 막대가 있는 왼쪽 화살표	�	40.0	leftwards over rightwards arrow bars	leftwards arrow bar over rightwards arrow bar	//ldml/annotations/annotation[@cp="↹"][@type="tts"]
ko	38.0	같음 | 같지 않음 | 미만 | 부등 | 이하	�	39.0	equal | equals | inequality | less-than | less-than or equal	equal | equals | inequality | less-than or equal | less-then	//ldml/annotations/annotation[@cp="≤"]
ko	38.0	M | 동그라미 | 원 | 원글자 엠	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
ko	38.0	A | 에이형 | 혈액형 에이형	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
ko	38.0	B | 비형 | 혈액형 비형	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
ko	38.0	O | 오형 | 혈액형 오형	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
ko	38.0	P | 음각 피 | 주차 | 주차 표시 | 주차장 | 파킹	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
ko	38.0	AB | 에이비형 | 혈액형 에이비형	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
ko	38.0	CL | 네모 안에 씨엘 | 씨엘 | 씨엘 네모 안	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
ko	38.0	cool | 쿨 | 쿨 신호	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
ko	38.0	자유 | 자유 신호 | 프리 | 프리 신호	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
ko	38.0	ID | 아이디 | 아이디 신호 | 아이디 표시	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
ko	38.0	NEW | 뉴 | 뉴 신호 | 새로운 | 새로운 소식 | 새로운 신호 | 새롭다	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
ko	38.0	NG | 노굿 | 노굿 신호 | 엔지 | 엔지 신호 | 엔지 표시	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
ko	38.0	SOS | 구조 | 구조 신호 | 에스오에스 | 에스오에스 신호	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
ko	38.0	UP | 업 | 위로 버튼 | 위쪽으로	�	40.0	mark | UP | UP! | UP! button	mark | up | UP! button	//ldml/annotations/annotation[@cp="🆙"]
ko	38.0	VS | 대 | 브이에스	�	40.0	versus | VS | VS button	versus | vs | VS button	//ldml/annotations/annotation[@cp="🆚"]
ko	38.0	ATM | 에이티엠 | 현금인출기	�	40.0	ATM | ATM sign | automated | bank | teller	atm | ATM sign | automated | bank | teller	//ldml/annotations/annotation[@cp="🏧"]
ko	38.0	동물 | 코알라	�	40.0	face | koala | marsupial	bear | koala	//ldml/annotations/annotation[@cp="🐨"]
ko	38.0	눈 | 말풍선 | 말풍선 속 눈	�	40.0	balloon | bubble | eye | eye in speech bubble | speech | witness	eye | eye in speech bubble | speech bubble | witness	//ldml/annotations/annotation[@cp="👁‍🗨"]
ko	38.0	수면 | 자고 있음 | 졸림 | 쿨쿨	�	40.0	comic | good night | sleep | ZZZ	comic | sleep | zzz	//ldml/annotations/annotation[@cp="💤"]
ko	38.0	졸림	�	40.0	ZZZ	zzz	//ldml/annotations/annotation[@cp="💤"][@type="tts"]
ko	38.0	CD | DVD | 광학 디스크 | 디비디 | 블루레이 | 씨디	�	40.0	CD | computer | disk | optical	cd | computer | disk | optical	//ldml/annotations/annotation[@cp="💿"]
ko	38.0	DVD | 디비디	�	40.0	Blu-ray | computer | disk | dvd | DVD | optical	blu-ray | computer | disk | dvd | optical	//ldml/annotations/annotation[@cp="📀"]
ko	38.0	뒤로 | 왼쪽 화살표 | 화살표	�	40.0	arrow | BACK	arrow | back | BACK arrow	//ldml/annotations/annotation[@cp="🔙"]
ko	38.0	끝내기 화살표 | 종료 | 화살표	�	40.0	arrow | END	arrow | end | END arrow	//ldml/annotations/annotation[@cp="🔚"]
ko	38.0	양쪽 방향 화살표 | 켜짐 | 화살표	�	40.0	arrow | mark | ON | ON!	arrow | mark | on | ON! arrow	//ldml/annotations/annotation[@cp="🔛"]
ko	38.0	곧 | 곧 진행된다는 신호 | 곧 진행된다는 표시 | 곧 진행된다는 화살표 | 화살표	�	40.0	arrow | SOON	arrow | soon | SOON arrow	//ldml/annotations/annotation[@cp="🔜"]
ko	38.0	상단 | 위로 화살표 | 위쪽 화살표 | 위쪽으로 | 화살표	�	40.0	arrow | TOP | up	arrow | top | TOP arrow | up	//ldml/annotations/annotation[@cp="🔝"]
ko	38.0	삼각형 | 위쪽 삼각형 | 위쪽 삼각형 버튼	�	42.0	arrow | button | upwards button	arrow | button | red | upwards button	//ldml/annotations/annotation[@cp="🔼"]
ko	38.0	삼각형 | 아래쪽 삼각형 | 아래쪽 삼각형 버튼	�	42.0	arrow | button | down | downwards button	arrow | button | down | downwards button | red	//ldml/annotations/annotation[@cp="🔽"]
