Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
pcm	38.0	c | Kọ́pírait	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
pcm	38.0	r | Rẹ́jísta	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
pcm	38.0	Mak | TM | Tréd Mak | Trédmak	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
pcm	38.0	Íkwọl | Íkwọ́ls To | Nọ́ Dé Íkwọl | Smọ́l-pas | Smọ́l-pas Ọ Íkwọl	�	39.0	equal | equals | inequality | less-than | less-than or equal	equal | equals | inequality | less-than or equal | less-then	//ldml/annotations/annotation[@cp="≤"]
pcm	38.0	m | M Wé Dẹm Drọ́ Sẹ́kúl Raúnd Am | Sẹ́kúl	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
pcm	38.0	a | A Bọ́tin (Blọ́d Taip)	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
pcm	38.0	b | B Bọ́tin (Blọ́d Taip) | Blọ́d Taip	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
pcm	38.0	Blọ́d Taip | o | O Bọ́tin (Blọ́d Taip)	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
pcm	38.0	P Bọ́tin | Pákin	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
pcm	38.0	ab | AB Bọ́tin (Blọ́d Taip) | Blọ́d Taip	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
pcm	38.0	cl | CL Bọ́tin	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
pcm	38.0	Cool | COOL Bọ́tin	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
pcm	38.0	FREE Bọ́tin | Fri	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
pcm	38.0	Aídẹ́ntíti | id | ID Bọ́tin	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
pcm	38.0	New | NEW Bọ́tin | Niu	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
pcm	38.0	ng | NG Bọ́tin	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
pcm	38.0	Hẹ́lẹp | sos | SOS Bọ́tin	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
pcm	38.0	Mak | Ọp | Up | UP! Bọ́tin	�	40.0	mark | UP | UP! | UP! button	mark | up | UP! button	//ldml/annotations/annotation[@cp="🆙"]
pcm	38.0	Vẹsọs | vs | VS Bọ́tin	�	40.0	versus | VS | VS button	versus | vs | VS button	//ldml/annotations/annotation[@cp="🆚"]
pcm	38.0	ATM | ATM Sain | Bank | Ọtọmátik | Tẹ́la	�	40.0	ATM | ATM sign | automated | bank | teller	atm | ATM sign | automated | bank | teller	//ldml/annotations/annotation[@cp="🏧"]
pcm	38.0	Bẹ́a | Kọála	�	40.0	face | koala | marsupial	bear | koala	//ldml/annotations/annotation[@cp="🐨"]
pcm	38.0	Ai | Ai Fọ Ínsaid Mẹ́séj Blonbló Píkchọ | Mẹ́sej | Tọk | Wítnẹs	�	40.0	balloon | bubble | eye | eye in speech bubble | speech | witness	eye | eye in speech bubble | speech bubble | witness	//ldml/annotations/annotation[@cp="👁‍🗨"]
pcm	38.0	Slip | Zzz	�	40.0	comic | good night | sleep | ZZZ	comic | sleep | zzz	//ldml/annotations/annotation[@cp="💤"]
pcm	38.0	Zzz	�	40.0	ZZZ	zzz	//ldml/annotations/annotation[@cp="💤"][@type="tts"]
pcm	38.0	CD | Disk | Kọmpúta | Ọ́ptíkal | Ọ́ptíkál Disk	�	40.0	CD | computer | disk | optical	cd | computer | disk | optical	//ldml/annotations/annotation[@cp="💿"]
pcm	38.0	Blú-Ré | Disk | DVD | Kọmpúta | Ọ́ptíkal	�	40.0	Blu-ray | computer | disk | dvd | DVD | optical	blu-ray | computer | disk | dvd | optical	//ldml/annotations/annotation[@cp="📀"]
pcm	38.0	Áro | BACK Áro | Bak	�	40.0	arrow | BACK	arrow | back | BACK arrow	//ldml/annotations/annotation[@cp="🔙"]
pcm	38.0	Áro | Bak | END Áro	�	40.0	arrow | END	arrow | end | END arrow	//ldml/annotations/annotation[@cp="🔚"]
pcm	38.0	Áro | Mak | Ọn | ON! Áro	�	40.0	arrow | mark | ON | ON!	arrow | mark | on | ON! arrow	//ldml/annotations/annotation[@cp="🔛"]
pcm	38.0	Áro | Soon | SOON Áro	�	40.0	arrow | SOON	arrow | soon | SOON arrow	//ldml/annotations/annotation[@cp="🔜"]
pcm	38.0	Áro | Ọp | Tọp | TOP Áro	�	40.0	arrow | TOP | up	arrow | top | TOP arrow | up	//ldml/annotations/annotation[@cp="🔝"]
pcm	38.0	Áro | Bọ́tin | Ọp | Ọ́p Bọ́tin | Rẹd	�	42.0	arrow | button | upwards button	arrow | button | red | upwards button	//ldml/annotations/annotation[@cp="🔼"]
pcm	38.0	Áro | Bọ́tin | Daun | Daún Bọ́tin | Rẹd	�	42.0	arrow | button | down | downwards button	arrow | button | down | downwards button | red	//ldml/annotations/annotation[@cp="🔽"]
pcm	38.0	Lẹ́ft Hánd Saíd Mẹ́séj Blonbló Píkchọ | To Tọ́k Wít Pípul | Tọk	�	40.0	balloon | bubble | dialog | left speech bubble | speech	dialog | left speech bubble | speech	//ldml/annotations/annotation[@cp="🗨"]
pcm	38.0	Bíg Vẹks Wé Dé Hád To Kọntrol | Fes | Fes Wé De Vẹ́ks Bád Bad | To Vẹ́ks Bád Bad | Vẹks	�	40.0	angry | enraged | face | mad | pouting | rage | red	angry | face | mad | pouting | rage | red	//ldml/annotations/annotation[@cp="😡"]
pcm	38.0	Fes Wé De Vẹ́ks Bád Bad	�	40.0	enraged face	pouting face	//ldml/annotations/annotation[@cp="😡"][@type="tts"]
pcm	38.0	Fes | Fes Wé Slip De Kach | Slip	�	40.0	face | good night | sleep | sleepy face	face | sleep | sleepy face	//ldml/annotations/annotation[@cp="😪"]
pcm	38.0	Fes | Fes Wé De Slip | Slip | Zzz	�	40.0	face | good night | sleep | sleeping face | ZZZ	face | sleep | sleeping face | zzz	//ldml/annotations/annotation[@cp="😴"]
pcm	38.0	Dai | Fent | Fes | Fes Wé Wán Fent	�	40.0	crossed-out eyes | dead | face | face with crossed-out eyes | knocked out	dead | face | knocked out | knocked-out face	//ldml/annotations/annotation[@cp="😵"]
pcm	38.0	Fes Wé Wán Fent	�	40.0	face with crossed-out eyes	knocked-out face	//ldml/annotations/annotation[@cp="😵"][@type="tts"]
pcm	38.0	Lávétri | Man | Man-dẹm Tọílẹ́t Rum | Rẹ́strum | WC	�	40.0	bathroom | lavatory | man | men’s room | restroom | toilet | WC	lavatory | man | men’s room | restroom | wc	//ldml/annotations/annotation[@cp="🚹"]
pcm	38.0	Lávétri | Rẹ́strum | WC | Wúman | Wúman-dẹm Tọílẹ́t Rum	�	40.0	bathroom | lavatory | restroom | toilet | WC | woman | women’s room	lavatory | restroom | wc | woman | women’s room	//ldml/annotations/annotation[@cp="🚺"]
pcm	38.0	Lávétri | Rẹ́strum | Tọílẹ́t Rum | WC	�	40.0	bathroom | lavatory | restroom | toilet | WC	lavatory | restroom | WC	//ldml/annotations/annotation[@cp="🚻"]
pcm	38.0	Lávétri | Rẹ́strum | WC | Wọ́ta | Wọ́tá Kọnténa	�	40.0	bathroom | closet | lavatory | restroom | toilet | water | WC	closet | lavatory | restroom | water | wc	//ldml/annotations/annotation[@cp="🚾"]
pcm	38.0	Hand De Họ́l Fes	�	40.0	smiling face with open hands	hugging face	//ldml/annotations/annotation[@cp="🤗"][@type="tts"]
pcm	38.0	Hand | Kọl | Mék Yu Fón Mí Hand	�	40.0	call | call me hand | hand | hang loose | Shaka	call | call me hand | hand	//ldml/annotations/annotation[@cp="🤙"]
