Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
tk	38.0	awtorlyk hukugy | c	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
tk	38.0	bellige alnan | r	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
tk	38.0	belgi | söwda belgisi | tm	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
tk	38.0	çep tarapdaky ok çyzygy	�	40.0	arrow | bar | leftwards | leftwards over rightwards arrow bars | rightwards	leftwards arrow bar over rightwards arrow bar	//ldml/annotations/annotation[@cp="↹"]
tk	38.0	çep tarapdaky ok çyzygy	�	40.0	leftwards over rightwards arrow bars	leftwards arrow bar over rightwards arrow bar	//ldml/annotations/annotation[@cp="↹"][@type="tts"]
tk	38.0	deň | deňdir | deňsizlik | kiçidir | kiçidir ýa-da deňdir	�	39.0	equal | equals | inequality | less-than | less-than or equal	equal | equals | inequality | less-than or equal | less-then	//ldml/annotations/annotation[@cp="≤"]
tk	38.0	halka | halkaly M | m	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
tk	38.0	a | A düwmesi (gan topary) | gan topary	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
tk	38.0	b | B düwmesi (gan topary) | gan topary	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
tk	38.0	gan topary | o | O düwmesi (gan topary)	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
tk	38.0	awtoduralga | P düwmesi	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
tk	38.0	ab | AB düwmesi (gan topary) | gan topary	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
tk	38.0	CL düwmesi | COOL düwmesi	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
tk	38.0	bet | COOL düwmesi	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
tk	38.0	erkin | FREE düwmesi	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
tk	38.0	id | ID düwmesi | şahsyýet	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
tk	38.0	NEW düwmesi | täze	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
tk	38.0	ng | NG düwmesi	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
tk	38.0	kömek | sos | SOS düwmesi	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
tk	38.0	belgi | UP! düwmesi | ýokary	�	40.0	mark | UP | UP! | UP! button	mark | up | UP! button	//ldml/annotations/annotation[@cp="🆙"]
tk	38.0	bilen | vs | VS düwmesi	�	40.0	versus | VS | VS button	versus | vs | VS button	//ldml/annotations/annotation[@cp="🆚"]
tk	38.0	atm | awtomatlaşdyrylan | bank | bankomat | bankomat belgisi	�	40.0	ATM | ATM sign | automated | bank | teller	atm | ATM sign | automated | bank | teller	//ldml/annotations/annotation[@cp="🏧"]
tk	38.0	aýy | koala	�	40.0	face | koala | marsupial	bear | koala	//ldml/annotations/annotation[@cp="🐨"]
tk	38.0	gepleşik şary | gepleşik şarynyň içinde göz | göz | şaýat	�	40.0	balloon | bubble | eye | eye in speech bubble | speech | witness	eye | eye in speech bubble | speech bubble | witness	//ldml/annotations/annotation[@cp="👁‍🗨"]
tk	38.0	gülkünç | uhh | uky	�	40.0	comic | good night | sleep | ZZZ	comic | sleep | zzz	//ldml/annotations/annotation[@cp="💤"]
tk	38.0	uhh	�	40.0	ZZZ	zzz	//ldml/annotations/annotation[@cp="💤"][@type="tts"]
tk	38.0	cd | disk | kompýuter | optiki	�	40.0	CD | computer | disk | optical	cd | computer | disk | optical	//ldml/annotations/annotation[@cp="💿"]
tk	38.0	blu-ray | disk | dvd | DVD | kompýuter | optiki	�	40.0	Blu-ray | computer | disk | dvd | DVD | optical	blu-ray | computer | disk | dvd | optical	//ldml/annotations/annotation[@cp="📀"]
tk	38.0	BACK oky | ok | yza	�	40.0	arrow | BACK	arrow | back | BACK arrow	//ldml/annotations/annotation[@cp="🔙"]
tk	38.0	END oky | ok | soňy	�	40.0	arrow | END	arrow | end | END arrow	//ldml/annotations/annotation[@cp="🔚"]
tk	38.0	açyk | bellik | ok | ON! oky	�	40.0	arrow | mark | ON | ON!	arrow | mark | on | ON! arrow	//ldml/annotations/annotation[@cp="🔛"]
tk	38.0	bahym | ok | SOON oky	�	40.0	arrow | SOON	arrow | soon | SOON arrow	//ldml/annotations/annotation[@cp="🔜"]
tk	38.0	ok | TOP oky | üst | ýokary	�	40.0	arrow | TOP | up	arrow | top | TOP arrow | up	//ldml/annotations/annotation[@cp="🔝"]
tk	38.0	düwme | gyzyl | ok | ýokary düwmesi	�	42.0	arrow | button | upwards button	arrow | button | red | upwards button	//ldml/annotations/annotation[@cp="🔼"]
tk	38.0	aşak | aşak düwmesi | düwme | gyzyl | ok	�	42.0	arrow | button | down | downwards button	arrow | button | down | downwards button | red	//ldml/annotations/annotation[@cp="🔽"]
tk	38.0	çepden gepleşik şary | gepleşik | gürrüň	�	40.0	balloon | bubble | dialog | left speech bubble | speech	dialog | left speech bubble | speech	//ldml/annotations/annotation[@cp="🗨"]
tk	38.0	gahar-gazap | gaharly | gamaşyk | gazaply | gyzyl | ýüz	�	40.0	angry | enraged | face | mad | pouting | rage | red	angry | face | mad | pouting | rage | red	//ldml/annotations/annotation[@cp="😡"]
tk	38.0	gamaşyk ýüz	�	40.0	enraged face	pouting face	//ldml/annotations/annotation[@cp="😡"][@type="tts"]
tk	38.0	ukuly ýüz | uky | ýüz	�	40.0	face | good night | sleep | sleepy face	face | sleep | sleepy face	//ldml/annotations/annotation[@cp="😪"]
tk	38.0	uhh | uklap ýatan ýüz | uky | ýüz	�	40.0	face | good night | sleep | sleeping face | ZZZ	face | sleep | sleeping face | zzz	//ldml/annotations/annotation[@cp="😴"]
tk	38.0	öli | urlan ýüz | ýenjilen | ýüz	�	40.0	crossed-out eyes | dead | face | face with crossed-out eyes | knocked out	dead | face | knocked out | knocked-out face	//ldml/annotations/annotation[@cp="😵"]
tk	38.0	urlan ýüz	�	40.0	face with crossed-out eyes	knocked-out face	//ldml/annotations/annotation[@cp="😵"][@type="tts"]
tk	38.0	awtobus | awtobus duralgasy | duralga	�	40.0	bus | stop	bus | busstop | stop	//ldml/annotations/annotation[@cp="🚏"]
tk	38.0	dynç otagy | erkek | erkekler otagy | hajathana | tualet	�	40.0	bathroom | lavatory | man | men’s room | restroom | toilet | WC	lavatory | man | men’s room | restroom | wc	//ldml/annotations/annotation[@cp="🚹"]
tk	38.0	aýallar otagy | dynç otagy | hajathana | tualet | zenan	�	40.0	bathroom | lavatory | restroom | toilet | WC | woman | women’s room	lavatory | restroom | wc | woman | women’s room	//ldml/annotations/annotation[@cp="🚺"]
tk	38.0	dynç otagy | hajathana | tualet	�	40.0	bathroom | lavatory | restroom | toilet | WC	lavatory | restroom | WC	//ldml/annotations/annotation[@cp="🚻"]
tk	38.0	dynç otagy | hajathana | suw | tualet | unitaz	�	40.0	bathroom | closet | lavatory | restroom | toilet | water | WC	closet | lavatory | restroom | water | wc	//ldml/annotations/annotation[@cp="🚾"]
tk	38.0	myhmanhana | uky | ýatalgada ýatan adam	�	40.0	good night | hotel | person in bed | sleep	hotel | person in bed | sleep	//ldml/annotations/annotation[@cp="🛌"]
tk	38.0	gujak | gujaklamak | gujaklaýan ýüz | ýüz	�	40.0	face | hug | hugging | open hands | smiling face | smiling face with open hands	face | hug | hugging	//ldml/annotations/annotation[@cp="🤗"]
tk	38.0	gujaklaýan ýüz	�	40.0	smiling face with open hands	hugging face	//ldml/annotations/annotation[@cp="🤗"][@type="tts"]
tk	38.0	el | jaň | jaňlaş eli	�	40.0	call | call me hand | hand | hang loose | Shaka	call | call me hand | hand	//ldml/annotations/annotation[@cp="🤙"]
tk	38.0	Awstraliýa | bökmek | kenguru | körpe | torbaly	�	42.0	joey | jump | kangaroo | marsupial	Australia | joey | jump | kangaroo | marsupial	//ldml/annotations/annotation[@cp="🦘"]
tk	38.0	deňiz ýolbarsy | düwlen	�	39.0	sea lion | seal	sea Lion | seal	//ldml/annotations/annotation[@cp="🦭"]
tk	38.0	dykylan | monoklly ýüz	�	40.0	face | face with monocle | monocle | stuffy	face with monocle | stuffy	//ldml/annotations/annotation[@cp="🧐"]
tk	38.0	awstraliýa | bumerang | degip gaýtmak | garşy | seslenme	�	42.0	boomerang | rebound | repercussion	australia | boomerang | rebound | repercussion	//ldml/annotations/annotation[@cp="🪃"]
tk	38.0	akkordeon | gysyş gutusy | konsertina	�	39.0	accordion | concertina | squeeze box	accordian | accordion | concertina | squeeze box	//ldml/annotations/annotation[@cp="🪗"]
tk	38.0	{1} {0}	�	42.0	{1}, {0}	{1} 'at' {0}	//ldml/dates/calendars/calendar[@type="generic"]/dateTimeFormats/dateTimeFormatLength[@type="full"]/dateTimeFormat[@type="standard"]/pattern[@type="standard"]
