# dir	file	added	deleted	changed	total
TOTAL		81,198	21,310	58,577	2,282,475
annotations	af.xml	242	90	3	9,439
annotations	am.xml	454	240	240	7,985
annotations	ar.xml	370	175	175	7,999
annotations	ar_SA.xml	0	0	0	2
annotations	as.xml	571	209	198	8,608
annotations	ast.xml	0	0	0	42
annotations	az.xml	605	239	201	8,655
annotations	be.xml	409	133	133	8,753
annotations	bg.xml	552	219	203	8,424
annotations	bn.xml	476	229	173	8,668
annotations	br.xml	0	0	0	3,779
annotations	bs.xml	218	2	4	8,288
annotations	ca.xml	447	216	218	8,723
annotations	ccp.xml	0	0	0	464
annotations	ceb.xml	0	0	0	7
annotations	chr.xml	508	82	82	7,721
annotations	ckb.xml	0	0	0	2
annotations	cs.xml	488	203	198	11,042
annotations	cy.xml	479	135	156	8,306
annotations	da.xml	322	86	86	8,320
annotations	de.xml	506	229	214	8,276
annotations	de_CH.xml	284	39	40	851
annotations	doi.xml	0	0	0	16
annotations	dsb.xml	6,330	1,633	1,633	9,596
annotations	el.xml	389	172	171	8,442
annotations	en.xml	279	37	5	8,407
annotations	en_001.xml	506	554	216	2,417
annotations	en_AU.xml	29	17	6	1,091
annotations	en_CA.xml	229	102	46	1,559
annotations	en_GB.xml	207	81	52	1,311
annotations	en_IN.xml	0	0	0	38
annotations	es.xml	462	217	213	9,134
annotations	es_419.xml	184	67	48	4,399
annotations	es_MX.xml	328	137	122	3,624
annotations	es_US.xml	1,273	518	127	5,139
annotations	et.xml	212	22	3	7,886
annotations	eu.xml	563	225	186	9,010
annotations	fa.xml	296	74	75	9,206
annotations	fi.xml	491	214	211	9,254
annotations	fil.xml	335	59	51	9,024
annotations	fo.xml	0	0	0	7,473
annotations	fr.xml	403	192	181	7,777
annotations	fr_CA.xml	103	24	19	4,864
annotations	ga.xml	286	157	139	7,845
annotations	gd.xml	485	61	75	10,012
annotations	gl.xml	545	269	181	8,683
annotations	gu.xml	213	3	0	7,812
annotations	ha.xml	1,726	582	468	8,284
annotations	ha_NE.xml	1,726	582	468	8,284
annotations	he.xml	208	2	0	8,293
annotations	hi.xml	379	191	185	8,634
annotations	hr.xml	434	231	196	8,360
annotations	hsb.xml	7,075	1,633	1,633	10,341
annotations	hu.xml	356	146	146	8,482
annotations	hy.xml	337	125	116	8,600
annotations	ia.xml	24	10	6	444
annotations	id.xml	386	176	176	8,630
annotations	ig.xml	0	0	0	5,846
annotations	is.xml	247	20	1	7,970
annotations	it.xml	466	223	205	8,647
annotations	ja.xml	420	210	210	9,267
annotations	jv.xml	208	0	0	7,638
annotations	ka.xml	210	1	0	8,362
annotations	kab.xml	621	577	576	2,258
annotations	kk.xml	253	110	112	7,843
annotations	kl.xml	0	0	0	5,049
annotations	km.xml	228	23	9	8,215
annotations	kn.xml	211	1	0	7,790
annotations	ko.xml	387	168	167	7,942
annotations	kok.xml	748	254	182	8,850
annotations	ku.xml	0	0	0	76
annotations	ky.xml	88	3	0	7,060
annotations	lb.xml	0	0	0	5,911
annotations	lo.xml	214	0	1	7,992
annotations	lt.xml	322	121	118	8,041
annotations	lv.xml	248	57	45	8,154
annotations	mai.xml	0	0	0	8
annotations	mi.xml	0	0	0	5,646
annotations	mk.xml	359	149	147	8,064
annotations	ml.xml	406	193	177	8,645
annotations	mn.xml	229	52	0	8,159
annotations	mni.xml	0	0	0	14
annotations	mr.xml	471	185	110	8,702
annotations	ms.xml	408	218	188	8,426
annotations	mt.xml	0	0	0	5,791
annotations	my.xml	207	10	2	7,629
annotations	ne.xml	556	183	185	8,625
annotations	nl.xml	539	192	131	8,672
annotations	nn.xml	241	23	4	8,394
annotations	no.xml	420	159	158	9,065
annotations	or.xml	533	169	33	8,754
annotations	pa.xml	262	162	150	8,890
annotations	pa_Arab.xml	0	0	0	5,960
annotations	pcm.xml	525	399	19	8,592
annotations	pl.xml	434	212	219	8,673
annotations	ps.xml	208	0	2	7,521
annotations	pt.xml	440	224	225	8,627
annotations	pt_PT.xml	352	165	157	7,597
annotations	qu.xml	1,571	547	499	7,599
annotations	rm.xml	0	0	0	83
annotations	ro.xml	384	157	150	8,807
annotations	root.xml	74	0	0	3,820
annotations	ru.xml	311	63	54	9,688
annotations	rw.xml	0	0	0	5,835
annotations	sa.xml	0	0	0	16
annotations	sat.xml	0	0	0	8
annotations	sc.xml	4,293	838	838	5,969
annotations	sd.xml	0	0	0	6,898
annotations	si.xml	202	0	0	7,958
annotations	sk.xml	394	189	183	8,672
annotations	sl.xml	421	211	204	8,893
annotations	so.xml	650	248	44	8,194
annotations	sq.xml	467	146	125	8,509
annotations	sr.xml	449	314	187	8,420
annotations	sr_Cyrl_BA.xml	1,940	146	86	3,474
annotations	sr_Latn.xml	456	307	187	8,334
annotations	sr_Latn_BA.xml	1,912	146	85	3,439
annotations	su.xml	0	0	0	8
annotations	sv.xml	297	47	19	7,875
annotations	sw.xml	210	12	0	7,805
annotations	sw_KE.xml	0	0	0	244
annotations	ta.xml	368	162	157	8,315
annotations	te.xml	359	145	147	8,065
annotations	tg.xml	0	0	0	5,928
annotations	th.xml	213	2	0	7,682
annotations	ti.xml	1,162	545	545	3,776
annotations	tk.xml	210	10	0	7,948
annotations	to.xml	434	302	362	4,974
annotations	tr.xml	208	6	3	8,335
annotations	tt.xml	0	0	0	8
annotations	ug.xml	0	0	0	5,805
annotations	uk.xml	332	117	90	8,939
annotations	ur.xml	405	196	196	8,357
annotations	uz.xml	229	16	13	8,096
annotations	vi.xml	376	154	153	8,425
annotations	wo.xml	0	0	0	5,877
annotations	xh.xml	0	0	0	5,916
annotations	yo.xml	0	0	0	5,888
annotations	yo_BJ.xml	0	0	0	5,888
annotations	yue.xml	212	0	0	7,730
annotations	yue_Hans.xml	209	0	0	7,766
annotations	zh.xml	398	197	188	8,471
annotations	zh_Hant.xml	368	158	157	6,437
annotations	zh_Hant_HK.xml	92	6	4	3,863
annotations	zu.xml	28	3	4	7,549
bcp47	calendar.xml	0	0	0	73
bcp47	collation.xml	0	0	0	158
bcp47	currency.xml	0	0	0	615
bcp47	measure.xml	0	0	0	10
bcp47	number.xml	2	0	0	182
bcp47	segmentation.xml	0	0	0	27
bcp47	timezone.xml	5	1	0	1,406
bcp47	transform-destination.xml	0	0	0	67
bcp47	transform.xml	0	0	0	48
bcp47	transform_hybrid.xml	0	0	0	5
bcp47	transform_ime.xml	0	0	0	10
bcp47	transform_keyboard.xml	0	0	0	60
bcp47	transform_mt.xml	0	0	0	4
bcp47	transform_private_use.xml	0	0	0	5
bcp47	variant.xml	0	0	0	20
collation	af.xml	0	0	0	1
collation	am.xml	0	0	0	1
collation	ar.xml	0	0	0	792
collation	as.xml	0	0	0	18
collation	az.xml	0	0	0	15
collation	be.xml	0	0	0	4
collation	bg.xml	0	0	0	2
collation	bn.xml	0	0	0	618
collation	bo.xml	70	1	0	71
collation	br.xml	1	1	0	2
collation	bs.xml	0	0	0	2
collation	bs_Cyrl.xml	0	0	0	1
collation	ca.xml	0	0	0	7
collation	ceb.xml	0	0	0	1
collation	chr.xml	0	0	0	1
collation	cs.xml	0	0	0	11
collation	cy.xml	0	0	0	8
collation	da.xml	0	0	0	11
collation	de.xml	0	0	0	25
collation	de_AT.xml	0	0	0	4
collation	dsb.xml	0	0	0	8
collation	dz.xml	0	0	0	74
collation	ee.xml	0	0	0	11
collation	el.xml	0	0	0	2
collation	en_US_POSIX.xml	0	0	0	2
collation	eo.xml	0	0	0	6
collation	es.xml	0	0	0	11
collation	et.xml	0	0	0	2
collation	fa.xml	0	0	0	10
collation	fa_AF.xml	0	0	0	1
collation	ff_Adlm.xml	0	0	0	173
collation	fi.xml	0	0	0	22
collation	fil.xml	0	0	0	1
collation	fo.xml	0	0	0	13
collation	fr_CA.xml	0	0	0	1
collation	gl.xml	0	0	0	2
collation	gu.xml	0	0	0	26
collation	ha.xml	0	0	0	6
collation	haw.xml	0	0	0	2
collation	he.xml	0	0	0	9
collation	hi.xml	0	0	0	12
collation	hr.xml	0	0	0	10
collation	hsb.xml	0	0	0	7
collation	hu.xml	0	0	0	77
collation	hy.xml	0	0	0	2
collation	ig.xml	0	0	0	9
collation	is.xml	0	0	0	10
collation	ja.xml	0	0	0	423
collation	ka.xml	0	0	0	1
collation	kk.xml	0	0	0	5
collation	kl.xml	0	0	0	8
collation	km.xml	0	0	0	60
collation	kn.xml	0	0	0	640
collation	ko.xml	0	0	0	866
collation	kok.xml	0	0	0	22
collation	ku.xml	8	8	1	28
collation	ky.xml	0	0	0	3
collation	lkt.xml	0	0	0	5
collation	ln.xml	0	0	0	12
collation	lo.xml	0	0	0	1
collation	lt.xml	0	0	0	10
collation	lv.xml	0	0	0	9
collation	mk.xml	0	0	0	4
collation	ml.xml	0	0	0	28
collation	mn.xml	0	0	0	1
collation	mr.xml	0	0	0	26
collation	mt.xml	0	0	0	13
collation	my.xml	0	0	0	377
collation	ne.xml	0	0	0	1
collation	no.xml	0	0	0	7
collation	om.xml	0	0	0	1
collation	or.xml	0	0	0	14
collation	pa.xml	0	0	0	4
collation	pl.xml	0	0	0	8
collation	ps.xml	0	0	0	18
collation	ro.xml	0	0	0	4
collation	root.xml	0	0	0	1,314
collation	ru.xml	0	0	0	2
collation	sa.xml	0	0	0	823
collation	se.xml	0	0	0	42
collation	si.xml	0	0	0	8
collation	sk.xml	0	0	0	24
collation	sl.xml	0	0	0	7
collation	smn.xml	0	0	0	8
collation	sq.xml	0	0	0	22
collation	sr.xml	0	0	0	2
collation	sr_Latn.xml	0	0	0	2
collation	sv.xml	0	0	0	14
collation	ta.xml	0	0	0	28
collation	te.xml	0	0	0	10
collation	th.xml	0	0	0	22
collation	tk.xml	0	0	0	8
collation	to.xml	0	0	0	7
collation	tr.xml	0	0	0	9
collation	ug.xml	0	0	0	4
collation	uk.xml	0	0	0	4
collation	ur.xml	0	0	0	6
collation	uz.xml	0	0	0	16
collation	vi.xml	0	0	0	21
collation	wae.xml	0	0	0	10
collation	wo.xml	0	0	0	5
collation	yi.xml	0	0	0	17
collation	yo.xml	0	0	0	5
collation	zh.xml	384	384	0	10,347
collation	zh_Hant.xml	0	0	0	1
main	af.xml	32	0	470	5,114
main	af_NA.xml	10	0	0	21
main	agq.xml	14	0	0	505
main	ak.xml	14	0	0	502
main	am.xml	47	0	94	5,298
main	ar.xml	132	0	290	9,113
main	ar_AE.xml	0	0	1	9
main	ar_BH.xml	0	0	0	1
main	ar_DJ.xml	0	0	0	2
main	ar_DZ.xml	2	0	0	48
main	ar_EG.xml	0	0	0	2
main	ar_EH.xml	0	0	0	1
main	ar_ER.xml	0	0	0	2
main	ar_IL.xml	4	0	0	9
main	ar_IQ.xml	0	0	0	73
main	ar_JO.xml	0	0	0	73
main	ar_KM.xml	4	0	0	10
main	ar_KW.xml	0	0	0	1
main	ar_LB.xml	2	0	0	79
main	ar_LY.xml	2	0	0	24
main	ar_MA.xml	6	0	0	58
main	ar_MR.xml	2	0	0	78
main	ar_OM.xml	0	0	0	1
main	ar_PS.xml	0	0	0	73
main	ar_QA.xml	0	0	0	1
main	ar_SA.xml	1	0	20	447
main	ar_SD.xml	0	0	0	1
main	ar_SO.xml	1	0	0	5
main	ar_SS.xml	0	0	0	3
main	ar_SY.xml	0	0	0	73
main	ar_TD.xml	0	0	0	1
main	ar_TN.xml	2	0	0	48
main	ar_YE.xml	0	0	0	1
main	as.xml	40	0	9	4,646
main	asa.xml	12	0	0	516
main	ast.xml	40	0	0	7,162
main	az.xml	45	0	115	5,406
main	az_Cyrl.xml	22	0	1	1,027
main	bas.xml	14	0	0	507
main	be.xml	60	0	47	6,178
main	be_TARASK.xml	14	0	1,979	6,091
main	bem.xml	12	0	0	215
main	bez.xml	12	0	0	517
main	bg.xml	40	0	5	5,376
main	bm.xml	12	0	0	508
main	bn.xml	49	0	115	5,952
main	bn_IN.xml	0	0	0	3
main	bo.xml	13	0	6	436
main	bo_IN.xml	4	0	0	10
main	br.xml	61	0	2	11,324
main	brx.xml	22	0	0	2,083
main	bs.xml	57	0	285	6,591
main	bs_Cyrl.xml	31	0	0	4,329
main	ca.xml	110	0	186	5,864
main	ca_ES_VALENCIA.xml	0	0	0	180
main	ca_FR.xml	0	0	0	1
main	ccp.xml	24	0	0	4,606
main	ce.xml	10	0	0	2,891
main	ceb.xml	20	0	6	2,444
main	cgg.xml	12	0	0	509
main	chr.xml	45	0	482	5,094
main	ckb.xml	22	0	0	1,236
main	ckb_IR.xml	8	0	3	28
main	cs.xml	158	0	435	12,428
main	cy.xml	53	0	147	8,196
main	da.xml	80	0	67	5,904
main	dav.xml	12	0	0	505
main	de.xml	89	0	233	6,930
main	de_AT.xml	2	0	0	74
main	de_CH.xml	4	0	36	194
main	de_IT.xml	0	0	0	48
main	de_LI.xml	2	0	0	10
main	de_LU.xml	0	0	0	7
main	dje.xml	14	0	0	508
main	doi.xml	19	0	12	554
main	dsb.xml	49	0	961	5,586
main	dua.xml	14	0	0	185
main	dyo.xml	14	0	0	350
main	dz.xml	22	0	0	1,468
main	ebu.xml	12	0	0	504
main	ee.xml	33	0	2	3,667
main	ee_TG.xml	4	0	0	8
main	el.xml	109	0	300	6,235
main	en.xml	67	5	41	5,769
main	en_001.xml	21	0	21	812
main	en_150.xml	4	0	0	20
main	en_AE.xml	12	0	0	170
main	en_AG.xml	0	0	0	1
main	en_AI.xml	4	0	0	9
main	en_AT.xml	3	0	0	9
main	en_AU.xml	13	0	26	2,283
main	en_BB.xml	0	0	0	1
main	en_BE.xml	5	0	0	28
main	en_BI.xml	4	0	0	9
