#Dir	Code	English Name	Native Name	Script	CLDR Target	Sublocales	Fields	UC	Missing	Modern	Miss +UC	Moderate	Miss +UC	Basic	Miss +UC	Core	Miss +UC	Core-Missing
common	af	Afrikaans	Afrikaans	Latn	modern	2	7509	0	75	7509	75	2112	13	387	0	9	0	
common	am	Amharic	አማርኛ	Ethi	modern	1	7419	1	139	7419	140	2208	14	473	1	9	0	
common	ar	Arabic	العربية	Arab	modern	28	10511	7	61	10511	68	2995	28	878	1	8	1	orientation
common	as	Assamese	অসমীয়া	Beng	modern	1	7118	0	99	7118	99	2067	35	391	6	9	0	
common	az	Azerbaijani	azərbaycan	Latn	modern	1	7334	0	149	7334	149	2162	60	438	28	9	0	
common	be	Belarusian	беларуская	Cyrl	modern	1	8529	0	39	8529	39	2396	21	408	6	9	0	
common	bg	Bulgarian	български	Cyrl	modern	1	7299	1	33	7299	34	2149	13	399	0	9	0	
common	bn	Bangla	বাংলা	Beng	modern	2	7441	0	368	7441	368	2135	13	406	0	9	0	
common	bs	Bosnian	bosanski	Latn	modern	1	7848	0	133	7848	133	2257	37	399	6	9	0	
common	ca	Catalan	català	Latn	modern	4	7351	0	53	7351	53	2153	13	398	0	9	0	
common	ceb	Cebuano	Binisaya	Latn	moderate	1	3088	0	4061	3088	4061	2027	57	353	28	8	0	ordinals*
common	cs	Czech	čeština	Latn	modern	1	10215	0	2	10215	2	2476	2	418	0	9	0	
common	cy	Welsh	Cymraeg	Latn	modern	1	9789	0	790	9789	790	2717	58	421	6	9	0	
common	da	Danish	dansk	Latn	modern	2	7453	4	88	7453	92	2130	14	389	5	9	0	
common	de	German	Deutsch	Latn	modern	7	8110	0	335	8110	335	2131	22	402	4	9	0	
common	doi	Dogri	डोगरी	Deva	basic	1	483	0	6562	483	6562	457	1605	380	7	7	1	ordinals*, collation
common	el	Greek	Ελληνικά	Grek	modern	2	7530	1	158	7530	159	2121	12	396	0	9	0	
common	en	English	English	Latn	modern	106	7115	2	0	7115	2	1626	0	595	0	9	0	
common	es	Spanish	español	Latn	modern	28	7746	0	31	7746	31	2149	13	533	1	9	0	
common	et	Estonian	eesti	Latn	modern	1	7295	0	28	7295	28	2127	16	384	6	9	0	
common	eu	Basque	euskara	Latn	modern	1	7269	9	74	7269	83	2113	35	381	7	8	1	collation
common	fa	Persian	فارسی	Arab	modern	2	7681	0	25	7681	25	2289	11	555	6	8	1	orientation
common	fi	Finnish	suomi	Latn	modern	1	7976	0	107	7976	107	2170	17	392	4	9	0	
common	fil	Filipino	Filipino	Latn	modern	1	7357	0	68	7357	68	2125	13	393	0	9	0	
common	fr	French	français	Latn	modern	46	7898	0	26	7898	26	2238	10	643	1	9	0	
common	ga	Irish	Gaeilge	Latn	modern	2	9858	0	93	9858	93	2579	11	420	0	9	0	
common	gl	Galician	galego	Latn	modern	1	7290	1	46	7290	47	2119	23	383	6	9	0	
common	gu	Gujarati	ગુજરાતી	Gujr	modern	1	7380	0	769	7380	769	2129	11	390	0	9	0	
common	ha	Hausa	Hausa	Latn	moderate	3	7333	0	212	7333	212	1942	155	374	13	8	0	ordinals*
common	he	Hebrew	עברית	Hebr	modern	1	8982	0	137	8982	137	2588	17	554	1	8	1	orientation
common	hi	Hindi	हिन्दी	Deva	modern	1	7681	12	180	7681	192	2193	32	465	2	9	0	
