# Grammatical Features
Amharic	am	grammaticalCase	general	nominative, accusative
Amharic	am	grammaticalDefiniteness	general	indefinite, definite

# Minimal Pairs
Plural	one	{0} ቀን	<div class='cldr_example'><span class='cldr_substituted'>1</span> ቀን</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> ቀን</div>
Plural	other	{0} ቀናት	<div class='cldr_example'><span class='cldr_substituted'>2</span> ቀናት</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> ቀናት</div>
Case (for measurement units)	nominative	{0} ዩኬ የሻይ ማንኪያ	<div class='cldr_example'><span class='cldr_substituted'>1 rad</span> ዩኬ የሻይ ማንኪያ</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 ራዲያን</span> ዩኬ የሻይ ማንኪያ</div>
Case (for measurement units)	accusative	ልጁ ለ {0} ቀረ	<div class='cldr_example'>ልጁ ለ <span class='cldr_substituted'>1 ራዲያን</span> ቀረ</div><div class='cldr_example'>❌  ልጁ ለ <span class='cldr_substituted'>1 rad</span> ቀረ</div>

# Unit Case and Gender Info
acceleration	meters per second squared	nominative	{0} ሜ/ሰ²	1 ሜ/ሰ² ዩኬ የሻይ ማንኪያ	{0} ሜ/ሰ²	3 ሜ/ሰ² ዩኬ የሻይ ማንኪያ
acceleration	meters per second squared	accusative	{0} ሜ/ሰ²	ልጁ ለ 1 ሜ/ሰ² ቀረ	{0} ሜ/ሰ²	ልጁ ለ 3 ሜ/ሰ² ቀረ
acceleration	g-force ( = 9.80665 m/s²)	nominative	{0} ጂ-ኃይል	1 ጂ-ኃይል ዩኬ የሻይ ማንኪያ	{0} ጂ-ኃይል	3 ጂ-ኃይል ዩኬ የሻይ ማንኪያ
acceleration	g-force ( = 9.80665 m/s²)	accusative	{0} ጂ-ኃይል	ልጁ ለ 1 ጂ-ኃይል ቀረ	{0} ጂ-ኃይል	ልጁ ለ 3 ጂ-ኃይል ቀረ
angle	arc-second ( = 0.0000007˙716049382 rev)	nominative	{0} ሰከንድ	1 ሰከንድ ዩኬ የሻይ ማንኪያ	{0} ሰከንድ	3 ሰከንድ ዩኬ የሻይ ማንኪያ
angle	arc-second ( = 0.0000007˙716049382 rev)	accusative	{0} ሰከንድ	ልጁ ለ 1 ሰከንድ ቀረ	{0} ሰከንድ	ልጁ ለ 3 ሰከንድ ቀረ
angle	arc-minute ( = 0.00004˙629 rev)	nominative	{0} ደቂቃ	1 ደቂቃ ዩኬ የሻይ ማንኪያ	{0} ደቂቃ	3 ደቂቃ ዩኬ የሻይ ማንኪያ
angle	arc-minute ( = 0.00004˙629 rev)	accusative	{0} ደቂቃ	ልጁ ለ 1 ደቂቃ ቀረ	{0} ደቂቃ	ልጁ ለ 3 ደቂቃ ቀረ
angle	degree ( = 0.002˙7 rev)	nominative	{0} ዲግሪ	1 ዲግሪ ዩኬ የሻይ ማንኪያ	{0} ዲግሪ	3 ዲግሪ ዩኬ የሻይ ማንኪያ
angle	degree ( = 0.002˙7 rev)	accusative	{0} ዲግሪ	ልጁ ለ 1 ዲግሪ ቀረ	{0} ዲግሪ	ልጁ ለ 3 ዲግሪ ቀረ
angle	radian ( = ~0.1591549430918953 rev)	nominative	{0} rad	1 rad ዩኬ የሻይ ማንኪያ	{0} rad	3 rad ዩኬ የሻይ ማንኪያ
angle	radian ( = ~0.1591549430918953 rev)	accusative	{0} ራዲያን	ልጁ ለ 1 ራዲያን ቀረ	{0} ራዲያኖች	ልጁ ለ 3 ራዲያኖች ቀረ
angle	revolutions	nominative	{0} rev	1 rev ዩኬ የሻይ ማንኪያ	{0} rev	3 rev ዩኬ የሻይ ማንኪያ
angle	revolutions	accusative	{0} ኡደት	ልጁ ለ 1 ኡደት ቀረ	{0} ኡደቶች	ልጁ ለ 3 ኡደቶች ቀረ
area	square centimeters	nominative	{0} ሴሜ²	1 ሴሜ² ዩኬ የሻይ ማንኪያ	{0} ሴሜ²	3 ሴሜ² ዩኬ የሻይ ማንኪያ
area	square centimeters	accusative	{0} ሴሜ²	ልጁ ለ 1 ሴሜ² ቀረ	{0} ሴሜ²	ልጁ ለ 3 ሴሜ² ቀረ
area	square meters	nominative	{0} ካሬ ሜትር	1 ካሬ ሜትር ዩኬ የሻይ ማንኪያ	{0} ካሬ ሜትር	3 ካሬ ሜትር ዩኬ የሻይ ማንኪያ
