# Grammatical Features
#Locale	ID	Feature	Usage	Values
Armenian	hy	grammaticalCase	general	nominative, locative, dative, instrumental, ablative

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	այդ {0} պանակը	<div class='cldr_example'>այդ <span class='cldr_substituted'>1</span> պանակը</div><div class='cldr_example'>❌  այդ <span class='cldr_substituted'>2</span> պանակը</div>
Plural	other	այդ {0} պանակները	<div class='cldr_example'>այդ <span class='cldr_substituted'>2</span> պանակները</div><div class='cldr_example'>❌  այդ <span class='cldr_substituted'>1</span> պանակները</div>
Case (for measurement units)	nominative	Մնացել է {0}	<div class='cldr_example'>Մնացել է <span class='cldr_substituted'>1 սանտիմետր</span></div><div class='cldr_example'>❌  Մնացել է <span class='cldr_substituted'>1 սանտիմետրից</span></div>
Case (for measurement units)	locative	Երկրի պտույտը {0}	<div class='cldr_example'>Երկրի պտույտը <span class='cldr_substituted'>1 սանտիմետրում</span></div><div class='cldr_example'>❌  Երկրի պտույտը <span class='cldr_substituted'>1 սանտիմետրից</span></div>
Case (for measurement units)	dative	Սպասում եմ այդ {0}	<div class='cldr_example'>Սպասում եմ այդ <span class='cldr_substituted'>1 սանտիմետրին</span></div><div class='cldr_example'>❌  Սպասում եմ այդ <span class='cldr_substituted'>1 սանտիմետրից</span></div>
Case (for measurement units)	instrumental	Հպարտանում եմ այդ {0}	<div class='cldr_example'>Հպարտանում եմ այդ <span class='cldr_substituted'>1 սանտիմետրով</span></div><div class='cldr_example'>❌  Հպարտանում եմ այդ <span class='cldr_substituted'>1 սանտիմետրից</span></div>
Case (for measurement units)	ablative	Վախենում եմ այդ {0}	<div class='cldr_example'>Վախենում եմ այդ <span class='cldr_substituted'>1 սանտիմետրից</span></div><div class='cldr_example'>❌  Վախենում եմ այդ <span class='cldr_substituted'>1 սանտիմետրին</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 3.0
acceleration	meters per second squared	nominative	{0} մետր/վայրկյան քառակուսի	Մնացել է 1 մետր/վայրկյան քառակուսի	{0} մետր/վայրկյան քառակուսի	Մնացել է 3 մետր/վայրկյան քառակուսի
acceleration	meters per second squared	locative	{0} մետրում/վայրկյան քառակուսի	Երկրի պտույտը 1 մետրում/վայրկյան քառակուսի	{0} մետրում/վայրկյան քառակուսի	Երկրի պտույտը 3 մետրում/վայրկյան քառակուսի
acceleration	meters per second squared	dative	{0} մետրին/վայրկյան քառակուսի	Սպասում եմ այդ 1 մետրին/վայրկյան քառակուսի	{0} մետրին/վայրկյան քառակուսի	Սպասում եմ այդ 3 մետրին/վայրկյան քառակուսի
acceleration	meters per second squared	instrumental	{0} մետրով/վայրկյան քառակուսի	Հպարտանում եմ այդ 1 մետրով/վայրկյան քառակուսի	{0} մետրով/վայրկյան քառակուսի	Հպարտանում եմ այդ 3 մետրով/վայրկյան քառակուսի
acceleration	meters per second squared	ablative	{0} մետրից/վայրկյան քառակուսի	Վախենում եմ այդ 1 մետրից/վայրկյան քառակուսի	{0} մետրից/վայրկյան քառակուսի	Վախենում եմ այդ 3 մետրից/վայրկյան քառակուսի
acceleration	g-force • ( = 9.80665 m/s²)	nominative	{0} g	Մնացել է 1 g	{0} g	Մնացել է 3 g
acceleration	g-force • ( = 9.80665 m/s²)	locative	{0} g	Երկրի պտույտը 1 g	{0} g	Երկրի պտույտը 3 g
acceleration	g-force • ( = 9.80665 m/s²)	dative	{0} g	Սպասում եմ այդ 1 g	{0} g	Սպասում եմ այդ 3 g
acceleration	g-force • ( = 9.80665 m/s²)	instrumental	{0} g	Հպարտանում եմ այդ 1 g	{0} g	Հպարտանում եմ այդ 3 g
acceleration	g-force • ( = 9.80665 m/s²)	ablative	{0} g	Վախենում եմ այդ 1 g	{0} g	Վախենում եմ այդ 3 g
angle	arc-second • ( = 0.0000007˙716049382 rev)	nominative	{0} վայրկյան	Մնացել է 1 վայրկյան	{0} վայրկյան	Մնացել է 3 վայրկյան
angle	arc-second • ( = 0.0000007˙716049382 rev)	locative	{0} վայրկյանում	Երկրի պտույտը 1 վայրկյանում	{0} վայրկյանում	Երկրի պտույտը 3 վայրկյանում
