# Grammatical Features
Slovak	sk	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Slovak	sk	grammaticalCase	units	nominative, accusative, genitive, instrumental
Slovak	sk	grammaticalGender	general	animate, inanimate, feminine, neuter
Slovak	sk	grammaticalGender	units	inanimate, feminine, neuter

# Minimal Pairs
Plural	one	{0} deň	<div class='cldr_example'><span class='cldr_substituted'>1</span> deň</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> deň</div>
Plural	few	{0} dni	<div class='cldr_example'><span class='cldr_substituted'>2</span> dni</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dni</div>
Plural	many	{0} dňa	<div class='cldr_example'><span class='cldr_substituted'>10,0</span> dňa</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dňa</div>
Plural	other	{0} dní	<div class='cldr_example'><span class='cldr_substituted'>5</span> dní</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dní</div>
Case (for measurement units)	nominative	{0}=nominatív	<div class='cldr_example'><span class='cldr_substituted'>joule</span>=nominatív</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 joule</span>=nominatív</div>
Case (for measurement units)	accusative	{0}=akuzatív	<div class='cldr_example'><span class='cldr_substituted'>1 joule</span>=akuzatív</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2 joulov</span>=akuzatív</div>
Case (for measurement units)	genitive	{0}=genitív	<div class='cldr_example'><span class='cldr_substituted'>2 joulov</span>=genitív</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 joule</span>=genitív</div>
Case (for measurement units)	instrumental	{0}=inštrumentál	<div class='cldr_example'><span class='cldr_substituted'>1 joulom</span>=inštrumentál</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 joule</span>=inštrumentál</div>
Gender (for measurement units)	inanimate	{0}=mužský rod, neživotné	<div class='cldr_example'><span class='cldr_substituted'>meter</span>=mužský rod, neživotné</div><div class='cldr_example'>❌  <span class='cldr_substituted'>hodina</span>=mužský rod, neživotné</div>
Gender (for measurement units)	feminine	{0}=ženský rod	<div class='cldr_example'><span class='cldr_substituted'>hodina</span>=ženský rod</div><div class='cldr_example'>❌  <span class='cldr_substituted'>meter</span>=ženský rod</div>
Gender (for measurement units)	neuter	{0}=stredný rod	<div class='cldr_example'><span class='cldr_substituted'>storočie</span>=stredný rod</div><div class='cldr_example'>❌  <span class='cldr_substituted'>hodina</span>=stredný rod</div>

# Unit Case and Gender Info
acceleration	meters per second squared	n/a	n/a	nominative	{0} meter za sekundu na druhú	1 meter za sekundu na druhú=nominatív	{0} metre za sekundu na druhú	3 metre za sekundu na druhú=nominatív	{0} metra za sekundu na druhú	0,1 metra za sekundu na druhú=nominatív	{0} metrov za sekundu na druhú	5 metrov za sekundu na druhú=nominatív
acceleration	meters per second squared	n/a	n/a	accusative	{0} meter za sekundu na druhú	1 meter za sekundu na druhú=akuzatív	{0} metre za sekundu na druhú	3 metre za sekundu na druhú=akuzatív	{0} metra za sekundu na druhú	0,1 metra za sekundu na druhú=akuzatív	{0} metrov za sekundu na druhú	5 metrov za sekundu na druhú=akuzatív
acceleration	meters per second squared	n/a	n/a	genitive	{0} meter za sekundu na druhú	1 meter za sekundu na druhú=genitív	{0} metre za sekundu na druhú	3 metre za sekundu na druhú=genitív	{0} metra za sekundu na druhú	0,1 metra za sekundu na druhú=genitív	{0} metrov za sekundu na druhú	5 metrov za sekundu na druhú=genitív
acceleration	meters per second squared	n/a	n/a	instrumental	{0} meter za sekundu na druhú	1 meter za sekundu na druhú=inštrumentál	{0} metre za sekundu na druhú	3 metre za sekundu na druhú=inštrumentál	{0} metra za sekundu na druhú	0,1 metra za sekundu na druhú=inštrumentál	{0} metrov za sekundu na druhú	5 metrov za sekundu na druhú=inštrumentál
acceleration	g-force ( = 9.80665 m/s²)	feminine	jednotka preťaženia=ženský rod	nominative	{0} jednotka preťaženia	1 jednotka preťaženia=nominatív	{0} jednotky preťaženia	3 jednotky preťaženia=nominatív	{0} jednotky preťaženia	0,1 jednotky preťaženia=nominatív	{0} jednotiek preťaženia	5 jednotiek preťaženia=nominatív
acceleration	g-force ( = 9.80665 m/s²)	feminine	jednotka preťaženia=ženský rod	accusative	{0} jednotku preťaženia	1 jednotku preťaženia=akuzatív	{0} jednotky preťaženia	3 jednotky preťaženia=akuzatív	{0} jednotky preťaženia	0,1 jednotky preťaženia=akuzatív	{0} jednotiek preťaženia	5 jednotiek preťaženia=akuzatív
acceleration	g-force ( = 9.80665 m/s²)	feminine	jednotka preťaženia=ženský rod	genitive	{0} jednotky preťaženia	1 jednotky preťaženia=genitív	{0} jednotiek preťaženia	3 jednotiek preťaženia=genitív	{0} jednotky preťaženia	0,1 jednotky preťaženia=genitív	{0} jednotiek preťaženia	5 jednotiek preťaženia=genitív
acceleration	g-force ( = 9.80665 m/s²)	feminine	jednotka preťaženia=ženský rod	instrumental	{0} jednotkou preťaženia	1 jednotkou preťaženia=inštrumentál	{0} jednotkami preťaženia	3 jednotkami preťaženia=inštrumentál	{0} jednotky preťaženia	0,1 jednotky preťaženia=inštrumentál	{0} jednotkami preťaženia	5 jednotkami preťaženia=inštrumentál
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	arcsekunda=ženský rod	nominative	{0} arcsekunda	1 arcsekunda=nominatív	{0} arcsekundy	3 arcsekundy=nominatív	{0} arcsekundy	0,1 arcsekundy=nominatív	{0} arcsekúnd	5 arcsekúnd=nominatív
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	arcsekunda=ženský rod	accusative	{0} arcsekundu	1 arcsekundu=akuzatív	{0} arcsekundy	3 arcsekundy=akuzatív	{0} arcsekundy	0,1 arcsekundy=akuzatív	{0} arcsekúnd	5 arcsekúnd=akuzatív
