# dir	file	added	deleted	changed	total
TOTAL		0	0	3,547	68,189
main	af.xml	0	0	43	341
main	am.xml	0	0	25	317
main	ar.xml	0	0	0	494
main	ar_DZ.xml	0	0	0	3
main	as.xml	0	0	0	290
main	ast.xml	0	0	37	471
main	az.xml	0	0	24	317
main	be.xml	0	0	37	327
main	bg.xml	0	0	108	407
main	bn.xml	0	0	26	323
main	br.xml	0	0	153	574
main	brx.xml	0	0	0	37
main	bs.xml	0	0	18	311
main	ca.xml	0	0	25	323
main	ceb.xml	0	0	14	43
main	chr.xml	0	0	25	316
main	cs.xml	0	0	72	518
main	cy.xml	0	0	86	484
main	da.xml	0	0	28	322
main	de.xml	0	0	25	462
main	de_CH.xml	0	0	0	8
main	doi.xml	0	0	1	52
main	dsb.xml	0	0	11	72
main	el.xml	0	0	46	340
main	en.xml	0	0	55	1,940
main	en_AU.xml	0	0	4	181
main	en_CA.xml	0	0	12	21
main	en_GB.xml	0	0	8	28
main	en_IN.xml	0	0	29	36
main	es.xml	0	0	40	427
main	es_419.xml	0	0	38	265
main	es_MX.xml	0	0	27	46
main	es_US.xml	0	0	18	34
main	et.xml	0	0	24	280
main	eu.xml	0	0	20	348
main	fa.xml	0	0	0	305
main	ff.xml	0	0	0	45
main	ff_Adlm.xml	0	0	0	56
main	fi.xml	0	0	26	462
main	fil.xml	0	0	101	390
main	fo.xml	0	0	28	318
main	fr.xml	0	0	12	563
main	fr_CA.xml	0	0	29	266
main	ga.xml	0	0	74	354
main	gd.xml	0	0	101	543
main	gl.xml	0	0	42	338
main	gu.xml	0	0	25	318
main	ha.xml	0	0	14	52
main	he.xml	0	0	48	347
main	hi.xml	0	0	26	320
main	hi_Latn.xml	0	0	49	76
main	hr.xml	0	0	16	462
main	hsb.xml	0	0	11	72
main	hu.xml	0	0	22	315
main	hy.xml	0	0	0	296
main	id.xml	0	0	35	327
main	ig.xml	0	0	21	55
main	is.xml	0	0	78	330
main	it.xml	0	0	24	184
main	ja.xml	0	0	12	446
main	jv.xml	0	0	24	62
main	ka.xml	0	0	0	294
main	kgp.xml	0	0	16	307
main	kk.xml	0	0	92	376
main	km.xml	0	0	13	298
main	kn.xml	0	0	26	323
main	ko.xml	0	0	13	308
main	kok.xml	0	0	12	295
main	ks.xml	0	0	2	36
main	ks_Deva.xml	0	0	1	19
main	ky.xml	0	0	28	317
main	lo.xml	0	0	14	302
main	lt.xml	0	0	30	326
main	lv.xml	0	0	18	311
main	mai.xml	0	0	0	30
main	mi.xml	0	0	11	42
main	mk.xml	0	0	88	381
main	ml.xml	0	0	26	322
main	mn.xml	0	0	100	391
main	mni.xml	0	0	0	31
main	mr.xml	0	0	26	317
main	ms.xml	0	0	47	344
main	my.xml	0	0	0	288
main	ne.xml	0	0	0	298
main	nl.xml	0	0	93	555
main	nn.xml	0	0	22	310
main	no.xml	0	0	79	515
main	or.xml	0	0	26	315
main	pa.xml	0	0	0	325
main	pcm.xml	0	0	44	330
main	pl.xml	0	0	25	214
main	ps.xml	0	0	3	55
main	pt.xml	0	0	21	353
main	pt_PT.xml	0	0	11	288
main	qu.xml	0	0	18	196
main	ro.xml	0	0	30	329
main	ru.xml	0	0	111	438
main	sa.xml	0	0	1	47
main	sat.xml	0	0	0	28
main	sc.xml	0	0	3	36
main	sd.xml	0	0	24	318
main	sd_Deva.xml	0	0	0	31
main	si.xml	0	0	25	323
main	sk.xml	0	0	12	453
main	sl.xml	0	0	25	319
main	so.xml	0	0	36	82
main	sq.xml	0	0	16	313
main	sr.xml	0	0	32	335
main	sr_Latn.xml	0	0	24	311
main	su.xml	0	0	8	52
main	sv.xml	0	0	25	338
main	sw.xml	0	0	13	318
main	ta.xml	0	0	2	307
main	te.xml	0	0	26	319
main	th.xml	0	0	13	442
main	tk.xml	0	0	24	314
main	to.xml	0	0	23	67
main	tr.xml	0	0	25	428
main	uk.xml	0	0	100	397
main	ur.xml	0	0	2	299
main	uz.xml	0	0	13	310
main	vi.xml	0	0	25	222
main	xh.xml	0	0	14	39
main	yo.xml	0	0	27	68
main	yrl.xml	0	0	16	316
main	yue.xml	0	0	2	438
main	yue_Hans.xml	0	0	2	432
main	zh.xml	0	0	3	449
main	zh_Hant.xml	0	0	2	435
main	zh_Hant_HK.xml	0	0	0	11
main	zu.xml	0	0	41	325
subdivisions	af.xml	0	0	0	315
subdivisions	am.xml	0	0	0	312
subdivisions	ar.xml	0	0	0	484
subdivisions	as.xml	0	0	0	312
subdivisions	az.xml	0	0	0	312
subdivisions	be.xml	0	0	0	314
subdivisions	bg.xml	0	0	0	312
subdivisions	bn.xml	0	0	0	315
subdivisions	br.xml	0	0	0	315
subdivisions	bs.xml	0	0	0	313
subdivisions	ca.xml	0	0	0	312
subdivisions	ceb.xml	0	0	0	312
subdivisions	cs.xml	0	0	0	314
subdivisions	cy.xml	0	0	0	316
subdivisions	da.xml	0	0	0	312
subdivisions	de.xml	0	0	0	315
subdivisions	de_CH.xml	0	0	0	309
subdivisions	el.xml	0	0	0	312
subdivisions	en.xml	0	0	0	1,224
subdivisions	es.xml	0	0	0	378
subdivisions	et.xml	0	0	0	312
subdivisions	eu.xml	0	0	0	312
subdivisions	fa.xml	0	0	0	315
subdivisions	fi.xml	0	0	0	312
subdivisions	fil.xml	0	0	0	312
subdivisions	fr.xml	0	0	0	378
subdivisions	ga.xml	0	0	0	321
subdivisions	gd.xml	0	0	0	314
subdivisions	gl.xml	0	0	0	312
subdivisions	gu.xml	0	0	0	312
subdivisions	ha.xml	0	0	0	318
subdivisions	he.xml	0	0	0	314
subdivisions	hi.xml	0	0	0	312
subdivisions	hr.xml	0	0	0	317
subdivisions	hu.xml	0	0	0	312
subdivisions	hy.xml	0	0	0	312
subdivisions	id.xml	0	0	0	311
subdivisions	ig.xml	0	0	0	311
subdivisions	is.xml	0	0	0	312
subdivisions	it.xml	0	0	0	315
subdivisions	ja.xml	0	0	0	311
subdivisions	jv.xml	0	0	0	311
subdivisions	ka.xml	0	0	0	312
subdivisions	kk.xml	0	0	0	312
subdivisions	km.xml	0	0	0	311
subdivisions	kn.xml	0	0	0	312
subdivisions	ko.xml	0	0	0	313
subdivisions	ky.xml	0	0	0	312
subdivisions	lo.xml	0	0	0	311
subdivisions	lt.xml	0	0	0	314
subdivisions	lv.xml	0	0	0	313
subdivisions	mk.xml	0	0	0	312
subdivisions	ml.xml	0	0	0	312
subdivisions	mn.xml	0	0	0	312
subdivisions	mr.xml	0	0	0	312
subdivisions	ms.xml	0	0	0	317
subdivisions	my.xml	0	0	0	311
subdivisions	ne.xml	0	0	0	315
subdivisions	nl.xml	0	0	0	324
subdivisions	no.xml	0	0	0	312
subdivisions	or.xml	0	0	0	312
subdivisions	pa.xml	0	0	0	315
subdivisions	pl.xml	0	0	0	314
subdivisions	ps.xml	0	0	0	315
subdivisions	pt.xml	0	0	0	342
subdivisions	ro.xml	0	0	0	317
subdivisions	ru.xml	0	0	0	339
subdivisions	sd.xml	0	0	0	315
subdivisions	si.xml	0	0	0	312
subdivisions	sk.xml	0	0	0	314
subdivisions	sl.xml	0	0	0	314
subdivisions	so.xml	0	0	0	321
subdivisions	sq.xml	0	0	0	318
