# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	af	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: auxiliary	af	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	af	…[]…	…[]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	date-lenient(:)	am	[\: ∶]	[\:∶]	moderate
Core Data	Alphabetic Information	Parse	general-lenient(£)	am	[£ ₤]	[£₤]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	ar	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	ar	…[]…	…[]…	core
Core Data	Alphabetic Information	Parse	date-lenient(:)	ar	[\: ∶]	[\:∶]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	as	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	as	…[]…	…[]…	core
Core Data	Alphabetic Information	Parse	date-lenient(:)	as	[\: ∶]	[\:∶]	moderate
Core Data	Alphabetic Information	Parse	general-lenient(£)	as	[£ ₤]	[£₤]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	ast	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: auxiliary	ast	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: index	ast	…[]…	…[]…	moderate
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	ast	…[]…	…[]…	core
Core Data	Alphabetic Information	Parse	date-lenient(:)	ast	[\: ∶]	[\:∶]	moderate
Core Data	Alphabetic Information	Parse	general-lenient(£)	ast	[£ ₤]	[£₤]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	az	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	az	…[]…	…[]…	core
Core Data	Alphabetic Information	Parse	date-lenient(:)	az	[\: ∶]	[\:∶]	moderate
Core Data	Alphabetic Information	Parse	general-lenient(£)	az	[£ ₤]	[£₤]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	bg	…[]…	…[]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	bgc	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	bgc	…[]…	…[]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	bho	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	bho	…[]…	…[]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	bn	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	bn	…[]…	…[]…	core
Core Data	Alphabetic Information	Parse	date-lenient(:)	bn	[\: ∶]	[\:∶]	moderate
Core Data	Alphabetic Information	Parse	general-lenient(£)	bn	[£ ₤]	[£₤]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	br	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: auxiliary	br	…[]…	…[]…	core
Core Data	Alphabetic Information	Parse	date-lenient(:)	br	[\: ∶]	[\:∶]	moderate
Core Data	Alphabetic Information	Parse	general-lenient(£)	br	[£ ₤]	[£₤]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	brx	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	brx	…[]…	…[]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	bs	…[]…	…[]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	ca	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: auxiliary	ca	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	ca	…[]…	…[]…	core
Core Data	Alphabetic Information	Parse	date-lenient(:)	ca	[\: ∶]	[\:∶]	moderate
Core Data	Alphabetic Information	Parse	general-lenient(£)	ca	[£ ₤]	[£₤]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	ceb	…[]…	…[]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	chr	…[]…	…[]…	core
Core Data	Alphabetic Information	Parse	date-lenient(:)	chr	[\: ∶]	[\:∶]	moderate
Core Data	Alphabetic Information	Parse	general-lenient(£)	chr	[£ ₤]	[£₤]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	cs	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: auxiliary	cs	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	cs	…[]…	…[]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	cv	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: index	cv	…[]…	…[]…	moderate
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	cv	…[]…	…[]…	core
Core Data	Alphabetic Information	Parse	date-lenient(:)	cv	[\: ∶]	[\:∶]	moderate
Core Data	Alphabetic Information	Parse	general-lenient(£)	cv	[£ ₤]	[£₤]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	cy	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: auxiliary	cy	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	cy	…[]…	…[]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Others: auxiliary	da	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	da	…[]…	…[]…	core
Core Data	Alphabetic Information	Parse	date-lenient(:)	da	[\: ∶]	[\:∶]	moderate
Core Data	Alphabetic Information	Parse	general-lenient(£)	da	[£ ₤]	[£₤]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	de	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Main Letters	de_CH	…[]…	…[]…	core
Core Data	Alphabetic Information	Characters in Use	Others: auxiliary	de	…[]…	…[]…	core
