# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	general-lenient($)	ab	[\$＄﹩ \uFFFF]	[\$＄﹩]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	general-lenient($)	am	[\$＄﹩ \uFFFF]	[\$＄﹩]	moderate
Locale Display Names	Languages (E-J)	H	Hebrew ► he	am	ዕብራይስጥ﻿	ዕብራይስጥ	modern
Miscellaneous	Displaying Lists	“Or” List	2	am	{0} ወይም {1}﻿	{0} ወይም {1}	moderate
Miscellaneous	Displaying Lists	Short “Or” List	2	am	{0} ወይም {1}﻿	{0} ወይም {1}	moderate
Miscellaneous	Displaying Lists	Narrow “Or” List	2	am	{0} ወይም {1}﻿	{0} ወይም {1}	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	general-lenient($)	as	[\$＄﹩ \uFFFF]	[\$＄﹩]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	general-lenient($)	ast	[\$＄﹩ \uFFFF]	[\$＄﹩]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	general-lenient($)	az	[\$＄﹩ \uFFFF]	[\$＄﹩]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	blo	[]	[a-ce-pr-uwyà-âè-êì-îò-ôù-ûńŋǝǹɔɖɛɩʊḿ{gb}{kp}{m̀}{ny}{sh}{ŋm}{ŋ̀}{ŋ́}{ǝ̀}{ǝ́}{ǝ̂}{ɔ̀}{ɔ́}{ɔ̂}{ɛ̀}{ɛ́}{ɛ̂}{ɩ̀}{ɩ́}{ɩ̂}{ʊ̀}{ʊ́}{ʊ̂}]	core
Core Data	Alphabetic Information	Characters in Use	Others: auxiliary	blo	[]	[dqvxzßäæëïöüÿœ]	core
Core Data	Alphabetic Information	Characters in Use	Others: numbers	blo	…[\u2030]…	…[\u2212]…	core
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	blo	…[\{\}]…	…[&quot;'\u00AB\u00BB\u2014\u2019]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	general-lenient($)	bn	[\$＄﹩ \uFFFF]	[\$＄﹩]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	general-lenient($)	br	[\$＄﹩ \uFFFF]	[\$＄﹩]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	general-lenient($)	ca	[\$＄﹩ \uFFFF]	[\$＄﹩]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	general-lenient($)	chr	[\$＄﹩ \uFFFF]	[\$＄﹩]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	ckb	…[\u06BE]…	…[\u0647]…	core
Core Data	Alphabetic Information	Characters in Use	Others: auxiliary	ckb	…[\u0647]…	…[\u06BE]…	core
Core Data	Alphabetic Information	Characters in Use	Others: index	ckb	…[\u06BE]…	…[\u0647]…	moderate
Core Data	Alphabetic Information	Characters in Use	Others: punctuation	ckb	…[,;?\{\}]…	…[&quot;'\u00AB\u00BB\u060C\u061B\u061F\u2010\u2013\u2014\u2026]…	core
Locale Display Names	Locale Name Patterns	Locale Formatting	localeSeparator	ckb	{0}, {1}	{0}، {1}	basic
Date & Time	Gregorian	Formats - Intervals - Fallback	Fallback	ckb	{0} – {1}	{0} – {1}	basic
Timezones	Timezone Display Patterns	null	Region Format - Generic	ckb	{0}	‫بەکاتی {0}‬	basic
Timezones	Timezone Display Patterns	null	Region Format - Standard	ckb	{0} (+0)	‫کاتی {0} فەرمی‬	basic
Timezones	Timezone Display Patterns	null	Region Format - Daylight	ckb	{0} (+1)	‫کاتی {0} هاوینە‬	basic
Timezones	Timezone Display Patterns	null	GMT Format	ckb	GMT{0}	‫گرینیچ {0}‬	basic
Timezones	Timezone Display Patterns	null	GMT Zero Format	ckb	GMT	‫گرینیچ‬	basic
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	csw	[]	[ᐁᐃ-ᐆᐊᐋᐍᐏᐑᐓᐕᐘᐚᐟᐠᐢ-ᐤᐦᐨᐩᐯᐱ-ᐴᐸᐹᐻᐽᐿᑁᑃᑅᑇᑊᑌᑎ-ᑑᑕᑖᑘᑚᑜᑞᑠᑢᑤᑫᑭ-ᑰᑲᑳᑵᑷᑹᑻᑽᑿᒁᒉᒋ-ᒎᒐᒑᒓᒕᒗᒙᒛᒝᒟᒣᒥ-ᒨᒪᒫᒭᒯᒱᒳᒵᒷᒹᒼᓀᓂ-ᓅᓇᓈᓊᓌᓎᓭᓯ-ᓲᓴᓵᓷᓹᓻᓽᓿᔁᔃᔦᔨ-ᔫᔭᔮᔰᔲᔴᔶᔸᔺᔼ]	core
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	general-lenient($)	cv	[\$＄﹩ \uFFFF]	[\$＄﹩]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	general-lenient($)	da	[\$＄﹩ \uFFFF]	[\$＄﹩]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	general-lenient($)	de	[\$＄﹩ \uFFFF]	[\$＄﹩]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Parse	general-lenient($)	el	[\$＄﹩ \uFFFF]	[\$＄﹩]	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Languages (K-N)	M	Mi'kmaw ► mic	en	Mi'kmaq	Mi'kmaw	modern
Locale Display Names	Territories (Africa)	Eastern Africa	IO-chagos	en	British Indian Ocean Territory	Chagos Archipelago	basic
Locale Display Names	Territories (Africa)	Eastern Africa	IO-chagos	en_GB	British Indian Ocean Territory	Chagos Archipelago	basic
Locale Display Names	Keys	calendar	calendar-islamic	en	Islamic Calendar	Hijri Calendar	moderate
Locale Display Names	Keys	calendar	calendar-islamic-civil	en	Islamic Calendar (tabular, civil epoch)	Hijri Calendar (tabular, civil epoch)	moderate
Locale Display Names	Keys	calendar	calendar-islamic-rgsa	en	Islamic Calendar (Saudi Arabia, sighting)	Hijri Calendar (Saudi Arabia, sighting)	comprehensive
Locale Display Names	Keys	calendar	calendar-islamic-tbla	en	Islamic Calendar (tabular, astronomical epoch)	Hijri Calendar (tabular, astronomical epoch)	moderate
Locale Display Names	Keys	calendar	calendar-islamic-umalqura	en	Islamic Calendar (Umm al-Qura)	Hijri Calendar (Umm al-Qura)	moderate
Date & Time	Gregorian	Formats - Standard - Time Formats	full-ascii	en_150	HH:mm:ss zzzz	h:mm:ss a zzzz	comprehensive
Date & Time	Gregorian	Formats - Standard - Time Formats	full-ascii	en_AI	HH:mm:ss zzzz	h:mm:ss a zzzz	comprehensive
Date & Time	Gregorian	Formats - Standard - Time Formats	full-ascii	en_BI	HH:mm:ss zzzz	h:mm:ss a zzzz	comprehensive
Date & Time	Gregorian	Formats - Standard - Time Formats	full-ascii	en_BW	HH:mm:ss zzzz	h:mm:ss a zzzz	comprehensive
