# Count	Section	Page	Subhead	Code

1	Locale Display Names	Languages (A-D)	A	Acehnese ► ace
1	Currencies	North America (C)	Northern America: United States	USD-symbol-narrow
1	Currencies	Unknown Region (C)	Unknown Region: null: XCG (old)	XCG-name-one
1	Currencies	Unknown Region (C)	Unknown Region: null: XCG (old)	XCG-name-other
1	Currencies	Unknown Region (C)	Unknown Region: null: XCG (old)	XCG-name
1	Locale Display Names	Territories (Asia)	Southern Asia	IN
1	Core Data	Alphabetic Information	Characters in Use	Main Letters
1	Currencies	Unknown Region (C)	Unknown Region: null: XCG (old)	XCG-symbol-narrow
1	Date & Time	Gregorian	Day Periods - abbreviated - Formatting	pm
1	Date & Time	Gregorian	Formats - Standard - Time Formats	full
1	Date & Time	Gregorian	Formats - Standard - Time Formats	long
1	Date & Time	Gregorian	Formats - Standard - Time Formats	medium
1	Date & Time	Gregorian	Formats - Standard - Time Formats	short
1	Date & Time	Gregorian	Formats - Standard - Date Formats	full
