# Count	Section	Page	Subhead	Code

152	Timezones	Unknown Region	Mexico_Northwest	daylight-long
149	Timezones	Unknown Region	Mexico_Northwest	generic-long
149	Timezones	Unknown Region	Mexico_Northwest	standard-long
115	Timezones	Europe	Cities and Regions	Uzhgorod
111	Timezones	Australasia	Cities and Regions	Currie
110	Timezones	Europe	Cities and Regions	Zaporozhye
87	Timezones	North America	Cities and Regions	Santa_Isabel
80	Timezones	North America	Cities and Regions	Rainy_River
80	Timezones	North America	Cities and Regions	Thunder_Bay
76	Timezones	Oceania	Cities and Regions	Johnston
75	Timezones	North America	Cities and Regions	Yellowknife
74	Timezones	North America	Cities and Regions	Pangnirtung
71	Timezones	North America	Cities and Regions	Nipigon
2	Timezones	Unknown Region	Mexico_Northwest	generic-short
2	Timezones	Unknown Region	Mexico_Northwest	standard-short
2	Timezones	Unknown Region	Mexico_Northwest	daylight-short
2	Core Data	Alphabetic Information	Characters in Use	Main Letters
2	Miscellaneous	Linguistic Elements	Collation	standard
1	Locale Display Names	Languages (A-D)	A	Acehnese ► ace
1	Timezones	North America	Greenland	generic-long
1	Timezones	North America	Greenland	standard-long
1	Timezones	North America	Greenland	daylight-long
1	Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-one
1	Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-one-alphaNextToNumber
1	Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-other
1	Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-other-alphaNextToNumber
1	Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-one
1	Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-one-alphaNextToNumber
1	Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-other
1	Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-other-alphaNextToNumber
1	Numbers	Compact Decimal Formatting	Short Currency 	11-digits-short-one
1	Numbers	Compact Decimal Formatting	Short Currency 	11-digits-short-one-alphaNextToNumber
1	Numbers	Compact Decimal Formatting	Short Currency 	11-digits-short-other
1	Numbers	Compact Decimal Formatting	Short Currency 	11-digits-short-other-alphaNextToNumber
1	Numbers	Compact Decimal Formatting	Short Currency 	12-digits-short-one
1	Numbers	Compact Decimal Formatting	Short Currency 	12-digits-short-one-alphaNextToNumber
1	Numbers	Compact Decimal Formatting	Short Currency 	12-digits-short-other
1	Numbers	Compact Decimal Formatting	Short Currency 	12-digits-short-other-alphaNextToNumber
1	Numbers	Compact Decimal Formatting	Short Formats 	4-digits-short-one
1	Numbers	Compact Decimal Formatting	Short Formats 	4-digits-short-other
1	Numbers	Compact Decimal Formatting	Short Formats 	5-digits-short-one
1	Numbers	Compact Decimal Formatting	Short Formats 	5-digits-short-other
1	Numbers	Compact Decimal Formatting	Short Formats 	11-digits-short-one
1	Numbers	Compact Decimal Formatting	Short Formats 	11-digits-short-other
1	Numbers	Compact Decimal Formatting	Short Formats 	12-digits-short-one
1	Numbers	Compact Decimal Formatting	Short Formats 	12-digits-short-other
1	Locale Display Names	Languages (A-D)	A	Ao Naga ► njo
1	Core Data	Alphabetic Information	Characters in Use	Others: index
1	Core Data	Alphabetic Information	Characters in Use	Others: auxiliary
1	Date & Time	Fields	Date Fields	week
1	Date & Time	Gregorian	Days - wide - Formatting	sun
1	Date & Time	Gregorian	Days - wide - Formatting	sat
