# Grammatical Features
#Locale	ID	Feature	Usage	Values
Croatian	hr	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Croatian	hr	grammaticalCase	units	nominative, accusative, genitive, instrumental
Croatian	hr	grammaticalGender	general	animate, inanimate, feminine, neuter
Croatian	hr	grammaticalGender	units	inanimate, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} sat	<div class='cldr_example'><span class='cldr_substituted'>1</span> sat</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> sat</div>
Plural	few	{0} sata	<div class='cldr_example'><span class='cldr_substituted'>2</span> sata</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> sata</div>
Plural	other	{0} sati	<div class='cldr_example'><span class='cldr_substituted'>5</span> sati</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> sati</div>
Case (for measurement units)	nominative	{0} je...	<div class='cldr_example'><span class='cldr_substituted'>2 kvadratna metra</span> je...</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 kvadratnog metra</span> je...</div>
Case (for measurement units)	accusative	Izmjerio je {0}	<div class='cldr_example'>Izmjerio je <span class='cldr_substituted'>2 kvadratna metra</span></div><div class='cldr_example'>❌  Izmjerio je <span class='cldr_substituted'>1 kvadratnog metra</span></div>
Case (for measurement units)	genitive	Mjerenje {0}	<div class='cldr_example'>Mjerenje <span class='cldr_substituted'>1 kvadratnog metra</span></div><div class='cldr_example'>❌  Mjerenje <span class='cldr_substituted'>2 kvadratna metra</span></div>
Case (for measurement units)	instrumental	Razgovara s {0}	<div class='cldr_example'>Razgovara s <span class='cldr_substituted'>1 kvadratnim metrom</span></div><div class='cldr_example'>❌  Razgovara s <span class='cldr_substituted'>2 kvadratna metra</span></div>
Gender (for measurement units)	inanimate	Ovaj {0}...	<div class='cldr_example'>Ovaj <span class='cldr_substituted'>dan</span>...</div><div class='cldr_example'>❌  Ovaj <span class='cldr_substituted'>minuta</span>...</div>
Gender (for measurement units)	feminine	Ova {0}...	<div class='cldr_example'>Ova <span class='cldr_substituted'>minuta</span>...</div><div class='cldr_example'>❌  Ova <span class='cldr_substituted'>dan</span>...</div>
Gender (for measurement units)	neuter	Ovo {0}...	<div class='cldr_example'>Ovo <span class='cldr_substituted'>stoljeće</span>...</div><div class='cldr_example'>❌  Ovo <span class='cldr_substituted'>minuta</span>...</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 21.0	Pattern for few	Case MP + pattern with 3.0	Pattern for other	Case MP + pattern with 5.0
acceleration	meters per second squared	inanimate	Ovaj metar u sekundi na kvadrat...	nominative	{0} metar u sekundi na kvadrat	21 metar u sekundi na kvadrat je...	{0} metra u sekundi na kvadrat	3 metra u sekundi na kvadrat je...	{0} metara u sekundi na kvadrat	5 metara u sekundi na kvadrat je...
acceleration	meters per second squared	inanimate	Ovaj metar u sekundi na kvadrat...	accusative	{0} metar u sekundi na kvadrat	Izmjerio je 21 metar u sekundi na kvadrat	{0} metra u sekundi na kvadrat	Izmjerio je 3 metra u sekundi na kvadrat	{0} metara u sekundi na kvadrat	Izmjerio je 5 metara u sekundi na kvadrat
acceleration	meters per second squared	inanimate	Ovaj metar u sekundi na kvadrat...	genitive	{0} metra u sekundi na kvadrat	Mjerenje 21 metra u sekundi na kvadrat	{0} metra u sekundi na kvadrat	Mjerenje 3 metra u sekundi na kvadrat	{0} metara u sekundi na kvadrat	Mjerenje 5 metara u sekundi na kvadrat
acceleration	meters per second squared	inanimate	Ovaj metar u sekundi na kvadrat...	instrumental	{0} metrom u sekundi na kvadrat	Razgovara s 21 metrom u sekundi na kvadrat	{0} metra u sekundi na kvadrat	Razgovara s 3 metra u sekundi na kvadrat	{0} metara u sekundi na kvadrat	Razgovara s 5 metara u sekundi na kvadrat
acceleration	g-force • ( = 9.80665 m/s²)	inanimate	Ovaj G...	nominative	{0} G	21 G je...	{0} G	3 G je...	{0} G	5 G je...
acceleration	g-force • ( = 9.80665 m/s²)	inanimate	Ovaj G...	accusative	{0} G	Izmjerio je 21 G	{0} G	Izmjerio je 3 G	{0} G	Izmjerio je 5 G
acceleration	g-force • ( = 9.80665 m/s²)	inanimate	Ovaj G...	genitive	{0} G	Mjerenje 21 G	{0} G	Mjerenje 3 G	{0} G	Mjerenje 5 G
acceleration	g-force • ( = 9.80665 m/s²)	inanimate	Ovaj G...	instrumental	{0} G	Razgovara s 21 G	{0} G	Razgovara s 3 G	{0} G	Razgovara s 5 G
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ova kutna sekunda...	nominative	{0} kutna sekunda	21 kutna sekunda je...	{0} kutne sekunde	3 kutne sekunde je...	{0} kutnih sekundi	5 kutnih sekundi je...
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ova kutna sekunda...	accusative	{0} kutnu sekundu	Izmjerio je 21 kutnu sekundu	{0} kutne sekunde	Izmjerio je 3 kutne sekunde	{0} kutnih sekundi	Izmjerio je 5 kutnih sekundi
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ova kutna sekunda...	genitive	{0} kutne sekunde	Mjerenje 21 kutne sekunde	{0} kutne sekunde	Mjerenje 3 kutne sekunde	{0} kutnih sekundi	Mjerenje 5 kutnih sekundi
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ova kutna sekunda...	instrumental	{0} kutnom sekundom	Razgovara s 21 kutnom sekundom	{0} kutne sekunde	Razgovara s 3 kutne sekunde	{0} kutnih sekundi	Razgovara s 5 kutnih sekundi
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ova kutna minuta...	nominative	{0} kutna minuta	21 kutna minuta je...	{0} kutne minute	3 kutne minute je...	{0} kutnih minuta	5 kutnih minuta je...
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ova kutna minuta...	accusative	{0} kutnu minutu	Izmjerio je 21 kutnu minutu	{0} kutne minute	Izmjerio je 3 kutne minute	{0} kutnih minuta	Izmjerio je 5 kutnih minuta
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ova kutna minuta...	genitive	{0} kutne minute	Mjerenje 21 kutne minute	{0} kutne minute	Mjerenje 3 kutne minute	{0} kutnih minuta	Mjerenje 5 kutnih minuta
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ova kutna minuta...	instrumental	{0} kutnom minutom	Razgovara s 21 kutnom minutom	{0} kutne minute	Razgovara s 3 kutne minute	{0} kutnih minuta	Razgovara s 5 kutnih minuta
angle	degree • ( = 0.002˙7 rev)	inanimate	Ovaj stupanj...	nominative	{0} stupanj	21 stupanj je...	{0} stupnja	3 stupnja je...	{0} stupnjeva	5 stupnjeva je...
angle	degree • ( = 0.002˙7 rev)	inanimate	Ovaj stupanj...	accusative	{0} stupanj	Izmjerio je 21 stupanj	{0} stupnja	Izmjerio je 3 stupnja	{0} stupnjeva	Izmjerio je 5 stupnjeva
angle	degree • ( = 0.002˙7 rev)	inanimate	Ovaj stupanj...	genitive	{0} stupnja	Mjerenje 21 stupnja	{0} stupnja	Mjerenje 3 stupnja	{0} stupnjeva	Mjerenje 5 stupnjeva
angle	degree • ( = 0.002˙7 rev)	inanimate	Ovaj stupanj...	instrumental	{0} stupnjem	Razgovara s 21 stupnjem	{0} stupnja	Razgovara s 3 stupnja	{0} stupnjeva	Razgovara s 5 stupnjeva
angle	radian • ( = ~0.1591549430918953 rev)	inanimate	Ovaj radijan...	nominative	{0} radijan	21 radijan je...	{0} radijana	3 radijana je...	{0} radijana	5 radijana je...
angle	radian • ( = ~0.1591549430918953 rev)	inanimate	Ovaj radijan...	accusative	{0} radijan	Izmjerio je 21 radijan	{0} radijana	Izmjerio je 3 radijana	{0} radijana	Izmjerio je 5 radijana
angle	radian • ( = ~0.1591549430918953 rev)	inanimate	Ovaj radijan...	genitive	{0} radijana	Mjerenje 21 radijana	{0} radijana	Mjerenje 3 radijana	{0} radijana	Mjerenje 5 radijana
angle	radian • ( = ~0.1591549430918953 rev)	inanimate	Ovaj radijan...	instrumental	{0} radijanom	Razgovara s 21 radijanom	{0} radijana	Razgovara s 3 radijana	{0} radijana	Razgovara s 5 radijana
angle	revolutions	inanimate	Ovaj okretaj...	nominative	{0} okretaj	21 okretaj je...	{0} okretaja	3 okretaja je...	{0} okretaja	5 okretaja je...
angle	revolutions	inanimate	Ovaj okretaj...	accusative	{0} okretaj	Izmjerio je 21 okretaj	{0} okretaja	Izmjerio je 3 okretaja	{0} okretaja	Izmjerio je 5 okretaja
angle	revolutions	inanimate	Ovaj okretaj...	genitive	{0} okretaja	Mjerenje 21 okretaja	{0} okretaja	Mjerenje 3 okretaja	{0} okretaja	Mjerenje 5 okretaja
angle	revolutions	inanimate	Ovaj okretaj...	instrumental	{0} okretajem	Razgovara s 21 okretajem	{0} okretaja	Razgovara s 3 okretaja	{0} okretaja	Razgovara s 5 okretaja
area	square centimeters	inanimate	Ovaj kvadratni centimetar...	nominative	{0} kvadratni centimetar	21 kvadratni centimetar je...	{0} kvadratna centimetra	3 kvadratna centimetra je...	{0} kvadratnih centimetara	5 kvadratnih centimetara je...
area	square centimeters	inanimate	Ovaj kvadratni centimetar...	accusative	{0} kvadratni centimetar	Izmjerio je 21 kvadratni centimetar	{0} kvadratna centimetra	Izmjerio je 3 kvadratna centimetra	{0} kvadratnih centimetara	Izmjerio je 5 kvadratnih centimetara
area	square centimeters	inanimate	Ovaj kvadratni centimetar...	genitive	{0} kvadratnog centimetra	Mjerenje 21 kvadratnog centimetra	{0} kvadratna centimetra	Mjerenje 3 kvadratna centimetra	{0} kvadratnih centimetara	Mjerenje 5 kvadratnih centimetara
area	square centimeters	inanimate	Ovaj kvadratni centimetar...	instrumental	{0} kvadratnim centimetrom	Razgovara s 21 kvadratnim centimetrom	{0} kvadratna centimetra	Razgovara s 3 kvadratna centimetra	{0} kvadratnih centimetara	Razgovara s 5 kvadratnih centimetara
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	nominative	{0} kvadratni inč	21 kvadratni inč je...	{0} kvadratna inča	3 kvadratna inča je...	{0} kvadratnih inča	5 kvadratnih inča je...
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	accusative	{0} kvadratni inč	Izmjerio je 21 kvadratni inč	{0} kvadratna inča	Izmjerio je 3 kvadratna inča	{0} kvadratnih inča	Izmjerio je 5 kvadratnih inča
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	genitive	{0} kvadratni inč	Mjerenje 21 kvadratni inč	{0} kvadratna inča	Mjerenje 3 kvadratna inča	{0} kvadratnih inča	Mjerenje 5 kvadratnih inča
