# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Territories (Africa)	Middle Africa	CG	af	Kongo - Brazzaville	Kongo-Brazzaville	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Fields	Date Fields	era	ak	Bere	berԑ	moderate
Date & Time	Fields	Date Fields	week	ak	Dapɛn	Nnawͻtwe	moderate
Date & Time	Fields	Date Fields	hour	ak	Dɔnhwer	dͻnhwere	moderate
Date & Time	Fields	Date Fields	minute	ak	Sema	sima	moderate
Date & Time	Fields	Date Fields	second	ak	Sɛkɛnd	Simasin	moderate
Date & Time	Gregorian	Formats - Standard - Date Formats	full	ak	EEEE, y MMMM dd	EEE, MMMM d, y	moderate
Date & Time	Gregorian	Formats - Standard - Date Formats	long	ak	y MMMM d	MMMM d, y	moderate
Date & Time	Gregorian	Formats - Standard - Date Formats	medium	ak	y MMM d	MMM d, y	moderate
Date & Time	Gregorian	Formats - Standard - Date Formats	short	ak	yy/MM/dd	M/d/yy	moderate
Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency	ak	¤#,##0.00	¤#,##0.00;(¤#,##0.00)	moderate
Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-other	ak	¤0G	¤ 0G	moderate
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	ak	F CFA	AAS	moderate
Currencies	Western Asia (C)	Western Asia: Iraq	IQD-symbol	ak	IQD	Irak dinaa	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Locale Name Patterns	Locale Formatting	localeSeparator	am	{0}፣{1}	{0}፣ {1}	basic
Date & Time	Gregorian	Formats - Standard - Date Formats	full	am	y MMMM d, EEEE	EEEE d MMMM y	moderate
Date & Time	Gregorian	Formats - Flexible - Date Formats	MEd	am	E፣ M/d	E፣ d/M	moderate
Currencies	Eastern Asia (C)	Eastern Asia: China: CNH (offshore)	CNH-symbol	am	የቻይና ዩዋን	CNH	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Numbering Systems	Numbering System	default	ar	arab	latn	basic
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Day Periods - wide - Formatting	am	as	পূৰ্বাহ্ন	AM	basic
Date & Time	Gregorian	Day Periods - wide - Formatting	pm	as	অপৰাহ্ন	PM	basic
Date & Time	Gregorian	Day Periods - abbreviated - Formatting	am	as	পূৰ্বাহ্ন	AM	moderate
Date & Time	Gregorian	Day Periods - abbreviated - Formatting	pm	as	অপৰাহ্ন	PM	moderate
Units	Other Units Metric Per	kilowatt-hour-per-100-kilometer	narrow-one-nominative	as	{0} kWh/100km	{0}kWh/100km	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Symbols	Symbols using Arabic-Indic Digits (arab)	group	az	٬	,	basic
Numbers	Number Formatting Patterns	Standard Patterns using Arabic-Indic Digits (arab)	standard-decimal	az	#,##0.###	standart onluq kəsr0.###	basic
#Section	Page	Header	Code	Locale	Old	New	Level
Units	Weather	fahrenheit	narrow-one-nominative	bg	{0} °F	{0}°F	modern
Units	Weather	fahrenheit	narrow-other-nominative	bg	{0} °F	{0}°F	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Currencies	Southern Asia (C)	Southern Asia: India	INR-name-one	bn	ভারতীয় রুপি	ভারতীয় টাকা	moderate
Currencies	Southern Asia (C)	Southern Asia: India	INR-name-other	bn	ভারতীয় রুপি	ভারতীয় টাকা	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol	brx	एफ सि.एफ.ए	F CFA	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
