#Locale	TargetLevel	№ Found	№ Unconfirmed	№ Missing
aa	*basic	0	26	39
ab	*basic	1	64	0
af	modern	8778	0	23
agq	*basic	39	0	24
ak	moderate	423	1	1261
am	modern	9099	0	26
an	*basic	1	64	0
ann	*basic	5	0	60
apc	*basic	1	60	4
ar	modern	12552	0	23
arn	*basic	1	0	62
as	modern	8795	1	22
asa	*basic	34	0	29
‡ast	moderate	2038	9	92
az	modern	8933	0	22
az_Arab	*basic	15	0	56
az_Cyrl	*basic	45	0	24
ba	*basic	1	0	62
bal	*basic	6	36	23
bal_Latn	*basic	12	35	19
bas	*basic	39	0	24
be	modern	10396	0	23
bem	*basic	34	0	29
bew	*basic	0	63	0
bez	*basic	34	0	29
bg	modern	8807	0	21
bgc	basic	65	0	0
bgn	*basic	16	0	53
bho	basic	65	0	0
blo	*basic	65	0	0
blt	*basic	1	0	62
bm	*basic	29	0	35
bm_Nkoo	*basic	2	3	61
bn	modern	8995	0	21
bo	*basic	32	4	31
‡br	moderate	2607	2	7
brx	basic	65	0	0
bs	modern	9549	2	19
‡bs_Cyrl	basic	66	0	0
bss	*basic	17	0	46
byn	*basic	2	25	38
ca	modern	8935	0	20
cad	*basic	20	7	36
cch	*basic	1	19	43
ccp	*basic	65	2	0
ce	*basic	48	0	15
ceb	moderate	2133	0	0
cgg	*basic	32	0	31
cho	*basic	11	0	52
‡chr	modern	8743	0	24
cic	*basic	22	5	36
ckb	*basic	55	10	2
co	*basic	1	64	0
cs	modern	12953	0	60
csw	*basic	65	0	0
cu	*basic	1	50	13
cv	basic	65	0	0
cy	modern	12217	0	20
da	modern	9161	0	28
dav	*basic	34	0	29
de	modern	9905	0	39
dje	*basic	39	0	24
doi	basic	65	0	0
‡dsb	modern	10128	0	23
dua	*basic	38	0	25
dv	*basic	1	2	61
dyo	*basic	37	0	26
dz	*basic	61	0	4
ebu	*basic	34	0	29
ee	basic	62	2	0
el	modern	9366	0	37
en	modern	8671	0	0
en_Dsrt	*basic	130	1	40
en_Shaw	*basic	24	1	146
eo	*basic	65	0	0
es	modern	8984	0	24
et	modern	8768	0	15
eu	modern	8777	0	21
ewo	*basic	39	0	24
fa	modern	8967	0	20
‡ff	*basic	43	0	32
‡ff_Adlm	moderate	2186	4	36
fi	modern	9714	0	30
fil	modern	8792	0	22
‡fo	moderate	2153	0	0
fr	modern	9063	0	20
frr	*basic	1	64	0
fur	*basic	51	0	12
fy	*basic	65	0	0
ga	modern	11325	0	18
gaa	basic	1	63	1
gd	modern	10478	0	19
gez	*basic	0	26	38
gl	modern	8793	0	24
gn	*basic	20	3	40
gsw	*basic	53	0	12
gu	modern	8939	0	22
guz	*basic	32	0	31
gv	*basic	24	0	39
ha	modern	8822	0	35
ha_Arab	*basic	1	21	46
haw	*basic	44	0	19
he	modern	10809	0	23
hi	modern	9352	3	26
hi_Latn	modern	8973	2	0
hnj	*basic	16	1	48
hr	modern	10803	0	42
‡hsb	modern	10211	0	23
hu	modern	9683	0	34
hy	modern	9631	0	37
‡ia	basic	65	0	0
id	modern	8050	0	18
ie	*basic	65	0	0
ig	modern	7878	0	24
ii	*basic	46	0	17
io	*basic	1	0	62
is	modern	9592	0	36
it	modern	8935	0	20
iu	*basic	6	23	35
iu_Latn	*basic	0	0	64
ja	modern	8767	0	18
jbo	*basic	1	0	62
jgo	*basic	47	0	18
jmc	*basic	32	0	31
jv	modern	7971	0	23
ka	modern	8360	0	23
kaa	*basic	0	0	64
kaa_Latn	*basic	0	0	64
kab	*basic	32	33	0
kaj	*basic	1	21	41
kam	*basic	32	0	31
kcg	*basic	1	19	43
kde	*basic	32	0	31
‡kea	basic	65	0	0
ken	*basic	1	0	62
‡kgp	moderate	2160	2	14
