#Language	English Name	Native Name	Script	Default Region	№ Locales	Target Level	≟	Computed Level	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features
en	English	English	Latn	US	108	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
hi_Latn	Hindi (Latin)	Hindi [Latin]	Latn	IN	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
nn	Norwegian Nynorsk	norsk nynorsk	Latn	NO	1	modern	 ≡	modern	ICU	0.9992433250459409	0.999309332642666	1.0	1.0	1.0	🄼 ordinals
ja	Japanese	日本語	Jpan	JP	1	modern	 ≡	modern	ICU	1.0	0.9996516286361261	0.9992467043314501	1.0	1.0	
ms	Malay	Melayu	Latn	MY	4	modern	 ≡	modern	ICU	1.0	0.9996204213323211	0.9991405242801891	1.0	1.0	
zh_Hant	Chinese (Traditional)	繁體中文	Hant	TW	0	modern	 ≡	modern	ICU	1.0	0.9991478079727298	0.9991181657848325	1.0	1.0	🄼 grammar
zh	Chinese	中文	Hans	CN	5	modern	 ≡	modern	ICU	1.0	0.9996210326859308	0.999116217410517	1.0	1.0	
ko	Korean	한국어	Kore	KR	3	modern	 ≡	modern	ICU	1.0	0.999244142101285	0.9991043439319302	1.0	1.0	
id	Indonesian	Indonesia	Latn	ID	1	modern	 ≡	modern	ICU	1.0	0.9996124782018988	0.9990958408679927	1.0	1.0	
th	Thai	ไทย	Thai	TH	1	modern	 ≡	modern	ICU	1.0	0.9996104022596669	0.9990829894543787	1.0	1.0	
my	Burmese	မြန်မာ	Mymr	MM	1	modern	 ≡	modern	ICU	1.0	0.999605367008682	0.9990714948932219	1.0	1.0	
lo	Lao	ລາວ	Laoo	LA	1	modern	 ≡	modern	ICU	1.0	0.9996052891257154	0.9990675990675991	1.0	1.0	
km	Khmer	ខ្មែរ	Khmr	KH	1	modern	 ≡	modern	ICU	1.0	0.9995067574233008	0.9990671641791045	1.0	1.0	🄼 grammar
vi	Vietnamese	Tiếng Việt	Latn	VN	1	modern	 ≡	modern	ICU	1.0	0.9992223194322932	0.9990632318501171	1.0	1.0	
ig	Igbo	Igbo	Latn	NG	1	modern	 ≡	modern	ICU	1.0	0.9990049751243781	0.9990512333965844	1.0	1.0	🄼 grammar, 🄼 ordinals
yo	Yoruba	Èdè Yorùbá	Latn	NG	2	modern	 ≡	modern	ICU	1.0	0.999204375932372	0.9990507831039392	1.0	1.0	🄼 grammar, 🄼 ordinals
fa	Persian	‫فارسی‬	Arab	IR	2	modern	 ≡	modern	ICU	1.0	0.9989639095147643	0.9988142292490119	1.0	1.0	
fr	French	français	Latn	FR	46	modern	 ≡	modern	ICU	1.0	0.9994840928632847	0.9987956643918106	1.0	1.0	
ps	Pashto	‫پښتو‬	Arab	AF	2	modern	 ≡	modern	ICU	1.0	0.9988457782118441	0.9987951807228915	1.0	1.0	🄼 grammar
az	Azeri	azərbaycan	Latn	AZ	1	modern	 ≡	modern	ICU	1.0	0.9994752033586985	0.9987839481151196	1.0	1.0	
pa	Punjabi	ਪੰਜਾਬੀ	Guru	IN	1	modern	 ≡	modern	ICU	1.0	0.9994898826730148	0.9987775061124694	1.0	1.0	
ur	Urdu	‫اردو‬	Arab	PK	2	modern	 ≡	modern	ICU	1.0	0.9994805644532941	0.9987760097919217	1.0	1.0	
uz	Uzbek	o‘zbek	Latn	UZ	1	modern	 ≡	modern	ICU	1.0	0.9989471837164415	0.9987755102040816	1.0	1.0	
ta	Tamil	தமிழ்	Taml	IN	4	modern	 ≡	modern	ICU	1.0	0.999504377994383	0.9987714987714987	1.0	1.0	
ml	Malayalam	മലയാളം	Mlym	IN	1	modern	 ≡	modern	ICU	1.0	0.9990098192920208	0.9987709954936501	1.0	1.0	
bn	Bangla	বাংলা	Beng	BD	2	modern	 ≡	modern	ICU	1.0	0.998950223077596	0.9987704918032787	1.0	1.0	
hi	Hindi	हिन्दी	Deva	IN	1	modern	 ≡	modern	ICU	1.0	0.9994950770007573	0.9987694831829368	1.0	1.0	
mr	Marathi	मराठी	Deva	IN	1	modern	 ≡	modern	ICU	1.0	0.999542717780657	0.9987689782519491	1.0	1.0	
pt	Portuguese	português	Latn	BR	12	modern	 ≡	modern	ICU	1.0	0.9994801143748375	0.9987684729064039	1.0	1.0	
tr	Turkish	Türkçe	Latn	TR	2	modern	 ≡	modern	ICU	1.0	0.9994737765304332	0.9987684729064039	1.0	1.0	
am	Amharic	አማርኛ	Ethi	ET	1	modern	 ≡	modern	ICU	1.0	0.999483204134367	0.9987618654560462	1.0	1.0	
tk	Turkmen	türkmen dili	Latn	TM	1	modern	 ≡	modern	ICU	1.0	0.9993835857696372	0.9987618654560462	1.0	1.0	🄼 grammar
sq	Albanian	shqip	Latn	AL	3	modern	 ≡	modern	ICU	1.0	0.9988544236869933	0.9987603305785124	1.0	1.0	🄼 grammar
gu	Gujarati	ગુજરાતી	Gujr	IN	1	modern	 ≡	modern	ICU	1.0	0.9994750656167979	0.9987587918907737	1.0	1.0	
kn	Kannada	ಕನ್ನಡ	Knda	IN	1	modern	 ≡	modern	ICU	1.0	0.9995216836734694	0.9987572493786246	1.0	1.0	
te	Telugu	తెలుగు	Telu	IN	1	modern	 ≡	modern	ICU	1.0	0.9994722955145119	0.998756734355574	1.0	1.0	
fi	Finnish	suomi	Latn	FI	1	modern	 ≡	modern	ICU	1.0	0.9983636066110293	0.9987442444537463	1.0	1.0	
as	Assamese	অসমীয়া	Beng	IN	1	modern	 ≡	modern	ICU	1.0	0.9993781646975215	0.9987431922915794	1.0	1.0	🄼 grammar
es	Spanish	español	Latn	ES	28	modern	 ≡	modern	ICU	1.0	0.9994755244755245	0.998742665549036	1.0	1.0	
or	Odia	ଓଡ଼ିଆ	Orya	IN	1	modern	 ≡	modern	ICU	1.0	0.999379652605459	0.9987421383647799	1.0	1.0	🄼 grammar
bg	Bulgarian	български	Cyrl	BG	1	modern	 ≡	modern	ICU	1.0	0.9993782751576517	0.9987389659520807	1.0	1.0	🄼 grammar
kk	Kazakh	қазақ тілі	Cyrl	KZ	1	modern	 ≡	modern	ICU	1.0	0.9994652406417113	0.9987341772151899	1.0	1.0	
ky	Kyrgyz	кыргызча	Cyrl	KG	1	modern	 ≡	modern	ICU	1.0	0.9994652406417113	0.9987341772151899	1.0	1.0	
ca	Catalan	català	Latn	ES	4	modern	 ≡	modern	ICU	1.0	0.9994728055531148	0.9987336428872943	1.0	1.0	
de	German	Deutsch	Latn	DE	7	modern	 ≡	modern	ICU	1.0	0.9984651425801762	0.9987277353689568	1.0	1.0	
ne	Nepali	नेपाली	Deva	NP	2	modern	 ≡	modern	ICU	1.0	0.9994641421809414	0.9987271955876114	1.0	1.0	
hu	Hungarian	magyar	Latn	HU	1	modern	 ≡	modern	ICU	1.0	0.9995066600888012	0.9987250318742031	1.0	1.0	
gl	Galician	galego	Latn	ES	1	modern	 ≡	modern	ICU	1.0	0.9993762252717876	0.9987250318742031	1.0	1.0	🄼 grammar
sv	Swedish	svenska	Latn	SE	3	modern	 ≡	modern	ICU	1.0	0.9994828923554253	0.9987217724755006	1.0	1.0	
ha	Hausa	Hausa	Latn	NG	3	modern	 ≡	modern	ICU	1.0	0.9992840522641847	0.9987206823027719	1.0	1.0	🄼 grammar, 🄼 ordinals
si	Sinhala	සිංහල	Sinh	LK	1	modern	 ≡	modern	ICU	1.0	0.999464237878382	0.9987201365187713	1.0	1.0	
it	Italian	italiano	Latn	IT	4	modern	 ≡	modern	ICU	1.0	0.9992954025013211	0.9987201365187713	1.0	1.0	
mk	Macedonian	македонски	Cyrl	MK	1	modern	 ≡	modern	ICU	1.0	0.9993735457311617	0.998719590268886	1.0	1.0	🄼 grammar
da	Danish	dansk	Latn	DK	2	modern	 ≡	modern	ICU	1.0	0.9987063389391979	0.998719590268886	1.0	1.0	
et	Estonian	eesti	Latn	EE	1	modern	 ≡	modern	ICU	1.0	0.9988365849293002	0.9987190435525192	1.0	1.0	🄼 grammar
nl	Dutch	Nederlands	Latn	NL	7	modern	 ≡	modern	ICU	1.0	0.9994715518759908	0.9987184963690731	1.0	1.0	
sw	Swahili	Kiswahili	Latn	TZ	4	modern	 ≡	modern	ICU	1.0	0.9993738259236068	0.9987174005985464	1.0	1.0	🄼 grammar
fil	Filipino	Filipino	Latn	PH	1	modern	 ≡	modern	ICU	1.0	0.9989287627209427	0.9987174005985464	1.0	1.0	
el	Greek	Ελληνικά	Grek	GR	2	modern	 ≡	modern	ICU	1.0	0.9994921279837481	0.9987146529562982	1.0	1.0	
ka	Georgian	ქართული	Geor	GE	1	modern	 ≡	modern	ICU	1.0	0.9987943985903738	0.9987146529562982	1.0	1.0	🄼 grammar
hy	Armenian	հայերեն	Armn	AM	1	modern	 ≡	modern	ICU	1.0	0.9983458770986684	0.9987146529562982	1.0	1.0	
is	Icelandic	íslenska	Latn	IS	1	modern	 ≡	modern	ICU	1.0	0.9984225819842258	0.9987141020145736	1.0	1.0	
zu	Zulu	isiZulu	Latn	ZA	1	modern	 ≡	modern	ICU	1.0	0.9981219817563942	0.9987135506003431	1.0	1.0	🄼 grammar
no	Norwegian	norsk	Latn	NO	0	modern	 ≡	modern	ICU	1.0	0.9994824909435915	0.9987129987129987	1.0	1.0	
mn	Mongolian	монгол	Cyrl	MN	1	modern	 ≡	modern	ICU	1.0	0.9988343943333632	0.9987118935165307	1.0	1.0	🄼 grammar
af	Afrikaans	Afrikaans	Latn	ZA	2	modern	 ≡	modern	ICU	1.0	0.9994632793630915	0.9987102321582115	1.0	1.0	
chr	Cherokee	ᏣᎳᎩ	Cher	US	1	‡modern	 ≡	modern	ICU	1.0	0.9991915199425081	0.9987029831387808	1.0	1.0	🄼 grammar, 🄼 ordinals, 🄼 romanization
yue	Cantonese	粵語	Hant	HK	2	modern	 ≡	modern	ICU	1.0	0.9993220338983051	0.9986589181940099	1.0	1.0	ⓜ collation, 🄼 grammar
yue_Hans	Cantonese (Simplified)	粤语 (简体)	Hans	CN	0	‡modern	 ≡	modern	ICU	1.0	0.9989346246973365	0.9986589181940099	1.0	1.0	ⓜ collation, 🄼 grammar
kok	Konkani	कोंकणी	Deva	IN	1	modern	 ≡	modern	ICU	1.0	0.9992169146436961	0.998630762209037	1.0	1.0	ⓜ plurals, 🄼 grammar, 🄼 ordinals
he	Hebrew	‫עברית‬	Hebr	IL	1	modern	 ≡	modern	ICU	1.0	0.9994194063429857	0.9986111111111111	1.0	1.0	
sr	Serbian	српски	Cyrl	RS	4	modern	 ≡	modern	ICU	1.0	0.9994146912496342	0.9984715322888804	1.0	1.0	
sr_Latn	Serbian (Latin)	srpski (latinica)	Latn	RS	4	‡modern	 ≡	modern	ICU	1.0	0.9993415276558385	0.9984715322888804	1.0	1.0	🄼 grammar
ro	Romanian	română	Latn	RO	2	modern	 ≡	modern	ICU	1.0	0.99937259822759	0.9984282907662082	1.0	1.0	
hr	Croatian	hrvatski	Latn	HR	2	modern	 ≡	modern	ICU	1.0	0.9994074512999037	0.9984276729559748	1.0	1.0	
lv	Latvian	latviešu	Latn	LV	1	modern	 ≡	modern	ICU	1.0	0.9994207935128874	0.9984258166076347	1.0	1.0	
bs	Bosnian	bosanski	Latn	BA	1	modern	 ≡	modern	ICU	1.0	0.9986087241181766	0.9984208448480063	1.0	1.0	🄼 grammar
sd	Sindhi	‫سنڌي‬	Arab	PK	1	modern	 ≡	modern	ICU	1.0	0.9992097638071824	0.9983566146261298	1.0	1.0	ⓜ collation, 🄼 grammar
so	Somali	Soomaali	Latn	SO	4	modern	 ≡	modern	ICU	1.0	0.9991152008494072	0.9983186212694409	1.0	1.0	ⓜ collation, 🄼 grammar, 🄼 ordinals
eu	Basque	euskara	Latn	ES	1	modern	 ≡	modern	ICU	1.0	0.9991971454058876	0.9983050847457627	1.0	1.0	ⓜ collation, 🄼 grammar
pl	Polish	polski	Latn	PL	1	modern	 ≡	modern	ICU	1.0	0.9993784573310958	0.9981890619340819	1.0	1.0	
cs	Czech	čeština	Latn	CZ	1	modern	 ≡	modern	ICU	1.0	0.9993730014420967	0.9981877491844872	1.0	1.0	
lt	Lithuanian	lietuvių	Latn	LT	1	modern	 ≡	modern	ICU	1.0	0.9974158578091517	0.9981877491844872	1.0	1.0	
sk	Slovak	slovenčina	Latn	SK	1	modern	 ≡	modern	ICU	1.0	0.9974267244084605	0.9981837994914639	1.0	1.0	
sl	Slovenian	slovenščina	Latn	SI	1	modern	 ≡	modern	ICU	1.0	0.9993713064252483	0.9981785063752276	1.0	1.0	
ru	Russian	русский	Cyrl	RU	6	modern	 ≡	modern	ICU	1.0	0.9976345698955749	0.9981711777615215	1.0	1.0	
jv	Javanese	Jawa	Latn	ID	1	modern	 ≡	modern	ICU	1.0	0.9990231513138614	0.9981684981684982	1.0	1.0	ⓜ casing, ⓜ collation, 🄼 grammar, 🄼 ordinals
uk	Ukrainian	українська	Cyrl	UA	1	modern	 ≡	modern	ICU	1.0	0.9974205725070777	0.9981684981684982	1.0	1.0	
hsb	Upper Sorbian	hornjoserbšćina	Latn	DE	1	‡modern	 ≡	modern	ICU	1.0	0.9991538461538462	0.9981474620229714	1.0	1.0	🄼 grammar
be	Belarusian	беларуская	Cyrl	BY	1	modern	 ≡	modern	ICU	1.0	0.9984065558843614	0.9981433345711103	1.0	1.0	🄼 grammar
dsb	Lower Sorbian	dolnoserbšćina	Latn	DE	1	‡modern	 ≡	modern	ICU	1.0	0.9991429016674458	0.9980886850152905	1.0	1.0	🄼 grammar
ar	Arabic	‫العربية‬	Arab	EG	28	modern	 ≡	modern	ICU	1.0	0.9981999875861213	0.9979591836734694	1.0	1.0	
ga	Irish	Gaeilge	Latn	IE	2	modern	 ≡	modern	ICU	1.0	0.9982524814763036	0.997934595524957	1.0	1.0	🄼 grammar
pcm	Nigerian Pidgin	Naijíriá Píjin	Latn	NG	1	modern	 ≡	modern	ICU	1.0	0.9989190163048374	0.9978251413658112	1.0	1.0	ⓜ casing, ⓜ collation, 🄼 grammar, 🄼 ordinals
gd	Scottish Gaelic	Gàidhlig	Latn	GB	1	modern	 ≡	modern	ICU	1.0	0.9990204204656771	0.997779422649889	1.0	1.0	ⓜ collation, 🄼 grammar
cy	Welsh	Cymraeg	Latn	GB	1	modern	 ≡	modern	ICU	1.0	0.9990295658924759	0.9977621483375959	1.0	1.0	🄼 grammar
ht	Haitian Creole	Kreyòl Ayisyen	Latn	HT	1	modern	 ≡	modern		1.0	0.9987643424536629	0.9965679965679966	0.961038961038961	0.8	ⓒ time_cycle, ⓑ own_regions, ⓜ casing, ⓜ plurals, ⓜ collation, 🄼 ordinals
ti	Tigrinya	ትግርኛ	Ethi	ET	2	moderate	 <	modern	ICU	1.0	0.9991123735132257	0.998320738874895	1.0	1.0	ⓜ collation, 🄼 grammar, 🄼 ordinals
fo	Faroese	føroyskt	Latn	FO	2	‡moderate	 ≡	moderate	ICU	1.0	0.9547217461892307	0.9986962190352021	1.0	1.0	
ceb	Cebuano	Cebuano	Latn	PH	1	moderate	 ≡	moderate	ICU	0.9931093884582257	0.5465868035748241	0.9986916703009159	1.0	1.0	
xh	Xhosa	IsiXhosa	Latn	ZA	1	moderate	 ≡	moderate	ICU	0.984876735032111	0.6772115384615385	0.9986910994764397	1.0	1.0	
wo	Wolof	Wolof	Latn	SN	1	moderate	 ≡	moderate	ICU	1.0	0.8414340228961639	0.9985652797704447	1.0	1.0	ⓜ casing
sc	Sardinian	sardu	Latn	IT	1	‡moderate	 ≡	moderate	ICU	1.0	0.8495215742913883	0.9982631350412505	1.0	1.0	ⓜ collation
ak	Akan	Akan	Latn	GH	1	moderate	 ≡	moderate	ICU	1.0	0.9737651528858332	0.998262380538662	1.0	1.0	ⓜ collation
tg	Tajik	тоҷикӣ	Cyrl	TJ	1	moderate	 ≡	moderate	ICU	0.9994100294985251	0.7441053383688885	0.9981916817359855	1.0	1.0	ⓜ plurals, ⓜ collation
mi	Māori	Māori	Latn	NZ	1	moderate	 ≡	moderate	ICU	1.0	0.796733771569433	0.9976099426386233	1.0	1.0	ⓜ casing, ⓜ plurals, ⓜ collation
tt	Tatar	татар	Cyrl	RU	1	moderate	 ≡	moderate	ICU	1.0	0.461425422483468	0.9976019184652278	1.0	1.0	ⓜ casing, ⓜ plurals, ⓜ collation
qu	Quechua	Runasimi	Latn	PE	3	‡modern	 >	moderate	ICU	1.0	0.9800661123910648	0.9980916030534351	1.0	1.0	ⓜ plurals, ⓜ collation
ku	Kurdish	kurdî [kurmancî]	Latn	TR	1		 <	moderate	ICU	0.9984601170311056	0.5219922380336351	0.9983409373703858	1.0	1.0	ⓜ casing
bal_Latn	Baluchi (Latin)	Balóchi [Látin]	Latn	PK	1		 <	moderate		1.0	0.5268297219380638	0.9983402489626556	1.0	1.0	
ia	Interlingua	interlingua	Latn	001	1	‡basic	 <	moderate	ICU	1.0	0.6226622662266227	0.998254037538193	1.0	1.0	ⓜ collation
vec	Venetian	veneto	Latn	IT	1		 <	moderate	ICU	1.0	0.5964912280701754	0.9978279756733276	1.0	1.0	ⓜ casing, ⓜ collation
bs_Cyrl	Bosnian (Cyrillic)	босански (ћирилица)	Cyrl	BA	1	‡basic	 ≡	basic	ICU	0.999722145040289	0.5325199684016502	0.97898493259318	1.0	1.0	
brx	Bodo	बर’	Deva	IN	1	basic	 ≡	basic	ICU	0.9949146385760989	0.47358937885253677	0.9526827207435572	1.0	1.0	
ee	Ewe	eʋegbe	Latn	GH	2	basic	 ≡	basic	ICU	0.9637860082304527	0.4259082217973231	0.9190952588081774	1.0	1.0	
ks	Kashmiri	‫کٲشُر‬	Arab	IN	1	basic	 ≡	basic	ICU	0.9656816015252622	0.3746462931522354	0.8108333333333333	1.0	1.0	
rm	Romansh	rumantsch	Latn	CH	1	‡basic	 ≡	basic	ICU	0.9826254826254827	0.3666098123808568	0.7908113391984359	1.0	1.0	
om	Oromo	Oromoo	Latn	ET	2	basic	 ≡	basic	ICU	0.9933518005540166	0.514827096162956	0.7837150127226463	1.0	1.0	
mai	Maithili	मैथिली	Deva	IN	1	basic	 ≡	basic	ICU	1.0	0.382991930477964	0.7732962447844228	1.0	1.0	
kea	Kabuverdianu	kabuverdianu	Latn	CV	1	‡basic	 ≡	basic	ICU	0.9870689655172413	0.4284766013939595	0.7551589514779699	1.0	1.0	
uz_Cyrl	Uzbek (Cyrillic)	ўзбекча (Кирил)	Cyrl	UZ	1	‡basic	 ≡	basic	ICU	0.9327902240325866	0.30077073080137434	0.5809248554913294	1.0	1.0	
su	Sundanese	Basa Sunda	Latn	ID	1	basic	 ≡	basic	ICU	0.9930875576036866	0.10328532853285328	0.2781267846944603	1.0	1.0	
doi	Dogri	डोगरी	Deva	IN	1	basic	 ≡	basic	ICU	1.0	0.16442732312317956	0.26888604353393086	1.0	1.0	
sa	Sanskrit	संस्कृत भाषा	Deva	IN	1	basic	 ≡	basic	ICU	0.9608610567514677	0.10847983453981386	0.25857275254865614	1.0	1.0	
rw	Kinyarwanda	Ikinyarwanda	Latn	RW	1	basic	 ≡	basic	ICU	0.9956110735989196	0.38961489533942406	0.2553191489361702	1.0	1.0	
ks_Deva	Kashmiri (Devanagari)	कॉशुर (देवनागरी)	Deva	IN	1	basic	 ≡	basic	ICU	1.0	0.09519321394910461	0.22920133111480864	1.0	1.0	
mni	Manipuri	মৈতৈলোন্	Beng	IN	1	basic	 ≡	basic	ICU	1.0	0.09357512953367876	0.22568636575151232	1.0	1.0	
tn	Tswana	Setswana	Latn	ZA	2	basic	 ≡	basic	ICU	0.9744114636642784	0.34459459459459457	0.22319474835886213	1.0	1.0	
st	Southern Sotho	Sesotho	Latn	ZA	2	basic	 ≡	basic	ICU	0.8004866180048662	0.07749155405405406	0.2215536105032823	1.0	1.0	
nso	Northern Sotho	Sesotho sa Leboa	Latn	ZA	1	basic	 ≡	basic	ICU	1.0	0.34353885135135137	0.22045951859956237	1.0	1.0	
sd_Deva	Sindhi (Devanagari)	सिन्धी (देवनागिरी)	Deva	IN	0	basic	 ≡	basic	ICU	1.0	0.08934805170299084	0.2196144174350377	1.0	1.0	
sat	Santali	ᱥᱟᱱᱛᱟᱲᱤ	Olck	IN	1	basic	 ≡	basic	ICU	0.25	0.09343744516581856	0.2141185647425897	1.0	1.0	
gaa	Ga	Gã	Latn	GH	1	basic	 ≡	basic	ICU	0.06916243654822335	0.0310341162716548	0.09086395233366434	1.0	1.0	
bgc	Haryanvi	हरियाणवी	Deva	IN	1	basic	 ≡	basic	ICU	1.0	0.029844559585492227	0.08608655188459749	1.0	1.0	
raj	Rajasthani	राजस्थानी	Deva	IN	1	basic	 ≡	basic	ICU	1.0	0.029844559585492227	0.08608655188459749	1.0	1.0	
bho	Bhojpuri	भोजपुरी	Deva	IN	1	basic	 ≡	basic	ICU	1.0	0.025871121718377087	0.07461406518010291	1.0	1.0	
br	Breton	brezhoneg	Latn	FR	1	‡moderate	 >	basic	ICU	0.9840482862685924	0.8440599282549061	0.9944559944559944	1.0	1.0	
kgp	Kaingang	kanhgág	Latn	BR	1	‡moderate	 >	basic	ICU	0.9944711538461538	0.6051594746716698	0.990582191780822	1.0	1.0	
yrl	Nheengatu	nheẽgatu	Latn	BR	3	‡moderate	 >	basic	ICU	0.9944631680308137	0.6047516198704104	0.9905619905619906	1.0	1.0	
ff_Adlm	Fula (Adlam)	‫𞤆𞤵𞤤𞤢𞤪 (𞤀𞤁𞤂𞤢𞤃)‬	Adlm	GN	12	‡moderate	 >	basic	ICU	0.991701244813278	0.6374184191443075	0.9825479930191972	1.0	1.0	
ast	Asturian	asturianu	Latn	ES	1	‡moderate	 >	basic	ICU	0.9947942488844819	0.5725754360062748	0.9538729329852045	1.0	1.0	
to	Tongan	lea fakatonga	Latn	TO	1	‡moderate	 >	basic	ICU	0.9212081418253447	0.8793979866440745	0.8589073634204275	1.0	1.0	
xnr	Kangri	कांगड़ी	Deva	IN	1		 <	basic	ICU	1.0	0.48667630654823385	0.994919168591224	1.0	1.0	
cv	Chuvash	чӑваш	Cyrl	RU	1		 <	basic	ICU	0.2505083884087443	0.40302999899668907	0.9780114722753346	1.0	1.0	
blo	Anii	anii kagɩja	Latn	BJ	1		 <	basic	ICU	1.0	0.5706366537880061	0.967121090617482	1.0	1.0	
lb	Luxembourgish	Lëtzebuergesch	Latn	LU	1		 <	basic	ICU	0.9936800288912965	0.7312411989539328	0.8974098527171153	1.0	1.0	
nqo	N’Ko	‫ߒߞߏ‬	Nkoo	GN	1		 <	basic	ICU	0.9989631933644375	0.3841323006070756	0.8359712230215828	1.0	1.0	
fy	Western Frisian	Frysk	Latn	NL	1		 <	basic	ICU	0.7705940269117164	0.40019398642095055	0.8100227790432801	1.0	1.0	
kxv	Kuvi	kuvi	Latn	IN	1		 <	basic	ICU	1.0	0.33537027446918694	0.7432432432432432	1.0	1.0	
syr	Syriac	‫ܣܘܪܝܝܐ‬	Syrc	IQ	2		 <	basic	ICU	0.9783560937902602	0.4911651269172123	0.7129511677282377	1.0	1.0	
ug	Uyghur	‫ئۇيغۇرچە‬	Arab	CN	1		 <	basic	ICU	0.9703981655201167	0.5936885476168181	0.7082807902480034	1.0	1.0	
kxv_Deva	Kuvi (Devanagari)	कुवि (देवनागरी)	Deva	IN	1		 <	basic	ICU	1.0	0.30869700425002594	0.6839402427637722	1.0	1.0	
kxv_Orya	Kuvi (Odia)	କୁୱି (ଅଡ଼ିଆ)	Orya	IN	1		 <	basic	ICU	1.0	0.30724577588887736	0.680672268907563	1.0	1.0	
kxv_Telu	Kuvi (Telugu)	కువి (తెలుగు)	Telu	IN	1		 <	basic	ICU	1.0	0.3018554991188971	0.6685340802987861	1.0	1.0	
mt	Maltese	Malti	Latn	MT	1		 <	basic	ICU	0.9603782080144079	0.4296583850931677	0.4515669515669516	1.0	1.0	
kok_Latn	Konkani (Latin)	Konknni (Romi)	Latn	IN	1		 <	basic	ICU	1.0	0.1526993449288457	0.3294864396999423	1.0	1.0	
sah	Yakut	саха тыла	Cyrl	RU	1		 <	basic	ICU	0.9389162561576355	0.16773380917392675	0.3115942028985507	1.0	1.0	
ie	Interlingue	Interlingue	Latn	EE	1		 <	basic	ICU	0.132252027448534	0.09331433804823445	0.23543457497612225	1.0	1.0	
ii	Sichuan Yi	ꆈꌠꉙ	Yiii	CN	1		 <	basic	ICU	0.9676616915422885	0.08786307053941908	0.21411874707807388	1.0	1.0	
eo	Esperanto	Esperanto	Latn	001	1		 <	basic	ICU	0.1534408956206783	0.08664569631112382	0.19336534264513314	1.0	1.0	
csw	Swampy Cree	ᓀᐦᐃᓇᐍᐏᐣ	Cans	CA	1		 <	basic	ICU	1.0	0.09615942729999033	0.18708536045997345	1.0	1.0	
oc	Occitan	occitan	Latn	FR	2		 <	basic	ICU	0.07132748372487971	0.05902924968206867	0.15227159261108336	1.0	1.0	
vmw	Makhuwa	emakhuwa	Latn	MZ	1		 <	basic	ICU	1.0	0.025721237400069517	0.09102015882712279	1.0	1.0	
lmo	Lombard	Lombard	Latn	IT	1		 <	basic	ICU	0.9012345679012346	0.02568849803286276	0.0904126213592233	1.0	1.0	
nds	Low German	Neddersass’sch	Latn	DE	2		 <	basic	ICU	0.07341092211280215	0.02668346312414109	0.09020310633213859	1.0	1.0	
za	Zhuang	Vahcuengh	Latn	CN	1		 <	basic	ICU	0.14747474747474748	0.025215810995002273	0.08652729384436701	1.0	1.0	
szl	Silesian	ślōnski	Latn	PL	1		 <	basic	ICU	0.029347028613352897	0.02454242928452579	0.07417974322396577	1.0	1.0	
prg	Prussian	prūsiskan	Latn	PL	1		 <	basic	ICU	0.14528301886792452	0.022078673351330506	0.07400194741966894	1.0	1.0	
lij	Ligurian	ligure	Latn	IT	1		 <	basic	ICU	0.012018923411328474	0.023693693693693695	0.07225309961522018	1.0	1.0	
lld	Ladin	ladin	Latn	IT	1		 ≡			0.963671875	0.4484714477985003	0.9564838990426457	0.974025974025974	1.0	
ksh	Colognian	Kölsch	Latn	DE	1		 ≡		ICU	0.9627228525121556	0.27624206200971235	0.5464684014869888	0.948051948051948	1.0	
se	Northern Sami	davvisámegiella	Latn	NO	3		 ≡		ICU	0.8285371702637889	0.20866290018832392	0.40465793304221254	0.922077922077922	1.0	
os	Ossetic	ирон	Cyrl	GE	2		 ≡		ICU	0.9433962264150944	0.08686809994189425	0.19840213049267644	0.9210526315789473	1.0	
dz	Dzongkha	རྫོང་ཁ	Tibt	BT	1		 ≡		ICU	0.892128279883382	0.24557359874279727	0.5361416945907133	0.9069767441860465	1.0	
pis	Pijin	Pijin	Latn	SB	1		 ≡			1.0	0.02154772937905468	0.07635919364691508	0.8441558441558441	1.0	
ccp	Chakma	𑄌𑄋𑄴𑄟𑄳𑄦	Cakm	BD	2		 ≡		ICU	0.8791717417783191	0.5366264383946113	0.8807453416149068	0.84375	1.0	
gsw	Swiss German	Schwiizertüütsch	Latn	CH	3		 ≡		ICU	0.7979132344865458	0.2792563998374644	0.6582021330624682	0.8421052631578947	1.0	
smn	Inari Sami	anarâškielâ	Latn	FI	1		 ≡		ICU	0.9561707035755479	0.15432994678277698	0.37659783677482794	0.8266666666666667	1.0	
