# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Keys	Hour Cycle	hc-h12	ak	Nnɔnhwere 12 Sestɛm (1–12	Nnɔnhwere 12 Sestɛm (1–12)	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Keys	Hour Cycle	hc-h11-core	as	১২ (০–১১) ১২ (০–১১)	১২ (০–১১)	modern
Locale Display Names	Keys	Hour Cycle	hc-h12-core	as	১২ (১–১২) ১২ (১–১২)	১২ (১–১২)	modern
Locale Display Names	Keys	Hour Cycle	hc-h23-core	as	24 (0–23) Hour Cycle (12 vs 24) others… ২৪ (০–২৩) …অন্য ঘণ্টীয়া প্ৰণালী(১২ বনাম ২৪): ২৪ (০–২৩) ৩ (০–২৩)	২৪ (০–২৩)	modern
Locale Display Names	Keys	Hour Cycle	hc-h24-core	as	২৪ (১–২৪) ২৪ (১–২৪)	২৪ (১–২৪)	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Keys	Hour Cycle	hc-h23	ccp	𑄸𑄺 𑄊𑄧𑄚𑄴𑄑𑄢𑄴 𑄦𑄨𑄏𑄬𑄛𑄴(𑄷-𑄸𑄹)	𑄸𑄺 𑄊𑄧𑄚𑄴𑄑𑄢𑄴 𑄦𑄨𑄏𑄬𑄛𑄴 (𑄷-𑄸𑄹)	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Keys	Hour Cycle	hc-h12	kxv	12 gṇṭati pddti (1–12)	12 gṇṭati pddti (1 - 12)	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Keys	Hour Cycle	hc-h11-core	ne	१२ (0–11) १२ (0–११)	१२ (०–११)	modern
Locale Display Names	Keys	Hour Cycle	hc-h12-core	ne	१२(१–१२) १२ (1–१२)	१२ (१–१२)	modern
Locale Display Names	Keys	Hour Cycle	hc-h23-core	ne	२४ (०–२३) २४ (०–२३)	२४ (०–२३)	modern
Locale Display Names	Keys	Hour Cycle	hc-h24-core	ne	२४ (१–२४) २४ (१–२४)	२४ (१–२४)	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	pa	…[{\u0A70\u0A02}]…	…[\u0A02\u0A70]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Keys	Hour Cycle	hc-h11-core	ti	12 (0–11) 12 (0–11)	12 (0–11)	modern
Locale Display Names	Keys	Hour Cycle	hc-h12-core	ti	12 (1–12) 12 (1–12)	12 (1–12)	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	short	yue	{1} {0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	full-atTime	yue	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	long-atTime	yue	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	medium-atTime	yue	{1}{0}	{1} {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	full	yue	{1}{0}	{1} {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	long-atTime	yue	{1}{0}	{1} {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	medium-atTime	yue	{1}{0}	{1} {0}	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	full-atTime	yue_Hans	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	long-atTime	yue_Hans	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	medium-atTime	yue_Hans	{1}{0}	{1} {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	full	yue_Hans	{1}{0}	{1} {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	long-atTime	yue_Hans	{1}{0}	{1} {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	medium-atTime	yue_Hans	{1}{0}	{1} {0}	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	full	zh_Hant	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	long	zh_Hant	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	medium	zh_Hant	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	short	zh_Hant	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	full-atTime	zh_Hant	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	long-atTime	zh_Hant	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	medium-atTime	zh_Hant	{1}{0}	{1} {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	full	zh_Hant	{1}{0}	{1} {0}	moderate
