# Count	Section	Page	Subhead	Code

133	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber
127	Timezones	Oceania	Cities and Regions	Enderbury
70	Timezones	Oceania	Cities and Regions	Kanton
45	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls
38	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbsct
35	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbeng
17	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz71
17	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	incg
17	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inod
17	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inuk
16	Locale Display Names	Territories (North America)	Northern America-Subdivisions	cabc
16	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxpue
16	Locale Display Names	Territories (South America)	South America-Subdivisions	brap
16	Locale Display Names	Territories (South America)	South America-Subdivisions	brpa
16	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz23
16	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	mamar
16	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	sdnb
16	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	shac
16	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etaf
16	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etam
16	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etbe
16	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etdd
16	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etga
16	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etha
16	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etor
16	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etso
16	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	etti
16	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbedh
16	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbnir
16	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	isrkv
16	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	no11
16	Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	no15
16	Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	deni
16	Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr70
16	Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr972
16	Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr973
16	Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr974
16	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	huhb
16	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rual
16	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruamu
16	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruark
16	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruast
16	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruda
16	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rukgd
16	Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rukl
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esan
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esav
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esbi
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esbu
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esc
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esce
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esco
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esga
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	eslu
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esor
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esp
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	essg
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esss
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esvi
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esza
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it62
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itve
16	Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	mt60
16	Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	amer
16	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	tms
16	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	tjdu
16	Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz75
16	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	ints
16	Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	mvmle
16	Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	mm16
16	Locale Display Names	Territories (Oceania)	Melanesia-Subdivisions	pgncd
16	Locale Display Names	Territories (Oceania)	Polynesia-Subdivisions	tvfun
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	caab
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	camb
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	canb
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	canl
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	cans
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	cant
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	canu
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	caon
