# Grammatical Features
Urdu	ur	grammaticalCase	general	nominative, oblique
Urdu	ur	grammaticalGender	general	masculine, feminine

# Minimal Pairs
Plural	one	‫{0} گھنٹہ‬	‫<div class='cldr_example'><span class='cldr_substituted'>1</span> گھنٹہ</div>‬
Plural	other	‫{0} گھنٹے‬	‫<div class='cldr_example'><span class='cldr_substituted'>2</span> گھنٹے</div>‬
Case	nominative	‫دن باقی ہے۔ {0}‬	‫<div class='cldr_example'>دن باقی ہے۔ <span class='cldr_substituted'>null</span></div>‬
Case	oblique	‫باقی {0} دن۔‬	‫<div class='cldr_example'>باقی <span class='cldr_substituted'>null</span> دن۔</div>‬
Gender	feminine	‫{0} دنوں کی وارنٹی‬	‫<div class='cldr_example'><span class='cldr_substituted'>ریڈین</span> دنوں کی وارنٹی</div>‬
Gender	masculine	‫استعمال کے {0} دن‬	‫<div class='cldr_example'>استعمال کے <span class='cldr_substituted'>میٹر</span> دن</div>‬

# Unit Case and Gender Info
acceleration	g-force ( = 9.80665 m/s²)	feminine	‫جی-فورس دنوں کی وارنٹی‬
angle	arc-second ( = 0.0000007˙716049382 rev)	masculine	‫استعمال کے آرک سیکنڈ دن‬
angle	arc-minute ( = 0.00004˙629 rev)	masculine	‫استعمال کے آرک منٹ دن‬
angle	degree ( = 0.002˙7 rev)	masculine	‫استعمال کے ڈگری دن‬
angle	radian ( = ~0.1591549430918953 rev)	feminine	‫ریڈین دنوں کی وارنٹی‬
angle	revolutions	feminine	‫rev دنوں کی وارنٹی‬
area	hectares	masculine	‫استعمال کے ہیکٹر دن‬
digital	bits	feminine	‫بٹ دنوں کی وارنٹی‬
digital	byte ( = 8 bit)	feminine	‫بائٹ دنوں کی وارنٹی‬
duration	seconds	masculine	‫استعمال کے سیکنڈ دن‬
duration	minute ( = 60 sec)	masculine	‫استعمال کے منٹ دن‬
duration	hour ( = 3,600 sec)	masculine	‫استعمال کے گھنٹہ دن‬
duration	day ( = 86,400 sec)	masculine	‫استعمال کے دن دن‬
duration	day-person ( = 86,400 sec)	masculine	‫استعمال کے دن دن‬
duration	week ( = 604,800 sec)	masculine	‫استعمال کے ہفتہ دن‬
electric-current	amperes	masculine	‫استعمال کے ایمپیئر دن‬
electric-resistance	ohms	masculine	‫استعمال کے اوہم دن‬
energy	joules	feminine	‫جول دنوں کی وارنٹی‬
energy	calorie ( = 4.184 J)	feminine	‫کیلوری دنوں کی وارنٹی‬
force	newtons	masculine	‫استعمال کے نیوٹن دن‬
frequency	hertz	masculine	‫استعمال کے ہرٹز دن‬
graphics	pixel ( = 1 px)	masculine	‫استعمال کے پکسل دن‬
illuminance	lux	masculine	‫استعمال کے lux دن‬
length	meters	masculine	‫استعمال کے میٹر دن‬
length	mile-scandinavian ( = 10 km)	masculine	‫استعمال کے اسکینڈی نیویائی میل دن‬
luminous-flux	lumen	feminine	‫لیومِن دنوں کی وارنٹی‬
luminous-intensity	candela	masculine	‫استعمال کے کنڈیلا دن‬
mass	carat ( = 200 mg)	masculine	‫استعمال کے قیراط دن‬
mass	grams	masculine	‫استعمال کے گرام دن‬
mass	kilograms	masculine	‫استعمال کے کلو گرام دن‬
mass	metric tons	masculine	‫استعمال کے میٹرک ٹن دن‬
portion	parts per million	feminine	‫فی ملین حصے دنوں کی وارنٹی‬
portion	permyriad	feminine	‫پرمرئیڈ دنوں کی وارنٹی‬
portion	permille	feminine	‫فی ہزار دنوں کی وارنٹی‬
portion	percent	feminine	‫فیصد دنوں کی وارنٹی‬
portion	karat ( = 4.1˙6%)	masculine	‫استعمال کے قیراط دن‬
power	watts	feminine	‫واٹ دنوں کی وارنٹی‬
pressure	pascals	masculine	‫استعمال کے پاسکل دن‬
pressure	bars	feminine	‫بار دنوں کی وارنٹی‬
pressure	atmosphere ( = 1.01325 bar)	masculine	‫استعمال کے ماحول دن‬
substance-amount	mole ( = 602,214,076,000,000,000,000,000 items)	feminine	‫مول دنوں کی وارنٹی‬
temperature	°	masculine	‫استعمال کے ° دن‬
temperature	celsius ( = 1 K)	feminine	‫ڈگری سیلسیس دنوں کی وارنٹی‬
temperature	kelvins	masculine	‫استعمال کے کیلون دن‬
typewidth	typographic ems	masculine	‫استعمال کے em دن‬
voltage	volts	masculine	‫استعمال کے وولٹ دن‬
volume	cup-metric ( = 2.5 dL)	masculine	‫استعمال کے میٹرک کپ دن‬
volume	pint-metric ( = 5 dL)	masculine	‫استعمال کے میٹرک پائنٹ دن‬
volume	liters	masculine	‫استعمال کے لیٹر دن‬
year-duration	month ( = 0.08˙3 yrs)	masculine	‫استعمال کے مہینہ دن‬
year-duration	years	masculine	‫استعمال کے سال دن‬
year-duration	decades	feminine	‫دہائی دنوں کی وارنٹی‬
year-duration	centuries	feminine	‫صدی دنوں کی وارنٹی‬

# Unit Power Components
power2	nominative	masculine (second)	‫مربع {0}‬	‫دن باقی ہے۔ 1 مربع سیکنڈ‬	‫مربع {0}‬	‫دن باقی ہے۔ 2 مربع سیکنڈ‬
power2	nominative	feminine (radian)	‫مربع {0}‬	‫دن باقی ہے۔ 1 مربع ریڈین‬	‫مربع {0}‬	‫دن باقی ہے۔ 2 مربع ریڈینس‬
power3	nominative	masculine (second)	‫کیوبک {0}‬	‫دن باقی ہے۔ 1 کیوبک سیکنڈ‬	‫کیوبک {0}‬	‫دن باقی ہے۔ 2 کیوبک سیکنڈ‬
power3	nominative	feminine (radian)	‫کیوبک {0}‬	‫دن باقی ہے۔ 1 کیوبک ریڈین‬	‫کیوبک {0}‬	‫دن باقی ہے۔ 2 کیوبک ریڈینس‬
