#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Vxml	VStatus	Section	Page	Header	Code	ST Link	Config Action
af	Afrikaans	Latin	modern	modern	?	kgp			Locale Display Names	Languages (K-N)	K	Kaingang ► kgp	http://st.unicode.org/cldr-apps/v#/af//625d57004ca088d7	
af	Afrikaans	Latin	modern	modern	?	yrl			Locale Display Names	Languages (K-N)	N	Nheengatu ► yrl	http://st.unicode.org/cldr-apps/v#/af//df32d85bf0c2b46	
af	Afrikaans	Latin	modern	modern	?	{0} dpi			Units	Graphics	dot-per-inch	narrow-one-nominative	http://st.unicode.org/cldr-apps/v#/af//5a1a1e59920ca35f	
af	Afrikaans	Latin	modern	modern	?	{0} dpi			Units	Graphics	dot-per-inch	narrow-other-nominative	http://st.unicode.org/cldr-apps/v#/af//4370ac1d411fa612	
af	Afrikaans	Latin	modern	modern	?	{0} cd			Units	Other Units	candela	narrow-one-nominative	http://st.unicode.org/cldr-apps/v#/af//5ff3a3091df55a0f	
af	Afrikaans	Latin	modern	modern	?	{0} cd			Units	Other Units	candela	narrow-other-nominative	http://st.unicode.org/cldr-apps/v#/af//6cbb0703b2a9aec4	
am	Amharic	Ethiopic	modern	modern	?	kgp			Locale Display Names	Languages (K-N)	K	Kaingang ► kgp	http://st.unicode.org/cldr-apps/v#/am//625d57004ca088d7	
am	Amharic	Ethiopic	modern	modern	?	yrl			Locale Display Names	Languages (K-N)	N	Nheengatu ► yrl	http://st.unicode.org/cldr-apps/v#/am//df32d85bf0c2b46	
am	Amharic	Ethiopic	modern	basic	?	M/d/y GGGGG			Date & Time	Gregorian	Formats - Flexible - Date Formats	GyMd	http://st.unicode.org/cldr-apps/v#/am//720b48090ba506b2	
ar	Arabic	Arabic	modern	core	?				Special	Alphabetic Information	Layout	characterOrder	http://st.unicode.org/cldr-apps/v#/ar//7972e33a5e623d65	
ar	Arabic	Arabic	modern	modern	?	kgp			Locale Display Names	Languages (K-N)	K	Kaingang ► kgp	http://st.unicode.org/cldr-apps/v#/ar//625d57004ca088d7	
ar	Arabic	Arabic	modern	modern	?	yrl			Locale Display Names	Languages (K-N)	N	Nheengatu ► yrl	http://st.unicode.org/cldr-apps/v#/ar//df32d85bf0c2b46	
ar	Arabic	Arabic	modern	modern	?	feminine			Units	Digital	byte	long-gender	http://st.unicode.org/cldr-apps/v#/ar//5869b17da4ff2a8c	
ar	Arabic	Arabic	modern	modern	?	feminine			Units	Digital	bit	long-gender	http://st.unicode.org/cldr-apps/v#/ar//2c16122aae1d82ad	
ar	Arabic	Arabic	modern	modern	?	الترول			Characters	People & Body	person-fantasy	🧌 –keywords	http://st.unicode.org/cldr-apps/v#/ar//554acc4b4565ed2	
ar	Arabic	Arabic	modern	modern	?	الترول			Characters	People & Body	person-fantasy	🧌 -name	http://st.unicode.org/cldr-apps/v#/ar//1676b53be72d7ab2	
ar	Arabic	Arabic	modern	modern	?	الكرة المضيئة			Characters	Activities	game	🪩 –keywords	http://st.unicode.org/cldr-apps/v#/ar//6759b32d7657d712	
ar	Arabic	Arabic	modern	modern	?	الكرة المضيئة			Characters	Activities	game	🪩 -name	http://st.unicode.org/cldr-apps/v#/ar//5289447d4f8bcad9	
ar	Arabic	Arabic	modern	modern	?	شخص يرتدي تاجاً			Characters	People & Body	person-role	🫅 –keywords	http://st.unicode.org/cldr-apps/v#/ar//6f46b55304fd2e8a	
ar	Arabic	Arabic	modern	modern	?	شخص يرتدي تاجاً			Characters	People & Body	person-role	🫅 -name	http://st.unicode.org/cldr-apps/v#/ar//75dfdef1116daea7	
ar	Arabic	Arabic	modern	modern	?	برطمان			Characters	Food & Drink	dishware	🫙 –keywords	http://st.unicode.org/cldr-apps/v#/ar//2ba60c36feb93246	
ar	Arabic	Arabic	modern	modern	?	برطمان			Characters	Food & Drink	dishware	🫙 -name	http://st.unicode.org/cldr-apps/v#/ar//6b8867f04c269b09	
ar	Arabic	Arabic	modern	modern	?	أيدي متشابكة على شكل قلب			Characters	People & Body	hands	🫶 –keywords	http://st.unicode.org/cldr-apps/v#/ar//6d78531e11fcca8c	
ar	Arabic	Arabic	modern	modern	?	أيدي متشابكة على شكل قلب			Characters	People & Body	hands	🫶 -name	http://st.unicode.org/cldr-apps/v#/ar//5a0e411e3d15ae50	
as	Assamese	Bangla	modern	modern	?	kgp			Locale Display Names	Languages (K-N)	K	Kaingang ► kgp	http://st.unicode.org/cldr-apps/v#/as//625d57004ca088d7	
as	Assamese	Bangla	modern	modern	?	yrl			Locale Display Names	Languages (K-N)	N	Nheengatu ► yrl	http://st.unicode.org/cldr-apps/v#/as//df32d85bf0c2b46	
az	Azerbaijani	Latin	modern	modern	?	kgp			Locale Display Names	Languages (K-N)	K	Kaingang ► kgp	http://st.unicode.org/cldr-apps/v#/az//625d57004ca088d7	
az	Azerbaijani	Latin	modern	modern	?	yrl			Locale Display Names	Languages (K-N)	N	Nheengatu ► yrl	http://st.unicode.org/cldr-apps/v#/az//df32d85bf0c2b46	
be	Belarusian	Cyrillic	modern	modern	?	kgp			Locale Display Names	Languages (K-N)	K	Kaingang ► kgp	http://st.unicode.org/cldr-apps/v#/be//625d57004ca088d7	
be	Belarusian	Cyrillic	modern	modern	?	yrl			Locale Display Names	Languages (K-N)	N	Nheengatu ► yrl	http://st.unicode.org/cldr-apps/v#/be//df32d85bf0c2b46	
bg	Bulgarian	Cyrillic	modern	modern	?	kgp			Locale Display Names	Languages (K-N)	K	Kaingang ► kgp	http://st.unicode.org/cldr-apps/v#/bg//625d57004ca088d7	
bg	Bulgarian	Cyrillic	modern	modern	?	yrl			Locale Display Names	Languages (K-N)	N	Nheengatu ► yrl	http://st.unicode.org/cldr-apps/v#/bg//df32d85bf0c2b46	
bg	Bulgarian	Cyrillic	modern	modern	?	брит. дес. лъжица			Units	Volume	dessert-spoon-imperial	long-displayName	http://st.unicode.org/cldr-apps/v#/bg//12a11a952914ef37	
bg	Bulgarian	Cyrillic	modern	modern	?	{0} брит. дес. лъжица			Units	Volume	dessert-spoon-imperial	long-one-nominative	http://st.unicode.org/cldr-apps/v#/bg//6c1a9ff7604cd5cb	
